lab,Country,OnlineorLab,USAorNot
abington,USA,Lab,USA
brasilia,Brazil,Lab,NotUSA
charles,Czech Republic,Lab,NotUSA
conncoll,USA,Lab,USA
csun,USA,Online,USA
help,Malaysia,Lab,NotUSA
ithaca,USA,Lab,USA
jmu,USA,Online,USA
ku,Turkey,Online,NotUSA
laurier,Canada,Lab,NotUSA
lse,UK,Lab,NotUSA
luc,USA,Lab,USA
mcdaniel,USA,Online,USA
msvu,Canada,Lab,NotUSA
mturk,USA,Online,USA
osu,USA,Lab,USA
oxy,USA,Lab,USA
pi,USA,Online,USA
psu,USA,Lab,USA
qccuny,U,Lab,NotUSA
qccuny2,U,Lab,NotUSA
sdsu,U,Lab,NotUSA
swps,Poland,Lab,NotUSA
swpson,International,Online,NotUSA
tamu,USA,Lab,USA
tamuc,USA,Lab,USA
tamuon,USA,Online,USA
tilburg,Netherlands,Lab,NotUSA
ufl,USA,Lab,USA
unipd,Italy,Online,NotUSA
uva,USA,Lab,USA
vca,USA,Lab,USA
wisc,USA,Lab,USA
wku,USA,Lab,USA
wl,USA,Lab,USA
wpi,USA,Lab,USA
