Original.sorting,Country,Language,Weird,Western,Educated,Industrialized,Rich,Democratic,Average.WEIRDness,Split.half,Check
1,India,English,0,0,0.47,0.0131,0,0.55,0.21,0,1
2,India,English,0,0,0.47,0.0131,0,0.55,0.21,0,1
3,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
4,United Arab Emirates,English,0,0,0.67,0.4,0,0.4,0.29,0,1
5,United Arab Emirates,English,0,0,0.67,0.4,0,0.4,0.29,0,1
6,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
7,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
8,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
9,Turkey,Turkish,0,0,0.65,0.13,0,0.55,0.27,0,1
10,Colombia,Spanish,0,1,0.6,0.05,0,0.6,0.45,0,1
11,Brazil,Portuguese,0,1,0.66,0.08,0,0.65,0.48,0,1
12,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
13,Canada,English,1,1,0.85,0.45,1,0.79,0.82,1,1
14,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
15,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
16,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
17,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
18,Japan,Japanese,0,0,0.81,0.8,1,0.75,0.67,0,1
19,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
20,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
21,Hungary,Hungarian,1,1,0.81,0.24,1,0.67,0.74,1,1
22,Hungary,Hungarian,1,1,0.81,0.24,1,0.67,0.74,1,1
23,Serbia,Serbian,0,1,0.7,0.04,0,0.62,0.47,0,1
24,Serbia,Serbian,0,1,0.7,0.04,0,0.62,0.47,0,1
25,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
26,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
27,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
28,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
29,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
30,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
31,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
32,Austria,German,1,1,0.79,0.7,1,0.8,0.86,1,1
33,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
34,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
35,Malaysia,English,0,0,0.67,0.16,0,0.52,0.27,0,1
36,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
37,"Hong Kong, China",Chinese (traditional),0,0,0.77,0.08,0,0.74,0.32,0,1
38,"Hong Kong, China",Chinese (traditional),0,0,0.77,0.08,0,0.74,0.32,0,1
39,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
40,India,English,0,0,0.47,0.0131,0,0.55,0.21,0,1
41,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
42,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
43,South Africa,English,0,1,0.7,0.09,0,0.55,0.47,0,1
44,South Africa,English,0,1,0.7,0.09,0,0.55,0.47,0,1
45,Nigeria,English,0,1,0.43,0.003,0,0.4,0.37,0,1
46,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
47,Turkey,Turkish,0,0,0.65,0.13,0,0.55,0.27,0,1
48,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
49,South Africa,English,0,1,0.7,0.09,0,0.55,0.47,0,1
50,Switzerland,French,1,1,0.84,1,1,0.87,0.94,1,1
51,Belgium,Dutch,1,1,0.81,0.4531,1,0.82,0.82,1,1
52,Belgium,French,1,1,0.81,0.4531,1,0.82,0.82,1,1
53,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
54,UK,English,1,1,0.86,0.4,1,0.8,0.81,1,1
55,Sweden,Swedish,1,1,0.83,0.71,1,0.87,0.88,1,1
56,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
57,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
58,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
59,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
60,Turkey,Turkish,0,0,0.65,0.13,0,0.55,0.27,0,1
61,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
62,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
63,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
64,India,English,0,0,0.47,0.0131,0,0.55,0.21,0,1
65,India,English,0,0,0.47,0.0131,0,0.55,0.21,0,1
66,Germany,German,1,1,0.88,0.73,1,0.82,0.89,1,1
67,Germany,German,1,1,0.88,0.73,1,0.82,0.89,1,1
68,Germany,German,1,1,0.88,0.73,1,0.82,0.89,1,1
69,Spain,English,1,1,0.79,0.34,1,0.76,0.78,1,1
70,Spain,English,1,1,0.79,0.34,1,0.76,0.78,1,1
71,UK,English,1,1,0.86,0.4,1,0.8,0.81,1,1
72,"Taiwan, China",Chinese (traditional),0,0,0.61,0.08,0,0.74,0.29,0,1
73,"Taiwan, China",Chinese (traditional),0,0,0.61,0.08,0,0.74,0.29,0,1
74,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
75,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
76,Germany,German,1,1,0.88,0.73,1,0.82,0.89,1,1
77,"Hong Kong, China",Chinese (traditional),0,0,0.77,0.08,0,0.74,0.32,0,1
78,"Hong Kong, China",Chinese (traditional),0,0,0.77,0.08,0,0.74,0.32,0,1
79,Italy,Italian,1,1,0.79,0.5,1,0.72,0.8,1,1
80,France,French,1,1,0.82,0.38,1,0.79,0.8,1,1
81,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
82,France,French,1,1,0.82,0.38,1,0.79,0.8,1,1
83,Germany,German,1,1,0.88,0.73,1,0.82,0.89,1,1
84,Uruguay,Spanish,0,1,0.71,0.09,0,0.74,0.51,0,1
85,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
86,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
87,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
88,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
89,Chile,Spanish,1,1,0.75,1,0,0.73,0.7,1,1
90,Costa Rica,Spanish,0,1,0.65,0.1,0,0.72,0.49,0,1
91,Czech Republic,Czech,1,1,0.87,0.4,1,0.71,0.8,1,1
92,Australia,English,1,1,0.93,0.35,1,0.8,0.82,1,1
93,Australia,English,1,1,0.93,0.35,1,0.8,0.82,1,1
94,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
95,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
96,The Netherlands,English,1,1,0.89,0.5,1,0.84,0.85,1,1
97,UK,English,1,1,0.86,0.4,1,0.8,0.81,1,1
98,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
99,Chile,Spanish,1,1,0.75,1,0,0.73,0.7,1,1
100,Czech Republic,Czech,1,1,0.87,0.4,1,0.71,0.8,1,1
101,Czech Republic,Czech,1,1,0.87,0.4,1,0.71,0.8,1,1
102,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
103,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
104,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
105,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
106,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
107,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
108,Tanzania,English,0,1,0.43,0.003,0,0.5,0.39,0,1
109,Tanzania,English,0,1,0.43,0.003,0,0.5,0.39,0,1
110,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
111,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
112,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
113,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
114,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
115,Canada,English,1,1,0.85,0.45,1,0.79,0.82,1,1
116,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
117,Canada,English,1,1,0.85,0.45,1,0.79,0.82,1,1
118,Canada,English,1,1,0.85,0.45,1,0.79,0.82,1,1
119,Costa Rica,Spanish,0,1,0.65,0.1,0,0.72,0.49,0,1
120,Chile,Spanish,1,1,0.75,1,0,0.73,0.7,1,1
121,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
122,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
123,Costa Rica,Spanish,0,1,0.65,0.1,0,0.72,0.49,0,1
124,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
125,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
126,Mexico,Spanish,0,1,0.64,0.13,0,0.58,0.47,0,1
127,Spain,Spanish,1,1,0.79,0.34,1,0.76,0.78,1,1
128,Serbia,Serbian,0,1,0.7,0.04,0,0.62,0.47,0,1
129,Portugal,Portuguese,1,1,0.73,0.23,1,0.76,0.74,1,1
130,Australia,English,1,1,0.93,0.35,1,0.8,0.82,1,1
131,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
132,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
133,The Netherlands,Dutch,1,1,0.89,0.5,1,0.84,0.85,1,1
134,New Zealand,English,1,1,0.92,0.35,1,0.82,0.82,1,1
135,New Zealand,English,1,1,0.92,0.35,1,0.82,0.82,1,1
136,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
137,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
138,Canada,English,1,1,0.85,0.45,1,0.79,0.82,1,1
139,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
140,UK,English,1,1,0.86,0.4,1,0.8,0.81,1,1
141,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
142,Poland,Polish,1,1,0.83,0.19,1,0.71,0.75,1,1
143,USA,English,1,1,0.89,0.55,1,0.77,0.84,1,1
144,China,Chinese (simplified),0,0,0.61,0.08,0,0.74,0.29,0,1
