study.id,study.slate,study.name,study.analysis,testInfo.statistic,testInfo.estimate,df1,df2,N,n1,n2,esType,test.alternative,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,testInfo.p.value,study.analysis.ori,oriWEIRD,offset,offset_dens,offset_fix,study.labels,usethisES,oriWEIRD.n
1,1,Huang,Huang.3,3.69,,78,78,80,40,40,t,two.sided,3.69,1.63564954497627,5.72253998074074,80,40,40,0.82511,0.05426,0.36574,1.2796,79.53452,72.02015,0.4404,0.00067,0.81715,0.05321,0.36221,1.26726,79.30786,71.83045,0.00067,0.38551,0.00918,0.1821,0.54378,0.00062,0.40652,0.01299,0.18416,0.6095,4.4664,1.94135,10.1852,0.00067,1.49658,0.66338,2.32094,0.00067,,,,,,,,,1.Huang.WEIRD,WEIRD,16,16.3399053134492,15.8,"Direction & SES (Huang et al., 2014)",0.38551,24
1,1,Huang,Huang.4,-2.95,,98,98,100,50,50,t,two.sided,-2.95,-4.94568196614115,-0.939894123694856,100,50,50,-0.59,0.04174,-0.98914,-0.18798,27.75953,33.82686,-0.32346,0.00477,-0.58547,0.0411,-0.98155,-0.18654,27.91148,33.944,0.00477,-0.28558,0.00852,-0.44692,-0.09452,0.0047,-0.29375,0.01031,-0.48084,-0.0948,0.34296,0.16628,0.71109,0.00477,-1.07014,-1.79409,-0.34096,0.00477,,,,,,,,,1.Huang.NONWEIRD,less WEIRD,16,16.3399053134492,15.8,"Direction & SES (Huang et al., 2014)",-0.28558,24
2,1,Kay,Kay.1,2,,65,65,67,33,34,t,two.sided,2,0.00276740249693851,3.98231481598983,67,33,34,0.48873,0.0615,0.00068,0.97314,68.74844,63.5173,0.27035,0.05301,0.48307,0.06008,0.00067,0.96187,68.54774,63.36676,0.05301,0.24077,0.01345,0.00034,0.44287,0.05372,0.24559,0.01562,0.00034,0.47579,2.42653,1.00123,5.84207,0.05301,0.88646,0.00123,1.76509,0.05301,,,,,,,,,2.Kay.WEIRD,WEIRD,4,4.44775900584278,3.8,"Structure & Goal Pursuit (Kay et al., 2014)",0.24077,24
3,1,Alter,Alter.3,2.01,,39,39,41,20,21,t,two.sided,2.01,-0.0119980924559494,4.00752401404495,41,20,21,0.62801,0.10243,-0.00375,1.25211,73.49998,67.15029,0.34301,0.0569,0.61585,0.0985,-0.00368,1.22788,73.10034,66.83901,0.0569,0.30638,0.02053,-0.00192,0.54008,0.05823,0.31654,0.02632,-0.00192,0.60427,3.12388,0.99322,9.68987,0.0569,1.13908,-0.0068,2.27108,0.0569,,,,,,,,,3.Alter.WEIRD,WEIRD,3,3.44625374215084,2.8,"Incidental Disfluency (Alter et al., 2007)",0.30638,24
4,1,Graham,Graham.1,8.97032143608392,0.25,1207,1207,1209,1209,,t.r,two.sided,8.97032143608392,6.97616481161712,10.9608760467914,1209,1209,,0.5164,0.00353,0.40041,0.63361,69.72117,64.24997,0.285,0,,,,,,,,0.25,0.00073,0.19631,0.30201,0,0.25541,0.00083,0.19889,0.31173,2.5514,2.06733,3.15578,0,0.93664,0.72626,1.14924,0,,,,,,,,,4.Graham.WEIRD,WEIRD,15,15.4140604984069,14.8,"Moral Foundations (Graham et al., 2009)",0.25,24
5,1,Rottenstreich,Rottenstreich.1,4.91,4.91,1,1,40,20,20,X2,,4.91,0,17.437438903588,40,,,0.73872,0.11692,,1.73612,76.99623,69.92887,0.39858,0.03711,0.72405,0.11232,,1.70163,76.54812,69.56667,0.03711,0.35036,0.01973,,0.66025,0.03207,0.36585,0.02703,,0.79326,3.81864,,23.31207,0.03711,1.33989,,3.14897,0.03711,,,,,,,,,5.Rottenstreich.WEIRD,WEIRD,1,1.39764668743798,0.8,"Affect & Risk (Rottenstreich & Hsee, 2001)",0.35036,24
6,1,Bauer,Bauer.1,3.86,,76,76,77,39,38,t,two.sided,3.86,1.79492551210089,5.901877359314,77,39,38,0.87985,0.05698,0.40914,1.34528,81.05297,73.30777,0.46616,0.00043,0.87102,0.05585,0.40503,1.33178,80.81289,73.10216,0.00043,0.40711,0.00916,0.20295,0.56315,0.00039,0.43214,0.01351,0.2058,0.63744,4.93262,2.10032,11.47374,0.00043,1.59587,0.74209,2.44006,0.00043,,,,,,,,,6.Bauer.WEIRD,WEIRD,12,12.4077394105231,11.8,"Priming Consumerism (Bauer et al., 2012)",0.40711,24
7,1,Miyamoto,Miyamoto.1,6.66,,27,27,29,14,15,t,two.sided,6.66,3.98618341376232,9.26456881567268,29,14,15,2.47493,0.2437,1.48131,3.44282,99.3337,95.99445,0.91989,3e-05,2.40554,0.23023,1.43978,3.34629,99.19258,95.55262,3e-05,0.78842,0.00511,0.60867,0.87219,1e-05,1.06725,0.03846,0.7068,1.34214,89.03533,14.68466,515.21705,3e-05,4.48903,2.6868,6.24459,3e-05,,,,,,,,,7.Miyamoto.WEIRD,WEIRD,25,25.4430201204435,24.8,"Correspondence Bias (Miyamoto & Kitayama, 2002)",0.78842,24
7,1,Miyamoto,Miyamoto.3,1.84,,23,23,25,12,13,t,two.sided,1.84,-0.208609133080291,3.85146466715437,25,12,13,0.73659,0.17111,-0.08351,1.54182,76.9314,69.87635,0.39753,0.08818,0.71231,0.16001,-0.08076,1.49099,76.18624,69.27557,0.08818,0.35821,0.03166,-0.04346,0.62616,0.09203,0.37483,0.04545,-0.04348,0.73508,3.8039,0.85944,16.38804,0.08818,1.33603,-0.15147,2.79655,0.08818,,,,,,,,,7.Miyamoto.NONWEIRD,less WEIRD,25,25.4430201204435,24.8,"Correspondence Bias (Miyamoto & Kitayama, 2002)",0.35821,24
8,1,Inbar,Inbar.1a,0.607476635514019,0.607476635514019,21,21,44,22,22,Z.f,two.sided,0.607476635514019,,,44,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704912429265042,0.0690161433906434,1.34080871513944,,,,,,8.Inbar.WEIRD,WEIRD,28,28.4179797467245,27.8,"Disgust & Homophobia (Inbar et al., 2009)",0.704912429265042,24
