.id,source,gati1s.2,gati1s.3,gati1s.4,gati1s.5,gati1s.6,gati1s.7,gati1s.8,gati1s.9,gati1s.10,gati1s.11,gati1s.12,gati1s.13,gati1s.14,gati1s.15,gati1s.16,gati1s.17,gati1s.18,gati1s.19,gati1s.20,gati1s.21,gati1s.22,gati2s.2,gati2s.3,gati2s.4,gati2s.5,gati2s.6,gati2s.7,gati2s.8,gati2s.9,gati2s.10,gati2s.11,gati2s.12,gati2s.13,gati2s.14,gati2s.15,gati2s.16,gati2s.17,gati2s.18,gati2s.19,gati2s.20,gati2s.21,gati2s.22,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,16,2,6,15,16,14,15,19,17,4,17,10,14,18,13,7,10,10,10,14,19,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Tversky.Gati|Hsee|Zaval|Risen|Gray|Ross.Slate2|Zhong|Savani|Schwarz|Geissner|Shafir|Tversky|Hauser|Knobe,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,6100,2,Secondary,all,TRUE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Ross.Slate2|Tversky.Gati|Gray|Hauser|Shafir|Hsee|Risen|Knobe|Zhong|Schwarz|Zaval|Tversky|Savani|Geissner,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,6164,3,Secondary,all,FALSE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,3,15,9,10,6,7,8,11,9,11,12,8,14,14,9,7,8,7,6,13,7,2,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Geissner|Hauser|Gray|Shafir|Norenzayan|Zhong|Schwarz|Ross.Slate2|Knobe|Tversky|Hsee|Savani|Zaval|Tversky.Gati|Risen,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,6166,14,Secondary,all,TRUE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Geissner|Savani|Hauser|Risen|Zhong|Tversky|Hsee|Zaval|Gray|Tversky.Gati|Ross.Slate2|Shafir|Schwarz|Knobe|Norenzayan,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,6172,10,Secondary,all,FALSE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Geissner|Schwarz|Ross.Slate2|Gray|Zaval|Zhong|Norenzayan|Hauser|Risen|Knobe|Tversky.Gati|Shafir|Savani|Tversky|Hsee,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,6174,11,Secondary,all,FALSE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,6,7,3,8,7,11,5,18,12,5,18,17,6,15,16,3,3,7,14,3,3,,,,,,,,,,,,,,,,,,,,,,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Hauser|Knobe|Hsee|Norenzayan|Schwarz|Savani|Geissner|Shafir|Zhong|Ross.Slate2|Tversky|Tversky.Gati|Gray|Risen,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,6181,13,Secondary,all,TRUE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Gray|Savani|Geissner|Ross.Slate2|Shafir|Tversky.Gati|Risen|Hsee|Zaval|Tversky|Knobe|Norenzayan|Schwarz|Zhong,ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing,6182,7,Secondary,all,FALSE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,10,16,7,5,10,10,11,17,14,9,12,6,14,17,4,9,6,9,10,7,1,,,,,,,,,,,,,,,,,,,,,,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Gray|Shafir|Norenzayan|Tversky.Gati|Tversky|Hsee|Hauser|Zaval|Schwarz|Savani|Geissner|Zhong|Risen|Knobe,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,6190,5,Secondary,all,TRUE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,13,5,6,3,6,10,6,7,13,5,16,3,12,4,16,19,6,5,6,18,3,,,,,,,,,,,,,,,,,,,,,,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Tversky.Gati|Zaval|Hsee|Zhong|Schwarz|Risen|Hauser|Shafir|Norenzayan|Tversky|Knobe|Gray|Ross.Slate2|Geissner,ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection,6194,2,Secondary,all,TRUE
ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,armstrong,13,10,6,10,15,17,5,19,17,8,15,8,14,13,10,16,3,8,10,7,8,,,,,,,,,,,,,,,,,,,,,,1,armstrong,armstrong,armstrong,USA,"Armstrong Atlantic State University, Savannah, GA",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Tversky|Shafir|Savani|Schwarz|Ross.Slate2|Gray|Knobe|Risen|Tversky.Gati|Zhong|Zaval|Hsee|Geissner|Norenzayan,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,6198,10,Secondary,all,TRUE
