uID,CounterBalance,Prominent2nd,Prominent1st,Asymmetry
628,CBB,10.5454545454545,12.2,-1.65454545454545
632,CBA,9.7,8.36363636363636,1.33636363636364
634,CBB,12,13.5,-1.5
635,CBB,10.4545454545455,12.1,-1.64545454545454
639,CBB,5,4,1
643,CBB,2.90909090909091,4.7,-1.79090909090909
644,CBB,20,20,0
645,CBA,12.3,11.8181818181818,0.481818181818182
647,CBB,11.4545454545455,12.2,-0.745454545454544
648,CBB,6.36363636363636,8,-1.63636363636364
649,CBA,9,5.90909090909091,3.09090909090909
650,CBB,7.90909090909091,9.5,-1.59090909090909
656,CBB,9.27272727272727,9.8,-0.527272727272727
657,CBA,9.7,7.18181818181818,2.51818181818182
665,CBB,4.09090909090909,4.3,-0.209090909090909
666,CBA,9.7,7.72727272727273,1.97272727272727
671,CBB,9.45454545454546,11.5,-2.04545454545455
674,CBB,9.27272727272727,9.4,-0.127272727272727
675,CBB,7.36363636363636,11.4,-4.03636363636364
676,CBA,7.8,8.63636363636364,-0.836363636363637
677,CBB,8.54545454545455,10.1,-1.55454545454545
678,CBB,9.63636363636364,10.4,-0.763636363636364
679,CBA,9.5,7.36363636363636,2.13636363636364
680,CBA,10,7,3
683,CBB,13.9090909090909,14.5,-0.590909090909092
687,CBA,10.3,8.18181818181818,2.11818181818182
689,CBB,11,11.6,-0.6
690,CBB,4,1.9,2.1
691,CBB,8,10.3,-2.3
695,CBB,4.72727272727273,5.6,-0.872727272727272
702,CBB,5.36363636363636,6.6,-1.23636363636364
703,CBA,9.4,9.45454545454546,-0.0545454545454547
704,CBB,9.63636363636364,7.2,2.43636363636364
706,CBB,9.45454545454546,10.3,-0.845454545454546
713,CBA,11,12,-1
716,CBB,11.9090909090909,10,1.90909090909091
719,CBA,12.2,9.63636363636364,2.56363636363636
720,CBA,5.5,2.72727272727273,2.77272727272727
721,CBB,4.18181818181818,5.6,-1.41818181818182
722,CBA,10.2,9,1.2
724,CBA,12.4,12.2727272727273,0.127272727272727
725,CBA,10,7.72727272727273,2.27272727272727
726,CBA,5.7,5.63636363636364,0.0636363636363635
727,CBA,7.8,6.18181818181818,1.61818181818182
734,CBB,11.4545454545455,9.3,2.15454545454545
737,CBA,8.4,6.36363636363636,2.03636363636364
739,CBA,8.9,8.36363636363636,0.536363636363637
740,CBA,10.7,5.18181818181818,5.51818181818182
741,CBB,7.90909090909091,9.9,-1.99090909090909
742,CBB,6.18181818181818,6.2,-0.0181818181818185
744,CBB,11.0909090909091,13.1,-2.00909090909091
746,CBA,12.6,12.0909090909091,0.509090909090908
750,CBB,6.18181818181818,9.8,-3.61818181818182
751,CBA,7,9.45454545454546,-2.45454545454546
752,CBA,7.5,8.81818181818182,-1.31818181818182
753,CBB,4.54545454545455,7.3,-2.75454545454545
754,CBA,11,8.72727272727273,2.27272727272727
755,CBB,11.7272727272727,12.1,-0.372727272727273
756,CBA,10.5,11.4545454545455,-0.954545454545455
757,CBA,12.2,12.9090909090909,-0.709090909090909
759,CBB,10.7272727272727,8.7,2.02727272727273
761,CBA,8.2,11.5454545454545,-3.34545454545455
766,CBB,9.45454545454546,10.1,-0.645454545454545
768,CBB,8.54545454545455,7.2,1.34545454545454
769,CBB,10.4545454545455,10.4,0.0545454545454547
770,CBB,5.81818181818182,10.7,-4.88181818181818
772,CBA,12.8,11.3636363636364,1.43636363636364
773,CBB,9.90909090909091,10.1,-0.190909090909091
774,CBA,9.8,8.45454545454546,1.34545454545455
775,CBA,8.4,9,-0.6
779,CBB,10.9090909090909,12.9,-1.99090909090909
780,CBA,10.9,6.72727272727273,4.17272727272727
781,CBA,7.8,8.27272727272727,-0.472727272727274
782,CBB,11.3636363636364,10.2,1.16363636363636
783,CBA,9.8,8,1.8
784,CBB,8.45454545454546,10.3,-1.84545454545455
785,CBA,8.6,6.27272727272727,2.32727272727273
787,CBB,10.7272727272727,11.5,-0.772727272727273
790,CBA,10.6,11.0909090909091,-0.490909090909092
792,CBB,4.63636363636364,7.6,-2.96363636363636
795,CBB,7.54545454545455,9.7,-2.15454545454545
797,CBB,10.5454545454545,9.6,0.945454545454545
800,CBB,9.90909090909091,9.3,0.609090909090908
803,CBA,8.4,7.81818181818182,0.581818181818182
1091,CBA,4.5,3.27272727272727,1.22727272727273
1096,CBB,12,11.9,0.0999999999999996
1101,CBA,9.7,11.8181818181818,-2.11818181818182
1102,CBB,4.18181818181818,4.5,-0.318181818181818
1103,CBA,9.9,9.36363636363636,0.536363636363637
1108,CBA,7,7.27272727272727,-0.272727272727273
1113,CBA,9,9.72727272727273,-0.727272727272727
1115,CBA,10,8.09090909090909,1.90909090909091
1120,CBA,7.4,4,3.4
1121,CBA,10.8,11,-0.199999999999999
1123,CBB,8.09090909090909,9.9,-1.80909090909091
1126,CBA,10.4,8.72727272727273,1.67272727272727
1130,CBB,9.90909090909091,9.6,0.309090909090909
1132,CBB,15,15.4,-0.4
1136,CBA,6.8,5.54545454545455,1.25454545454545
1137,CBB,7.27272727272727,6.8,0.472727272727273
1138,CBA,5.7,5,0.7
1147,CBA,11.8,10,1.8
1149,CBA,6.2,7.36363636363636,-1.16363636363636
1153,CBA,7.3,6.54545454545455,0.754545454545454
1155,CBA,3.5,2.72727272727273,0.772727272727273
1157,CBA,3,3,0
1160,CBB,14.7272727272727,12.7,2.02727272727273
1163,CBA,17.9,17.5454545454545,0.354545454545452
1169,CBA,5.6,4.45454545454545,1.14545454545455
1170,CBA,4.9,5.72727272727273,-0.827272727272727
1172,CBB,10,10,0
1173,CBA,11.7,10.1818181818182,1.51818181818182
1174,CBB,7,5.5,1.5
1179,CBB,4.09090909090909,5.5,-1.40909090909091
1180,CBB,13.6363636363636,14.2,-0.563636363636363
1182,CBA,10,10,0
1184,CBB,11.5454545454545,11.6,-0.0545454545454547
1186,CBB,11.2727272727273,11.8,-0.527272727272727
1187,CBB,9.72727272727273,11,-1.27272727272727
1188,CBB,9.90909090909091,9.9,0.00909090909090793
1190,CBA,10.8,10.5454545454545,0.254545454545456
1192,CBA,10.6,11.0909090909091,-0.490909090909092
1193,CBB,11.1818181818182,12.3,-1.11818181818182
1195,CBA,11,10.7272727272727,0.272727272727273
1196,CBA,11,9.90909090909091,1.09090909090909
1197,CBA,12.4,13.4545454545455,-1.05454545454545
1200,CBA,11,11.1818181818182,-0.181818181818182
1201,CBB,9.27272727272727,11.3,-2.02727272727273
1206,CBB,7.54545454545455,12.9,-5.35454545454545
1207,CBB,9.36363636363636,11.3,-1.93636363636364
1209,CBB,10.1818181818182,9,1.18181818181818
1210,CBA,9.7,12,-2.3
1215,CBA,9.9,11.5454545454545,-1.64545454545454
1216,CBB,11.1818181818182,10.4,0.781818181818181
1222,CBB,19.4545454545455,19.5,-0.0454545454545468
1223,CBA,10.6,11.1818181818182,-0.581818181818182
1224,CBA,13,10.1818181818182,2.81818181818182
1228,CBB,9.18181818181818,6.6,2.58181818181818
1230,CBB,1,1,0
1231,CBA,6.5,11.2727272727273,-4.77272727272727
1233,CBA,10,10,0
