uID,Prominent1st,Prominent2nd,Asymmetry,Order,.id,source,gati1s.2,gati1s.3,gati1s.4,gati1s.5,gati1s.6,gati1s.7,gati1s.8,gati1s.9,gati1s.10,gati1s.11,gati1s.12,gati1s.13,gati1s.14,gati1s.15,gati1s.16,gati1s.17,gati1s.18,gati1s.19,gati1s.20,gati1s.21,gati1s.22,gati2s.2,gati2s.3,gati2s.4,gati2s.5,gati2s.6,gati2s.7,gati2s.8,gati2s.9,gati2s.10,gati2s.11,gati2s.12,gati2s.13,gati2s.14,gati2s.15,gati2s.16,gati2s.17,gati2s.18,gati2s.19,gati2s.20,gati2s.21,gati2s.22,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
1096,11.9,12,0.0999999999999996,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,,,,,,,,,,,,,,,,,,,14,17,7,6,9,20,12,13,18,18,14,8,5,2,11,10,11,14,19,11,12,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Risen|Ross.Slate2|Zaval|Tversky|Norenzayan|Knobe|Geissner|Schwarz|Zhong|Hsee|Hauser|Shafir|Gray|Savani,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood,1,Secondary,all,TRUE
1101,11.8181818181818,9.7,-2.11818181818182,gatiAFTERnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,16,15,4,1,10,13,2,14,16,18,20,18,11,4,17,15,11,3,14,2,3,,,,,,,,,,,,,,,,,,,,,,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Geissner|Schwarz|Zaval|Tversky.Gati|Hsee|Savani|Hauser|Norenzayan|Ross.Slate2|Zhong|Knobe|Tversky|Shafir|Gray,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing,5,Secondary,all,TRUE
1103,9.36363636363636,9.9,0.536363636363637,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,11,10,10,5,12,16,4,15,15,5,10,2,10,15,11,15,10,6,7,3,10,,,,,,,,,,,,,,,,,,,,,,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Tversky|Hauser|Zaval|Risen|Gray|Savani|Hsee|Geissner|Zhong|Norenzayan|Tversky.Gati|Schwarz|Ross.Slate2|Shafir,ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,12,Secondary,all,TRUE
1108,7.27272727272727,7,-0.272727272727273,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Knobe|Hauser|Tversky.Gati|Norenzayan|Risen|Savani|Shafir|Zaval|Schwarz|Tversky|Gray|Geissner|Ross.Slate2|Zhong,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,4,Secondary,all,TRUE
1115,8.09090909090909,10,1.90909090909091,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,4,5,20,19,4,10,18,2,8,4,11,4,9,16,7,2,8,17,6,12,3,,,,,,,,,,,,,,,,,,,,,,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Risen|Knobe|Geissner|Hsee|Ross.Slate2|Savani|Tversky.Gati|Gray|Zaval|Schwarz|Zhong|Hauser|Shafir|Norenzayan,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood,8,Secondary,all,TRUE
1120,4,7.4,3.4,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,3,5,2,2,5,14,4,5,10,10,10,12,1,8,5,3,2,1,9,5,2,,,,,,,,,,,,,,,,,,,,,,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Knobe|Tversky|Zhong|Hauser|Risen|Gray|Schwarz|Geissner|Hsee|Norenzayan|Shafir|Zaval|Savani|Ross.Slate2,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection,1,Secondary,all,TRUE
1121,11,10.8,-0.199999999999999,gatiAFTERnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,11,11,11,11,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Tversky.Gati|Knobe|Risen|Zaval|Hauser|Norenzayan|Schwarz|Tversky|Geissner|Savani|Ross.Slate2|Shafir|Hsee|Gray,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,2,Secondary,all,TRUE
1132,15.4,15,-0.4,gatiBEFOREnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,,,,,,,,,,,,,,,,,,,16,15,14,20,16,17,15,14,15,20,14,20,14,16,14,15,14,15,13,14,8,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Ross.Slate2|Hauser|Zhong|Gray|Shafir|Hsee|Tversky|Knobe|Savani|Schwarz|Geissner|Tversky.Gati|Zaval|Risen,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE,13,Secondary,all,TRUE
1136,5.54545454545455,6.8,1.25454545454545,gatiAFTERnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,4,4,8,10,4,2,4,7,10,7,3,7,3,1,9,4,4,8,18,7,5,,,,,,,,,,,,,,,,,,,,,,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Shafir|Ross.Slate2|Hsee|Tversky|Schwarz|Norenzayan|Geissner|Zaval|Knobe|Tversky.Gati|Gray|Risen|Hauser|Savani|Zhong,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,10,Secondary,all,TRUE
1137,6.8,7.27272727272727,0.472727272727273,gatiAFTERnore,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,,,,,,,,,,,,,,,,,,,5,8,6,6,11,8,7,4,3,11,8,9,3,7,14,6,6,4,3,10,9,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky.Gati|Schwarz|Gray|Zhong|Hauser|Norenzayan|Hsee|Risen|Savani|Knobe|Geissner|Zaval|Shafir|Tversky,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE,2,Secondary,all,TRUE
