uID,Prominent2nd,Prominent1st,Asymmetry,Order,.id,source,gati2d.2,gati2d.3,gati2d.4,gati2d.5,gati2d.6,gati2d.7,gati2d.8,gati2d.9,gati2d.10,gati2d.11,gati2d.12,gati2d.13,gati2d.14,gati2d.15,gati2d.16,gati2d.17,gati2d.18,gati2d.19,gati2d.20,gati2d.21,gati2d.22,gati1d.2,gati1d.3,gati1d.4,gati1d.5,gati1d.6,gati1d.7,gati1d.8,gati1d.9,gati1d.10,gati1d.11,gati1d.12,gati1d.13,gati1d.14,gati1d.15,gati1d.16,gati1d.17,gati1d.18,gati1d.19,gati1d.20,gati1d.21,gati1d.22,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
1,17,15.9,-1.1,gatiAFTERnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,17,16,17,17,19,13,18,12,13,19,12,19,17,12,16,18,17,19,18,18,19,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zhong|Tversky|Geissner|Tversky.Gati|Knobe|Shafir|Zaval|Hsee|Hauser|Gray|Risen|Savani|Norenzayan|Schwarz,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,5,Global,all,TRUE
3,13,11.2,-1.8,gatiBEFOREnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,12,10,14,11,17,4,14,11,4,14,7,15,11,4,15,14,17,18,16,13,14,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Hsee|Knobe|Tversky.Gati|Norenzayan|Shafir|Risen|Ross.Slate2|Savani|Tversky|Geissner|Schwarz|Gray|Zaval|Hauser,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,4,Global,all,TRUE
4,11.1,13.0909090909091,1.99090909090909,gatiAFTERnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,,,,,,,,,,,,,,,,,,,,,15,8,18,17,12,6,15,5,6,17,4,19,7,4,9,15,19,19,11,15,14,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Risen|Norenzayan|Zaval|Tversky|Geissner|Ross.Slate2|Gray|Savani|Knobe|Hsee|Zhong|Tversky.Gati|Hauser|Shafir,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,13,Global,all,TRUE
5,8.7,9.63636363636364,0.936363636363637,gatiBEFOREnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,,,,,,,,,,,,,,,,,,,,,17,3,16,12,15,5,10,2,3,12,1,19,3,4,8,8,10,14,9,4,18,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Tversky.Gati|Zaval|Hauser|Ross.Slate2|Norenzayan|Shafir|Savani|Schwarz|Knobe|Tversky|Geissner|Gray|Risen|Zhong,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five,2,Global,all,TRUE
6,16.3636363636364,12.6,-3.76363636363636,gatiAFTERnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,15,15,20,20,15,5,20,15,1,15,10,10,5,10,20,20,20,20,20,10,20,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Savani|Ross.Slate2|Hsee|Zaval|Geissner|Tversky|Shafir|Schwarz|Norenzayan|Tversky.Gati|Gray|Knobe|Zhong|Risen,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,11,Global,all,TRUE
13,12.2727272727273,12.1,-0.172727272727274,gatiAFTERnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,13,9,19,14,9,9,8,12,12,9,13,10,15,16,11,11,12,14,14,12,14,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Tversky.Gati|Knobe|Shafir|Hauser|Risen|Zaval|Zhong|Gray|Geissner|Tversky|Ross.Slate2|Norenzayan|Savani|Hsee,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,2,Global,all,TRUE
15,14.2727272727273,11.8,-2.47272727272727,gatiBEFOREnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,14,13,20,13,16,2,5,15,13,16,16,12,6,15,15,10,19,18,13,7,17,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Gray|Risen|Tversky|Schwarz|Savani|Zaval|Zhong|Geissner|Tversky.Gati|Hsee|Hauser|Shafir|Ross.Slate2|Knobe,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five,10,Global,all,TRUE
16,9.5,11.8181818181818,2.31818181818182,gatiBEFOREnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,,,,,,,,,,,,,,,,,,,,,9,4,14,12,10,3,15,3,3,15,4,15,10,8,13,15,18,18,12,12,12,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Tversky|Risen|Zhong|Zaval|Hauser|Knobe|Hsee|Gray|Geissner|Ross.Slate2|Shafir|Norenzayan|Tversky.Gati|Schwarz,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,14,Global,all,TRUE
19,11.3636363636364,13.6,2.23636363636364,gatiAFTERnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,14,2,19,20,6,15,18,6,5,7,7,17,4,15,17,4,14,18,15,20,18,,,,,,,,,,,,,,,,,,,,,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Risen|Tversky.Gati|Tversky|Savani|Norenzayan|Shafir|Hsee|Ross.Slate2|Knobe|Gray|Zaval|Geissner|Schwarz|Zhong,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,3,Global,all,TRUE
23,17.5454545454545,15.7,-1.84545454545455,gatiBEFOREnore,ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,18,18,17,17,19,14,15,15,17,16,16,18,19,8,18,18,18,18,16,18,17,,,,,,,,,,,,,,,,,,,,,,1,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Zaval|Tversky|Hauser|Schwarz|Risen|Knobe|Savani|Gray|Geissner|Ross.Slate2|Hsee|Norenzayan|Zhong|Shafir,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection,1,Global,all,TRUE
