uID,variable1,variable2,factor
106,0.5,7,SameKiss
107,0.3,5,SameKiss
108,0.7,1,SameKiss
111,0.3,4,SameKiss
113,0.7,1,SameKiss
116,0.3,2,SameKiss
119,0.5,7,SameKiss
121,0.6,1,SameKiss
123,0.4,5,SameKiss
124,0.6,5,SameKiss
128,0.5,1,SameKiss
129,0.5,2,SameKiss
132,0.7,3,SameKiss
133,0.2,1,SameKiss
135,0.3,1,SameKiss
136,0.8,7,SameKiss
139,0.1,1,SameKiss
141,0.2,5,SameKiss
144,0.7,1,SameKiss
148,0.6,2,SameKiss
149,0.7,3,SameKiss
152,0.6,1,SameKiss
154,0.8,3,SameKiss
155,0.5,5,SameKiss
156,0.3,3,SameKiss
157,0.5,3,SameKiss
159,0.4,2,SameKiss
160,0.7,5,SameKiss
162,0.2,4,SameKiss
164,0.9,6,SameKiss
165,0.2,3,SameKiss
167,0.8,3,SameKiss
168,0.1,5,SameKiss
169,0.3,3,SameKiss
170,0.6,5,SameKiss
171,0.8,2,SameKiss
174,0.3,3,SameKiss
179,0,5,SameKiss
180,0.5,5,SameKiss
182,0.5,3,SameKiss
183,0.5,3,SameKiss
189,0.4,2,SameKiss
192,0.2,4,SameKiss
195,0.8,5,SameKiss
196,0.6,1,SameKiss
197,0.3,2,SameKiss
201,0.9,5,SameKiss
202,0.5,6,SameKiss
204,0.5,1,SameKiss
207,0.3,2,SameKiss
212,0.3,3,SameKiss
214,0.6,4,SameKiss
219,0.2,3,SameKiss
221,0.3,3,SameKiss
222,0.3,2,SameKiss
223,0.3,5,SameKiss
225,0.8,3,SameKiss
226,0.5,6,SameKiss
227,0.8,7,SameKiss
228,0.6,2,SameKiss
229,0.9,3,SameKiss
230,0.5,4,SameKiss
233,0.5,5,SameKiss
234,1,3,SameKiss
236,0.2,6,SameKiss
238,0.4,4,SameKiss
239,0.3,1,SameKiss
243,0.4,3,SameKiss
244,0.8,3,SameKiss
245,0.5,7,SameKiss
249,0.8,5,SameKiss
250,0.4,6,SameKiss
251,0.2,2,SameKiss
252,0.6,1,SameKiss
256,0.7,3,SameKiss
258,0.7,1,SameKiss
259,0.6,4,SameKiss
263,0.4,4,SameKiss
264,0.6,2,SameKiss
266,0.4,3,SameKiss
270,0.6,3,SameKiss
272,0.4,1,SameKiss
276,0.5,5,SameKiss
277,0.3,2,SameKiss
278,0.2,2,SameKiss
284,0.4,1,SameKiss
285,0.6,4,SameKiss
286,0.1,1,SameKiss
290,1,1,SameKiss
292,0.2,7,SameKiss
293,0.9,5,SameKiss
294,0.3,2,SameKiss
