uID,variable1,variable2,factor
3296,0.4,2,SameKiss
3300,0.3,2,SameKiss
3301,0.3,2,SameKiss
3305,0.4,1,SameKiss
3306,0.4,2,SameKiss
3307,0.2,2,SameKiss
3310,0.1,2,SameKiss
3313,0.2,2,SameKiss
3314,0.1,1,SameKiss
3325,0,1,SameKiss
3343,0.4,1,SameKiss
3355,0.1,2,SameKiss
3359,0.2,2,SameKiss
3363,0.8,2,SameKiss
3364,0.3,1,SameKiss
3366,0.6,1,SameKiss
3367,0.3,2,SameKiss
3297,0.7,2,DiffKiss
3298,0.2,2,DiffKiss
3299,0,2,DiffKiss
3302,0.5,2,DiffKiss
3308,0.4,2,DiffKiss
3309,0.2,2,DiffKiss
3311,0.4,2,DiffKiss
3312,0,2,DiffKiss
3315,0,2,DiffKiss
3317,0.5,2,DiffKiss
3322,0.4,2,DiffKiss
3329,0.1,2,DiffKiss
3331,0,2,DiffKiss
3332,0.3,1,DiffKiss
3342,1,2,DiffKiss
3356,0.4,1,DiffKiss
3360,0.3,2,DiffKiss
3361,0.2,1,DiffKiss
3362,0,2,DiffKiss
3365,0,2,DiffKiss
5458,0.1,2,SameKiss
5464,0.7,2,SameKiss
5483,0.3,2,SameKiss
5484,0.7,2,SameKiss
5486,0.5,1,SameKiss
5487,0.7,2,SameKiss
5488,0.8,2,SameKiss
5489,0,2,SameKiss
5532,0.3,2,SameKiss
5538,0.3,2,SameKiss
5587,0.3,2,SameKiss
5588,0.1,2,SameKiss
5591,0.3,2,SameKiss
5592,0.6,2,SameKiss
5594,0.4,2,SameKiss
5598,0.2,2,SameKiss
5599,0.2,2,SameKiss
5659,0.2,2,SameKiss
5673,0.1,2,SameKiss
5677,0,2,SameKiss
5682,0.2,2,SameKiss
5720,0.6,2,SameKiss
5744,0,2,SameKiss
5748,0.3,2,SameKiss
5750,0.4,2,SameKiss
5751,0.3,2,SameKiss
5752,0.8,2,SameKiss
5754,0,2,SameKiss
5756,0.8,2,SameKiss
5757,0.9,2,SameKiss
5758,0,2,SameKiss
5772,0.5,2,SameKiss
5781,0,2,SameKiss
5782,0.1,1,SameKiss
5785,0.8,2,SameKiss
5787,0,2,SameKiss
5788,0.4,2,SameKiss
5391,0.6,2,DiffKiss
5451,0.4,1,DiffKiss
5480,0.3,1,DiffKiss
5482,0.2,1,DiffKiss
5485,1,1,DiffKiss
5541,0.5,2,DiffKiss
5542,0.3,2,DiffKiss
5586,0.6,1,DiffKiss
5589,0.1,1,DiffKiss
5590,0.7,2,DiffKiss
5593,0.1,1,DiffKiss
5595,0.1,2,DiffKiss
5596,0.4,2,DiffKiss
5597,0.3,1,DiffKiss
5651,0.1,2,DiffKiss
5654,0.3,2,DiffKiss
5669,0.6,1,DiffKiss
5691,0.3,1,DiffKiss
5705,0.3,1,DiffKiss
5709,0.6,1,DiffKiss
5712,0.3,2,DiffKiss
5729,0.1,2,DiffKiss
5745,0.9,2,DiffKiss
5746,0.2,1,DiffKiss
5747,0.5,1,DiffKiss
5749,0.5,1,DiffKiss
5763,0.5,2,DiffKiss
5764,0.2,2,DiffKiss
5765,0.3,1,DiffKiss
5776,0.1,1,DiffKiss
5777,0,2,DiffKiss
5778,0.2,1,DiffKiss
5779,0.5,1,DiffKiss
5780,0.6,1,DiffKiss
5783,0.3,1,DiffKiss
5784,0.1,2,DiffKiss
5786,0.4,1,DiffKiss
5789,0.4,2,DiffKiss
4329,0.5,2,SameKiss
4331,0.2,2,SameKiss
4333,0.6,1,SameKiss
4334,0.3,2,SameKiss
4336,0.7,1,SameKiss
4338,0.1,2,SameKiss
4340,0.5,2,SameKiss
4341,0.7,2,SameKiss
4343,0.5,2,SameKiss
4345,0.1,2,SameKiss
4346,0.3,2,SameKiss
4350,0.6,2,SameKiss
4351,0.2,2,SameKiss
4352,0.3,2,SameKiss
4354,0.1,2,SameKiss
4357,0.1,1,SameKiss
4358,0.8,2,SameKiss
4361,0.7,1,SameKiss
