results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T15:51:28.670485Z,8,Inbar,1,,badaniaon,Secondary,Inbar.2c,37,17,20,r1,DSRs,17,,,,,0.3,0.196850196850295,0.3,0.286666666666667,0.1,0,0.8,0.8,0.861463930403896,3.72372528616025,0.0477431855316116,r1,Wrong,17,,,,,1.64705882352941,0.492592183071889,2,1.66666666666667,0,1,2,1,-0.615457454896663,1.37878787878788,0.119471153009352,r2,DSRd,20,,,,,,0.28,0.26872016358247,0.25,0.24375,0.2,0,1,1,0.936360502693592,3.64880279475389,0.0600876552695267,r2,Wrong,20,,,,,,1.85,0.366347548532523,2,1.9375,0,1,2,1,-1.96039211763921,4.84313725490196,0.0819178021909125,Z.f,-0.0320777652242194,,,-0.13230540671774,0.894742731030246,20,-0.467955877310593,0.416353182730385,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -0.13231, n1 = 20, p-value = 0.8947
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.4679559  0.4163532
sample estimates:
        cor 
-0.03207777 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,74,37,37,-0.06419,0.05485,-1.05902,0.91586,47.441,48.1899,-0.0362,0.7848,,,,,,,,-0.03208,0.01367,-0.46796,0.41635,0.78763,-0.03209,0.01408,-0.50745,0.44327,0.8901,0.14648,5.26559,0.7848,-0.11643,-1.92085,1.66119,0.7848,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate1,badaniaon,1,1,1,1,1,1,37,13,36,37,37,0,100,"Execution
   
37 ","SubjectPool
No 
37 ","Setting
Online (at home) 
              37 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             37 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       37 ","analysis.type
Secondary 
       37 ","subset
all 
 37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:28.797404Z,8,Inbar,1,,bc,Secondary,Inbar.2c,75,37,38,r1,DSRs,37,,,,,0.348648648648649,0.282470865382237,0.3,0.335483870967742,0.2,0,0.9,0.9,0.415474157504459,1.94575838685464,0.0464379242121077,r1,Wrong,37,,,,,1.94594594594595,0.229243435135126,2,2,0,1,2,1,-3.9442544108035,16.5571428571429,0.037687388582616,r2,DSRd,38,,,,,,0.365789473684211,0.229307200756179,0.3,0.346875,0.2,0,1,1,0.727359634422056,3.2969729336057,0.0371985399821844,r2,Wrong,38,,,,,,1.42105263157895,0.500355492401824,1,1.40625,0,1,2,1,0.319801074533416,1.10227272727273,0.0811683790480063,Z.f,-0.0830659647654579,,,-0.492559847044238,0.622323625283879,38,-0.392331044959868,0.243072123496779,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -0.49256, n1 = 38, p-value = 0.6223
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.3923310  0.2430721
sample estimates:
        cor 
-0.08306596 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,150,75,75,-0.16671,0.02703,-0.85306,0.50118,43.37999,45.30812,-0.09384,0.31225,,,,,,,,-0.08307,0.00662,-0.39233,0.24307,0.3144,-0.08326,0.0068,-0.41455,0.24804,0.73906,0.21283,2.48192,0.31225,-0.30237,-1.54727,0.90903,0.31225,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,75,13,71,75,75,0,100,"Execution
legal 
   75 ","SubjectPool
Yes 
 75 ","Setting
In a lab 
      75 ","Tablet
Computers 
       75 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               75 ","analysis.type
Secondary 
       75 ","subset
all 
 75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:28.916181Z,8,Inbar,1,,bilgi,Secondary,Inbar.2c,150,63,87,r1,DSRs,63,,,,,0.442857142857143,0.216805461866003,0.4,0.445098039215686,0.1,0,0.9,0.9,-0.103148086668787,2.5239446366782,0.0273149207132353,r1,Wrong,63,,,,,1.65079365079365,0.480548415161132,2,1.68627450980392,0,1,2,1,-0.632630800301425,1.40022172949002,0.0605434094972656,r2,DSRd,87,,,,,,0.450574712643678,0.227664360877102,0.5,0.450704225352113,0.2,0,0.9,0.9,-0.0431735517190345,2.00120537401579,0.0244081815032176,r2,Wrong,87,,,,,,1.75862068965517,0.430400496060148,2,1.8169014084507,0,1,2,1,-1.20873444603807,2.46103896103896,0.0461437766826489,Z.f,-0.158769641007282,,,-1.46756314654198,0.142222924780442,87,-0.357462714993244,0.053673704473643,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.4676, n1 = 87, p-value = 0.1422
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.3574627  0.0536737
sample estimates:
       cor 
-0.1587696 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,300,150,150,-0.32162,0.01372,-0.7655,0.1075,37.38707,41.0049,-0.1799,0.00641,,,,,,,,-0.15877,0.00318,-0.35746,0.05367,0.00615,-0.16012,0.00337,-0.37397,0.05373,0.55802,0.24946,1.2153,0.00641,-0.58335,-1.38847,0.19499,0.00641,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,150,13,132,150,150,0,0,"Execution
illegal 
    150 ","SubjectPool
 No 
150 ","Setting
Online (at home) 
             150 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            150 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      150 ","analysis.type
Secondary 
      150 ","subset
all 
150 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.072552Z,8,Inbar,1,,brasilia,Secondary,Inbar.2c,102,63,39,r1,DSRs,63,,,,,0.344444444444444,0.244142857292662,0.3,0.333333333333333,0.2,0,0.9,0.9,0.272305742643887,2.22541672256234,0.0307591087985293,r1,Wrong,63,,,,,1.80952380952381,0.395830806847786,2,1.88235294117647,0,1,2,1,-1.57648156273616,3.48529411764706,0.0498699941036803,r2,DSRd,39,,,,,,0.374358974358974,0.244645768319861,0.4,0.366666666666667,0.1,0,0.9,0.9,0.126737136841488,2.36705261646049,0.0391746752172864,r2,Wrong,39,,,,,,1.8974358974359,0.307354740604728,2,1.96969696969697,0,1,2,1,-2.6199781896584,7.86428571428571,0.0492161471762766,Z.f,-0.000897375425455616,,,-0.00538425399801612,0.995704007620492,39,-0.316324863270908,0.314708781549622,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -0.0053843, n1 = 39, p-value = 0.9957
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.3163249  0.3147088
sample estimates:
          cor 
-0.0008973754 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,204,102,102,-0.00179,0.0197,-0.66689,0.66311,49.9284,49.94937,-0.00101,0.98981,,,,,,,,-9e-04,0.00493,-0.31632,0.31471,0.98986,-9e-04,0.00498,-0.32756,0.32576,0.99675,0.29831,3.32926,0.98981,-0.00326,-1.20961,1.20275,0.98981,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,102,13,98,102,102,0,0,"Execution
illegal 
    102 ","SubjectPool
 No 
102 ","Setting
In a classroom 
           102 ","Tablet
Computers 
      102 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      102 ","analysis.type
Secondary 
      102 ","subset
all 
102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.198491Z,8,Inbar,1,,cas,Secondary,Inbar.2c,69,35,34,r1,DSRs,35,,,,,0.431428571428571,0.256413531545556,0.4,0.424137931034483,0.2,0,0.9,0.9,0.313559868668439,2.23811526120667,0.0433417974311383,r1,Wrong,35,,,,,1.34285714285714,0.481593991977935,1,1.31034482758621,0,1,2,1,0.662122191971731,1.43840579710145,0.0814042422743686,r2,DSRd,34,,,,,,0.55,0.207802353648408,0.5,0.539285714285714,0.1,0.1,1,0.9,0.359920398558268,2.77462603878116,0.0356378096399853,r2,Wrong,34,,,,,,1.47058823529412,0.506640397104899,1,1.46428571428571,0,1,2,1,0.117851130197757,1.01388888888889,0.086888111279529,Z.f,-0.201480872318767,,,-1.13735844298713,0.255388472344552,34,-0.505223699016912,0.146678614280902,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.1374, n1 = 34, p-value = 0.2554
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.5052237  0.1466786
sample estimates:
       cor 
-0.2014809 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,138,69,69,-0.4114,0.03043,-1.17087,0.29656,34.03902,38.55629,-0.22887,0.01977,,,,,,,,-0.20148,0.00672,-0.50522,0.14668,0.01901,-0.20428,0.00741,-0.5563,0.14774,0.47417,0.11959,1.71242,0.01977,-0.74619,-2.12372,0.53791,0.01977,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,69,13,68,69,69,0,0,"Execution
legal 
   69 ","SubjectPool
No 
69 ","Setting
In a lab 
      69 ","Tablet
Computers 
       69 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       69 ","analysis.type
Secondary 
       69 ","subset
all 
 69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.323571Z,8,Inbar,1,,castab,Secondary,Inbar.2c,66,31,35,r1,DSRs,31,,,,,0.551612903225807,0.20955662359998,0.6,0.552,0.1,0.1,0.9,0.8,-0.13347492385009,2.3185257007351,0.0376374806733856,r1,Wrong,31,,,,,1.35483870967742,0.48637345711392,1,1.32,0,1,2,1,0.606779876216919,1.36818181818182,0.0873552516627523,r2,DSRd,35,,,,,,0.5,0.231364240462319,0.5,0.5,0.1,0,1,1,-0.101199002227734,3.09594251901944,0.0391076944437521,r2,Wrong,35,,,,,,1.6,0.497050121747708,2,1.62068965517241,0,1,2,1,-0.408248290463864,1.16666666666667,0.0840168050416806,Z.f,-0.153453187294164,,,-0.874973908627569,0.381588102443644,35,-0.463021839372745,0.189483095368381,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -0.87497, n1 = 35, p-value = 0.3816
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.4630218  0.1894831
sample estimates:
       cor 
-0.1534532 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,132,66,66,-0.31058,0.03127,-1.04479,0.38596,37.80581,41.30848,-0.17383,0.08137,,,,,,,,-0.15345,0.00728,-0.46302,0.18948,0.08129,-0.15467,0.00775,-0.50115,0.1918,0.56931,0.15031,2.01385,0.08137,-0.56334,-1.89503,0.70005,0.08137,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,66,12,60,66,66,0,0,"Execution
legal 
   66 ","SubjectPool
No 
66 ","Setting
In a lab 
      66 ","Tablet
Tablets 
     66 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       66 ","analysis.type
Secondary 
       66 ","subset
all 
 66 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.476900Z,8,Inbar,1,,doshisha,Secondary,Inbar.2c,110,54,56,r1,DSRs,54,,,,,0.464814814814815,0.196341450181563,0.4,0.463636363636364,0.1,0,1,1,0.213922823325237,3.28836675787096,0.0267186871279396,r1,Wrong,54,,,,,1.68518518518519,0.468803135819012,2,1.72727272727273,0,1,2,1,-0.7974522228289,1.63593004769475,0.0637960262540699,r2,DSRd,56,,,,,,0.476785714285714,0.230407600433802,0.5,0.467391304347826,0.2,0,1,1,0.349542420009624,2.97745044054707,0.0307895107189997,r2,Wrong,56,,,,,,1.64285714285714,0.483493778415228,2,1.67391304347826,0,1,2,1,-0.596284793999943,1.35555555555556,0.0646095738380922,Z.f,-0.206345427789641,,,-1.52409989307032,0.127483759419659,56,-0.445100029329463,0.0597991048873476,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.5241, n1 = 56, p-value = 0.1275
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.4451000  0.0597991
sample estimates:
       cor 
-0.2063454 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,220,110,110,-0.42177,0.01908,-0.9941,0.11981,33.65973,38.2762,-0.23448,0.00254,,,,,,,,-0.20635,0.00419,-0.4451,0.0598,0.00231,-0.20935,0.00461,-0.47857,0.05987,0.46533,0.16479,1.24274,0.00254,-0.765,-1.8031,0.21732,0.00254,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,110,13,104,110,110,0,0,"Execution
legal 
  110 ","SubjectPool
Yes 
110 ","Setting
In a lab 
     110 ","Tablet
Computers 
      110 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      110 ","analysis.type
Secondary 
      110 ","subset
all 
110 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.613548Z,8,Inbar,1,,eindhoven,Secondary,Inbar.2c,98,44,54,r1,DSRs,44,,,,,0.359090909090909,0.222374272623286,0.3,0.35,0.2,0,0.8,0.8,0.32084073470587,2.27586196181594,0.0335241829690746,r1,Wrong,44,,,,,1.88636363636364,0.32103822064055,2,1.97222222222222,0,1,2,1,-2.43479057173407,6.92820512820513,0.0483983327830926,r2,DSRd,54,,,,,,0.287037037037037,0.218956613515957,0.2,0.263636363636364,0.1,0,0.9,0.9,0.950568264634751,3.43007150723641,0.0297962210512153,r2,Wrong,54,,,,,,1.75925925925926,0.431547683593059,2,1.81818181818182,0,1,2,1,-1.21281462910779,2.47091932457786,0.0587262013601689,Z.f,-0.213363106773147,,,-1.54749201289046,0.121744648969992,54,-0.455122415170012,0.0576934888987144,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.5475, n1 = 54, p-value = 0.1217
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.45512242  0.05769349
sample estimates:
       cor 
-0.2133631 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,196,98,98,-0.43678,0.02149,-1.02225,0.11558,33.1134,37.87167,-0.24257,0.00325,,,,,,,,-0.21336,0.00467,-0.45512,0.05769,0.00295,-0.21669,0.00518,-0.49114,0.05776,0.45283,0.15658,1.23323,0.00325,-0.79224,-1.85416,0.20964,0.00325,,,,,,,,eindhoven,eindhoven,"Eindhoven University of Technology, Eindhoven, Netherlands","Daniël Lakens, Karin Smolders",ML2_Slate1_Dutch_execution_illegal_DEPLOY__netherlands_r.csv,DO.BR.FL_5,DO.BR.FL_6,The Netherlands,Dutch,1,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eindhoven,1,1,2,1,1,1,98,13,89,98,98,0,100,"Execution
illegal 
     98 ","SubjectPool
No 
98 ","Setting
         In a classroom Other (please indicate) 
                     43                      55 ","Tablet
Computers   Tablets 
       55        43 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       98 ","analysis.type
Secondary 
       98 ","subset
all 
 98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.742439Z,8,Inbar,1,,elte,Secondary,Inbar.2c,94,41,53,r1,DSRs,41,,,,,0.429268292682927,0.24823769097281,0.4,0.421212121212121,0.2,0,1,1,0.315277821778709,2.5723990063138,0.038768214041765,r1,Wrong,41,,,,,1.78048780487805,0.419058177461747,2,1.84848484848485,0,1,2,1,-1.35528799727422,2.83680555555556,0.0654458920243841,r2,DSRd,53,,,,,,0.456603773584906,0.209862073718636,0.4,0.444186046511628,0.1,0.1,1,0.9,0.51145653724023,2.39385951816102,0.0288267727974332,r2,Wrong,53,,,,,,1.77358490566038,0.422515790963998,2,1.83720930232558,0,1,2,1,-1.30742097026778,2.70934959349593,0.0580370073240412,Z.f,-0.156317371946833,,,-1.11446804209851,0.265078447128138,53,-0.409316883192261,0.119004575951919,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.1145, n1 = 53, p-value = 0.2651
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.4093169  0.1190046
sample estimates:
       cor 
-0.1563174 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,188,94,94,-0.31653,0.02193,-0.89724,0.23971,37.58017,41.14496,-0.1771,0.03385,,,,,,,,-0.15632,0.00509,-0.40932,0.119,0.03335,-0.15761,0.00541,-0.43479,0.11957,0.5632,0.19644,1.54464,0.03385,-0.57411,-1.62741,0.43479,0.03385,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,94,13,86,94,94,0,100,"Execution
illegal 
     94 ","SubjectPool
Yes 
 94 ","Setting
In a lab 
      94 ","Tablet
Computers 
       94 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       94 ","analysis.type
Secondary 
       94 ","subset
all 
 94 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:29.879097Z,8,Inbar,1,,eltetab,Secondary,Inbar.2c,86,43,43,r1,DSRs,43,,,,,0.353488372093023,0.24333871867097,0.3,0.331428571428571,0.2,0,1,1,0.754634902580042,3.25705195403116,0.0371088067038909,r1,Wrong,43,,,,,1.74418604651163,0.441481448448827,2,1.8,0,1,2,1,-1.11930376086695,2.25284090909091,0.0673252897168136,r2,DSRd,43,,,,,,0.395348837209302,0.232945413973903,0.4,0.391428571428571,0.2,0,1,1,0.194029688450428,2.62593481882549,0.0355238425965569,r2,Wrong,43,,,,,,1.72093023255814,0.45385026875081,2,1.77142857142857,0,1,2,1,-0.985104109993904,1.97043010752688,0.069211517129567,Z.f,-0.215257015263486,,,-1.38303672038552,0.166653606858628,43,-0.484290924018249,0.0909680309726447,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.383, n1 = 43, p-value = 0.1667
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.48429092  0.09096803
sample estimates:
      cor 
-0.215257 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,172,86,86,-0.44085,0.02453,-1.10707,0.18269,32.96613,37.7624,-0.24475,0.00545,,,,,,,,-0.21526,0.00532,-0.48429,0.09097,0.00502,-0.21868,0.00592,-0.52857,0.09122,0.4495,0.13426,1.39287,0.00545,-0.79961,-2.008,0.33137,0.00545,,,,,,,,eltetab,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eltetab,1,1,1,1,1,1,86,13,82,86,86,0,100,"Execution
illegal 
     86 ","SubjectPool
Yes 
 86 ","Setting
In a lab 
      86 ","Tablet
Tablets 
     86 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       86 ","analysis.type
Secondary 
       86 ","subset
all 
 86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
