results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T15:51:59.442548Z,8,Inbar,1,,badaniaon,Secondary,Inbar.3b,37,17,20,r1,DSRs,17,,,,,0.3,0.196850196850295,0.3,0.286666666666667,0.1,0,0.8,0.8,0.861463930403896,3.72372528616025,0.0477431855316116,r1,Encourage,17,,,,,2.94117647058824,2.0757705868934,2,2.8,1,1,7,6,0.9447990641606,2.58397593448963,0.503448316724226,r2,DSRd,20,,,,,,0.28,0.26872016358247,0.25,0.24375,0.2,0,1,1,0.936360502693592,3.64880279475389,0.0600876552695267,r2,Encourage,20,,,,,,1.9,1.2096106376586,1.5,1.6875,0.5,1,5,4,1.29242025400157,3.60421303245174,0.270477161211149,Z.f,-0.0305910797180769,,,-0.114497064305134,0.908843773441216,17,-0.503827842174637,0.456769774420994,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -0.1145, n1 = 17, p-value = 0.9088
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.5038278  0.4567698
sample estimates:
        cor 
-0.03059108 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,74,37,37,-0.06121,0.05485,-1.16653,1.02693,47.55957,48.27381,-0.03452,0.79454,,,,,,,,-0.03059,0.01367,-0.50383,0.45677,0.79725,-0.0306,0.01408,-0.55442,0.49322,0.89492,0.12053,6.44072,0.79454,-0.11102,-2.11586,1.86264,0.79454,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate1,badaniaon,1,1,1,1,1,1,37,13,36,37,37,0,100,"Execution
   
37 ","SubjectPool
No 
37 ","Setting
Online (at home) 
              37 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             37 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       37 ","analysis.type
Secondary 
       37 ","subset
all 
 37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:59.549951Z,8,Inbar,1,,bc,Secondary,Inbar.3b,75,37,38,r1,DSRs,37,,,,,0.348648648648649,0.282470865382237,0.3,0.335483870967742,0.2,0,0.9,0.9,0.415474157504459,1.94575838685464,0.0464379242121077,r1,Encourage,37,,,,,2.08108108108108,1.40195059309002,1,1.90322580645161,0,1,5,4,1.01963647758322,2.65942166852157,0.230479257756145,r2,DSRd,38,,,,,,0.365789473684211,0.229307200756179,0.3,0.346875,0.2,0,1,1,0.727359634422056,3.2969729336057,0.0371985399821844,r2,Encourage,38,,,,,,2.71052631578947,1.46873534011025,2,2.625,1,1,6,5,0.615821423032611,2.17772357675852,0.238260334137658,Z.f,0.333468829775099,,,2.02174281050623,0.0432029286910669,37,0.0105945848210709,0.593373659252528,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 2.0217, n1 = 37, p-value = 0.0432
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.01059458 0.59337366
sample estimates:
      cor 
0.3334688 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,150,75,75,0.70743,0.0302,0.02119,1.47435,76.03504,69.1543,0.38309,8e-05,,,,,,,,0.33347,0.0053,0.01059,0.59337,5e-05,0.34673,0.0068,0.01059,0.68286,3.60794,1.03918,14.50048,8e-05,1.28314,0.03844,2.67418,8e-05,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,75,13,71,75,75,0,100,"Execution
legal 
   75 ","SubjectPool
Yes 
 75 ","Setting
In a lab 
      75 ","Tablet
Computers 
       75 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               75 ","analysis.type
Secondary 
       75 ","subset
all 
 75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:59.686567Z,8,Inbar,1,,bilgi,Secondary,Inbar.3b,151,64,87,r1,DSRs,64,,,,,0.4453125,0.215973019699441,0.45,0.448076923076923,0.15,0,0.9,0.9,-0.130891151009515,2.53149470221576,0.0269966274624302,r1,Encourage,64,,,,,2.609375,1.99695949438696,2,2.30769230769231,1,1,7,6,0.946682411467577,2.58945189778556,0.24961993679837,r2,DSRd,87,,,,,,0.450574712643678,0.227664360877102,0.5,0.450704225352113,0.2,0,0.9,0.9,-0.0431735517190345,2.00120537401579,0.0244081815032176,r2,Encourage,87,,,,,,2.48275862068966,1.73112457712426,2,2.22535211267606,1,1,7,6,1.05720469719988,3.08502657576145,0.18559603585007,Z.f,0.343481408293871,,,2.79633718542607,0.00516854455918492,64,0.106679143950214,0.543410078677354,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 2.7963, n1 = 64, p-value = 0.005169
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.1066791 0.5434101
sample estimates:
      cor 
0.3434814 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,302,151,151,0.73147,0.01507,0.21458,1.29465,76.77526,69.75002,0.395,0,,,,,,,,0.34348,0.00258,0.10668,0.54341,0,0.35803,0.00334,0.10709,0.60898,3.76871,1.47581,10.46717,0,1.32673,0.38921,2.34824,0,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,151,13,132,151,151,0,0,"Execution
illegal 
    151 ","SubjectPool
 No 
151 ","Setting
Online (at home) 
             151 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            151 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      151 ","analysis.type
Secondary 
      151 ","subset
all 
151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:59.806176Z,8,Inbar,1,,brasilia,Secondary,Inbar.3b,102,63,39,r1,DSRs,63,,,,,0.344444444444444,0.244142857292662,0.3,0.333333333333333,0.2,0,0.9,0.9,0.272305742643887,2.22541672256234,0.0307591087985293,r1,Encourage,63,,,,,2.26984126984127,1.96096050532147,1,1.90196078431373,0,1,7,6,1.22201479782808,3.09317829223707,0.247057801328579,r2,DSRd,39,,,,,,0.374358974358974,0.244645768319861,0.4,0.366666666666667,0.1,0,0.9,0.9,0.126737136841488,2.36705261646049,0.0391746752172864,r2,Encourage,39,,,,,,2.43589743589744,1.78877893951906,2,2.21212121212121,1,1,7,6,0.944465561956877,2.64702575280065,0.286433869150609,Z.f,0.220479505419948,,,1.7363363493477,0.0825043796037111,63,-0.028862185239286,0.443990613338952,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 1.7363, n1 = 63, p-value = 0.0825
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.02886219  0.44399061
sample estimates:
      cor 
0.2204795 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,204,102,102,0.45208,0.02071,-0.05775,0.99102,67.43958,62.53914,0.25078,0.00193,,,,,,,,0.22048,0.00446,-0.02886,0.44399,0.00171,0.22416,0.00498,-0.02887,0.47719,2.27048,0.90055,6.03456,0.00193,0.81999,-0.10474,1.7975,0.00193,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,102,13,98,102,102,0,0,"Execution
illegal 
    102 ","SubjectPool
 No 
102 ","Setting
In a classroom 
           102 ","Tablet
Computers 
      102 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      102 ","analysis.type
Secondary 
      102 ","subset
all 
102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:51:59.932601Z,8,Inbar,1,,cas,Secondary,Inbar.3b,69,35,34,r1,DSRs,35,,,,,0.431428571428571,0.256413531545556,0.4,0.424137931034483,0.2,0,0.9,0.9,0.313559868668439,2.23811526120667,0.0433417974311383,r1,Encourage,35,,,,,4.02857142857143,1.70614312698199,4,4.06896551724138,1,1,7,6,-0.333378559503224,2.43278539007622,0.28839082458893,r2,DSRd,34,,,,,,0.55,0.207802353648408,0.5,0.539285714285714,0.1,0.1,1,0.9,0.359920398558268,2.77462603878116,0.0356378096399853,r2,Encourage,34,,,,,,3.14705882352941,1.77750852090489,3,3.07142857142857,2,1,6,5,0.234918489447176,1.63328146478582,0.304840196413942,Z.f,0.468498751365345,,,2.87450320193271,0.00404663666934102,35,0.160275279361671,0.693475953515896,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 2.8745, n1 = 35, p-value = 0.004047
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.1602753 0.6934760
sample estimates:
      cor 
0.4684988 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,138,69,69,1.06059,0.03741,0.32475,1.92504,85.5563,77.33587,0.54672,0,,,,,,,,0.4685,0.00445,0.16028,0.69348,0,0.50815,0.00741,0.16167,0.85462,6.84629,1.80224,32.8396,0,1.92371,0.58903,3.49164,0,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,69,13,68,69,69,0,0,"Execution
legal 
   69 ","SubjectPool
No 
69 ","Setting
In a lab 
      69 ","Tablet
Computers 
       69 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       69 ","analysis.type
Secondary 
       69 ","subset
all 
 69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:52:00.084033Z,8,Inbar,1,,castab,Secondary,Inbar.3b,66,31,35,r1,DSRs,31,,,,,0.551612903225807,0.20955662359998,0.6,0.552,0.1,0.1,0.9,0.8,-0.13347492385009,2.3185257007351,0.0376374806733856,r1,Encourage,31,,,,,3.67741935483871,1.7202150403209,4,3.64,1,1,7,6,-0.0069821293102862,2.16695046308816,0.308959741867836,r2,DSRd,35,,,,,,0.5,0.231364240462319,0.5,0.5,0.1,0,1,1,-0.101199002227734,3.09594251901944,0.0391076944437521,r2,Encourage,35,,,,,,3,1.5146344928922,3,2.96551724137931,1,1,6,5,0.206112039094487,1.82938856015779,0.256019957205283,Z.f,-0.238927112519526,,,-1.28920032224459,0.197328453040166,31,-0.546960736926435,0.126087783409873,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = -1.2892, n1 = 31, p-value = 0.1973
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.5469607  0.1260878
sample estimates:
       cor 
-0.2389271 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,132,66,66,-0.49211,0.03238,-1.30671,0.2542,31.13219,36.39306,-0.27214,0.00711,,,,,,,,-0.23893,0.00679,-0.54696,0.12609,0.00647,-0.24364,0.00775,-0.61403,0.12676,0.4096,0.09347,1.58578,0.00711,-0.89258,-2.37011,0.46108,0.00711,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,66,12,60,66,66,0,0,"Execution
legal 
   66 ","SubjectPool
No 
66 ","Setting
In a lab 
      66 ","Tablet
Tablets 
     66 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       66 ","analysis.type
Secondary 
       66 ","subset
all 
 66 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:52:00.214925Z,8,Inbar,1,,doshisha,Secondary,Inbar.3b,111,54,57,r1,DSRs,54,,,,,0.464814814814815,0.196341450181563,0.4,0.463636363636364,0.1,0,1,1,0.213922823325237,3.28836675787096,0.0267186871279396,r1,Encourage,54,,,,,3.42592592592593,1.71124859912124,4,3.40909090909091,1,1,6,5,-0.0664648993569275,1.74875869435017,0.232871438383309,r2,DSRd,57,,,,,,0.47719298245614,0.228361824320567,0.5,0.468085106382979,0.2,0,1,1,0.347174687744779,3.02700426746154,0.0302472625430994,r2,Encourage,57,,,,,,3.28070175438597,1.67709768397789,3,3.19148936170213,1,1,7,6,0.328840400862348,2.12870055715511,0.222137014838756,Z.f,0.140910892549216,,,1.01304590268477,0.311038235995568,54,-0.131823408306653,0.393812742422583,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 1.013, n1 = 54, p-value = 0.311
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.1318234  0.3938127
sample estimates:
      cor 
0.1409109 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,222,111,111,0.28466,0.01847,-0.26597,0.85687,61.20485,57.97627,0.15953,0.03733,,,,,,,,0.14091,0.00435,-0.13182,0.39381,0.03693,0.14185,0.00457,-0.1326,0.4163,1.67585,0.61729,4.73124,0.03733,0.51632,-0.48241,1.55419,0.03733,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,111,13,105,111,111,0,0,"Execution
legal 
  111 ","SubjectPool
Yes 
111 ","Setting
In a lab 
     111 ","Tablet
Computers 
      111 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      111 ","analysis.type
Secondary 
      111 ","subset
all 
111 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:52:00.333542Z,8,Inbar,1,,eindhoven,Secondary,Inbar.3b,97,43,54,r1,DSRs,43,,,,,0.355813953488372,0.223928480909797,0.3,0.345714285714286,0.2,0,0.8,0.8,0.360196490923594,2.28345389582215,0.034148773195496,r1,Encourage,43,,,,,2.53488372093023,1.35134566458951,2,2.48571428571429,1,1,6,5,0.306021824326461,2.06686467826395,0.206078281875064,r2,DSRd,54,,,,,,0.287037037037037,0.218956613515957,0.2,0.263636363636364,0.1,0,0.9,0.9,0.950568264634751,3.43007150723641,0.0297962210512153,r2,Encourage,54,,,,,,3.01851851851852,1.510850575641,3,2.97727272727273,1,1,7,6,0.16720619626784,2.20813731199108,0.205600721550594,Z.f,0.024885442972531,,,0.157421862466104,0.874912384510812,43,-0.277532750413997,0.322816511893071,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 0.15742, n1 = 43, p-value = 0.8749
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.2775328  0.3228165
sample estimates:
       cor 
0.02488544 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,194,97,97,0.04979,0.02074,-0.57776,0.68215,51.98537,51.40416,0.02808,0.72993,,,,,,,,0.02489,0.00517,-0.27753,0.32282,0.73122,0.02489,0.00524,-0.28501,0.33479,1.09451,0.35066,3.44627,0.72993,0.0903,-1.04794,1.23729,0.72993,,,,,,,,eindhoven,eindhoven,"Eindhoven University of Technology, Eindhoven, Netherlands","Daniël Lakens, Karin Smolders",ML2_Slate1_Dutch_execution_illegal_DEPLOY__netherlands_r.csv,DO.BR.FL_5,DO.BR.FL_6,The Netherlands,Dutch,1,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eindhoven,1,1,2,1,1,1,97,13,88,97,97,0,100,"Execution
illegal 
     97 ","SubjectPool
No 
97 ","Setting
         In a classroom Other (please indicate) 
                     42                      55 ","Tablet
Computers   Tablets 
       55        42 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       97 ","analysis.type
Secondary 
       97 ","subset
all 
 97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:52:00.486340Z,8,Inbar,1,,elte,Secondary,Inbar.3b,94,41,53,r1,DSRs,41,,,,,0.429268292682927,0.24823769097281,0.4,0.421212121212121,0.2,0,1,1,0.315277821778709,2.5723990063138,0.038768214041765,r1,Encourage,41,,,,,2.97560975609756,1.87733594327239,3,2.75757575757576,2,1,7,6,0.724207483370174,2.50645693897343,0.293190616589544,r2,DSRd,53,,,,,,0.456603773584906,0.209862073718636,0.4,0.444186046511628,0.1,0.1,1,0.9,0.51145653724023,2.39385951816102,0.0288267727974332,r2,Encourage,53,,,,,,3.05660377358491,1.79116522387418,3,2.88372093023256,1,1,7,6,0.583337041281107,2.36261596876703,0.246035465276638,Z.f,0.37708600137193,,,2.44516563081972,0.0144785632761393,41,0.0785479586861138,0.613557254074269,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 2.4452, n1 = 41, p-value = 0.01448
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.07854796 0.61355725
sample estimates:
     cor 
0.377086 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,188,94,94,0.81428,0.02494,0.15758,1.554,79.22588,71.762,0.43524,0,,,,,,,,0.37709,0.00393,0.07855,0.61356,0,0.39666,0.00541,0.07871,0.71461,4.37956,1.33086,16.75404,0,1.47695,0.28582,2.81864,0,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,94,13,86,94,94,0,100,"Execution
illegal 
     94 ","SubjectPool
Yes 
 94 ","Setting
In a lab 
      94 ","Tablet
Computers 
       94 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       94 ","analysis.type
Secondary 
       94 ","subset
all 
 94 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:52:00.613686Z,8,Inbar,1,,eltetab,Secondary,Inbar.3b,86,43,43,r1,DSRs,43,,,,,0.353488372093023,0.24333871867097,0.3,0.331428571428571,0.2,0,1,1,0.754634902580042,3.25705195403116,0.0371088067038909,r1,Encourage,43,,,,,2.65116279069767,2.1479084059818,1,2.34285714285714,0,1,7,6,0.942329105037611,2.37497894046149,0.327552961117608,r2,DSRd,43,,,,,,0.395348837209302,0.232945413973903,0.4,0.391428571428571,0.2,0,1,1,0.194029688450428,2.62593481882549,0.0355238425965569,r2,Encourage,43,,,,,,2.53488372093023,1.65254258945625,2,2.31428571428571,1,1,7,6,0.962867316434072,2.97010091502339,0.252010382305819,Z.f,0.000105938856161742,,,0.000670016158874673,0.999465404491344,43,-0.300247475316186,0.30044024029567,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,two.sided,Z.f,,"
	Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.

data:  r1 ( pearson )
Fisher.z = 0.00067002, n1 = 43, p-value = 0.9995
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 -0.3002475  0.3004402
sample estimates:
         cor 
0.0001059389 
",,,,,,,,,,,,,,,,,,,,,,,,,,,fisherZ - 1 corr,fisherZ - 1 corr,172,86,86,0.00021,0.02339,-0.62954,0.62999,50.00845,50.00598,0.00012,0.9989,,,,,,,,0.00011,0.00585,-0.30025,0.30044,0.9989,0.00011,0.00592,-0.30979,0.31,1.00038,0.31922,3.13512,0.9989,0.00038,-1.14186,1.14267,0.9989,,,,,,,,eltetab,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eltetab,1,1,1,1,1,1,86,13,82,86,86,0,100,"Execution
illegal 
     86 ","SubjectPool
Yes 
 86 ","Setting
In a lab 
      86 ","Tablet
Tablets 
     86 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       86 ","analysis.type
Secondary 
       86 ","subset
all 
 86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
