.id,source,ross.s2.1_1_TEXT,ross.s2.2,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate2_EngUAE_r.csv,aus2,70,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Shafir|Zhong|Savani|Hsee|Schwarz|Knobe|Geissner|Tversky.Gati|Ross.Slate2|Norenzayan|Tversky|Hauser|Risen|Gray,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,628,10,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,80,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Hsee|Norenzayan|Savani|Ross.Slate2|Tversky.Gati|Tversky|Shafir|Geissner|Risen|Knobe|Zaval|Hauser|Zhong|Schwarz,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,629,5,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,75,2,,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Risen|Savani|Ross.Slate2|Zaval|Geissner|Gray|Knobe|Hsee|Tversky.Gati|Tversky|Norenzayan|Hauser|Schwarz|Shafir,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood,630,4,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,10,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Risen|Hauser|Ross.Slate2|Zhong|Norenzayan|Tversky|Gray|Schwarz|Hsee|Knobe|Shafir|Geissner|Zaval|Savani,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,631,4,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,5,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Norenzayan|Hsee|Schwarz|Risen|Tversky|Hauser|Geissner|Gray|Shafir|Ross.Slate2|Zhong|Zaval|Tversky.Gati|Knobe,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,632,11,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,40,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Tversky|Hsee|Savani|Norenzayan|Shafir|Gray|Ross.Slate2|Risen|Zhong|Hauser|Knobe|Zaval|Geissner|Tversky.Gati,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,633,8,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,50,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Schwarz|Tversky|Shafir|Tversky.Gati|Zhong|Geissner|Hauser|Ross.Slate2|Knobe|Savani|Gray|Norenzayan|Risen|Zaval,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,634,9,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,30,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Risen|Shafir|Tversky|Ross.Slate2|Savani|Zhong|Schwarz|Zaval|Knobe|Norenzayan|Tversky.Gati|Gray|Hsee|Geissner,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE,635,5,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,5,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Gray|Tversky|Shafir|Zaval|Knobe|Norenzayan|Schwarz|Hsee|Geissner|Savani|Hauser|Tversky.Gati|Zhong|Ross.Slate2,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,636,15,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,20,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Shafir|Gray|Schwarz|Knobe|Hauser|Risen|Zhong|Tversky|Savani|Hsee|Zaval|Geissner|Ross.Slate2|Norenzayan|Tversky.Gati,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,637,13,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,30,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Geissner|Hsee|Shafir|Knobe|Ross.Slate2|Savani|Zhong|Zaval|Gray|Schwarz|Norenzayan|Risen|Tversky|Tversky.Gati|Hauser,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,638,5,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,40,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Gray|Schwarz|Zaval|Knobe|Zhong|Geissner|Hsee|Shafir|Savani|Tversky.Gati|Ross.Slate2|Hauser|Risen|Norenzayan,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,639,12,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,20,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Shafir|Hauser|Gray|Knobe|Tversky|Norenzayan|Zaval|Risen|Hsee|Ross.Slate2|Schwarz|Tversky.Gati|Savani|Geissner|Zhong,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,640,10,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,10,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Tversky|Shafir|Tversky.Gati|Ross.Slate2|Knobe|Schwarz|Norenzayan|Savani|Hsee|Geissner|Hauser|Risen|Gray|Zaval,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,641,5,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,100,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hauser|Schwarz|Risen|Zhong|Zaval|Tversky|Tversky.Gati|Hsee|Knobe|Gray|Savani|Geissner|Norenzayan|Shafir,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection,642,1,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,95,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Gray|Hsee|Zaval|Norenzayan|Tversky.Gati|Schwarz|Geissner|Tversky|Knobe|Ross.Slate2|Savani|Shafir|Zhong|Hauser,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,643,11,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,10,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Zhong|Schwarz|Norenzayan|Zaval|Hauser|Tversky|Hsee|Geissner|Tversky.Gati|Gray|Shafir|Ross.Slate2|Savani|Risen,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,644,13,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,70,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Risen|Hsee|Schwarz|Knobe|Tversky|Geissner|Hauser|Savani|Zaval|Zhong|Ross.Slate2|Tversky.Gati|Gray|Shafir,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,645,12,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,10,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Ross.Slate2|Zhong|Schwarz|Tversky.Gati|Gray|Norenzayan|Geissner|Savani|Shafir|Hauser|Zaval|Knobe|Hsee|Tversky,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,646,2,Global,NON-WEIRD,TRUE
ML2_Slate2_EngUAE_r.csv,aus2,20,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Hsee|Schwarz|Ross.Slate2|Norenzayan|Shafir|Gray|Savani|Zaval|Zhong|Geissner|Risen|Tversky.Gati|Hauser|Knobe,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,647,4,Global,NON-WEIRD,TRUE
