.id,source,crit1.1,crit2.1,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,40,40,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",VanLange|Kay|Anderson|Graham|Critcher|Hauser|Inbar|Miyamoto|Bauer|Alter|Ross.Slate1|Rottenstrich|Huang,ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,5391,5,Secondary,all,TRUE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,"","",bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Critcher|Inbar|Huang|Hauser|Bauer|Ross.Slate1|Miyamoto|Alter|Kay|VanLange|Graham|Rottenstrich|Anderson,ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE,5451,1,Secondary,all,FALSE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,80,80,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",VanLange|Graham|Inbar|Alter|Anderson|Kay|Critcher|Bauer|Huang|Rottenstrich|Miyamoto|Hauser|Ross.Slate1,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood,5458,7,Secondary,all,TRUE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,65,65,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Anderson|Graham|Rottenstrich|Huang|Ross.Slate1|Inbar|Critcher|Miyamoto|Bauer|Hauser|VanLange|Kay|Alter,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,5464,7,Secondary,all,TRUE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,"","",bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Anderson|Critcher|Bauer|Ross.Slate1|Alter|Inbar|Miyamoto|VanLange|Hauser|Graham|Rottenstrich|Kay|Huang,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,5480,2,Secondary,all,FALSE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,"","",bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Alter|VanLange|Anderson|Graham|Hauser|Miyamoto|Critcher|Ross.Slate1|Kay|Huang|Rottenstrich|Inbar|Bauer,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,5481,7,Secondary,all,FALSE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,"","",bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Bauer|Hauser|Anderson|Ross.Slate1|Alter|Miyamoto|Kay|Rottenstrich|Inbar|Graham|Critcher|Huang|VanLange,ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing,5482,11,Secondary,all,FALSE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,50,50,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Hauser|Ross.Slate1|Inbar|VanLange|Alter|Anderson|Huang|Graham|Miyamoto|Bauer|Rottenstrich|Kay|Critcher,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing,5483,13,Secondary,all,TRUE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,60,60,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",Alter|Anderson|Hauser|Miyamoto|Rottenstrich|Bauer|Kay|VanLange|Ross.Slate1|Huang|Inbar|Critcher|Graham,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,5484,12,Secondary,all,TRUE
ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,bc,25,25,bc,bc,bc,USA,"American University of Sharjah, United Arab Emirates",English,1,legal,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",VanLange|Hauser|Critcher|Ross.Slate1|Miyamoto|Huang|Graham|Rottenstrich|Inbar|Anderson|Bauer|Alter|Kay,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,5485,3,Secondary,all,TRUE
