results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T16:05:57.268203Z,20,Norenzayan,2,,amity,Secondary,Norenzayan.2,143,70,73,noreBEFOREgati,Order,69,,,,,,,,,,,,,,,,noreAFTERgati,Order,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,0.524700888198789,0.600626959399551,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.50420 -0.07948  0.01961  0.10714  0.38384 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.511905   0.028068  18.238   <2e-16 ***
ConditionSimilar                    -0.038600   0.040586  -0.951    0.343    
OrdernoreAFTERgati                  -0.007703   0.040273  -0.191    0.849    
ConditionSimilar:OrdernoreAFTERgati  0.029637   0.056483   0.525    0.601    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1684 on 139 degrees of freedom
Multiple R-squared:  0.007147,	Adjusted R-squared:  -0.01428 
F-statistic: 0.3335 on 3 and 139 DF,  p-value: 0.8011
",,,,,142,,,,,,,,,,,,,,,,,,,,,0.524700888198789,-1.43713328843018,2.48469086477747,143,71.5,71.5,0.08776,0.028,-0.24036,0.41556,53.49645,52.47395,0.04948,0.60079,0.08729,0.0277,-0.23908,0.41335,53.47786,52.46078,0.60079,0.04414,0.00701,-0.12015,0.20481,0.60203,0.04417,0.00714,-0.12073,0.20775,1.17254,0.64664,2.12494,0.60079,0.15917,-0.43596,0.75374,0.60079,,,,,,,,amity,amity,"Amity University, India","Kakul Hai, Manini Srivastava",ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,DO.BR.FL_5,DO.BR.FL_6,India,English,0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,amity,1,1,1,1,1,1,143,15,85,143,143,0,0,< table of extent 0 >,"SubjectPool
 No 
143 ","Setting
In a lab 
     143 ","Tablet
Computers 
      143 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      143 ","analysis.type
Secondary 
      143 ","subset
all 
143 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:57.382731Z,20,Norenzayan,2,,amityon,Secondary,Norenzayan.2,45,25,20,noreBEFOREgati,Order,24,,,,,,,,,,,,,,,,noreAFTERgati,Order,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,-0.995731092312923,0.325221419810289,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.33631 -0.05952 -0.00298  0.05952  0.33036 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.622024   0.032108  19.373   <2e-16 ***
ConditionSimilar                    -0.110119   0.055613  -1.980   0.0544 .  
OrdernoreAFTERgati                   0.007606   0.053513   0.142   0.8877    
ConditionSimilar:OrdernoreAFTERgati -0.079034   0.079373  -0.996   0.3252    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1284 on 41 degrees of freedom
Multiple R-squared:  0.3032,	Adjusted R-squared:  0.2522 
F-statistic: 5.946 on 3 and 41 DF,  p-value: 0.001831
",,,,,44,,,,,,,,,,,,,,,,,,,,,-0.995731092312923,-2.96106135156228,0.980761173696397,45,22.5,22.5,-0.29687,0.08987,-0.88282,0.29241,38.3283,41.68656,-0.16627,0.32757,-0.29166,0.08674,-0.86733,0.28728,38.52728,41.83034,0.32757,-0.15013,0.02171,-0.41154,0.14792,0.3324,-0.15127,0.02381,-0.43747,0.14901,0.58365,0.20164,1.69956,0.32757,-0.53846,-1.60125,0.53037,0.32757,,,,,,,,amityon,amityon,"Amity University, India","Kakul Hai, Manini Srivastava",ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,DO.BR.FL_5,DO.BR.FL_6,India,English,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,amityon,1,1,1,1,1,1,45,15,37,45,45,0,0,< table of extent 0 >,"SubjectPool
No 
45 ","Setting
Online (at home) 
              45 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             45 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       45 ","analysis.type
Secondary 
       45 ","subset
all 
 45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:57.539750Z,20,Norenzayan,2,,armstrong,Secondary,Norenzayan.2,77,34,43,noreBEFOREgati,Order,37,,,,,,,,,,,,,,,,noreAFTERgati,Order,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,-1.84876731803897,0.0685407828126101,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
    Min      1Q  Median      3Q     Max 
-0.4471 -0.1280  0.0000  0.1043  0.4911 

Coefficients:
                                    Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.46131    0.04920   9.376 3.69e-14 ***
ConditionSimilar                     0.05343    0.06531   0.818   0.4160    
OrdernoreAFTERgati                   0.17626    0.06762   2.607   0.0111 *  
ConditionSimilar:OrdernoreAFTERgati -0.16719    0.09043  -1.849   0.0685 .  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1968 on 73 degrees of freedom
Multiple R-squared:  0.09233,	Adjusted R-squared:  0.05503 
F-statistic: 2.475 on 3 and 73 DF,  p-value: 0.06819
",,,,,76,,,,,,,,,,,,,,,,,,,,,-1.84876731803897,-3.82462877181336,0.138982524153037,77,38.5,38.5,-0.42137,0.0531,-0.87171,0.03168,33.67413,38.28684,-0.23426,0.07144,-0.41715,0.05204,-0.86297,0.03136,33.8286,38.40098,0.07144,-0.20877,0.01204,-0.40399,0.01605,0.07233,-0.21189,0.01351,-0.42841,0.01605,0.46567,0.20575,1.05914,0.07144,-0.76429,-1.58111,0.05746,0.07144,,,,,,,,armstrong,armstrong,"Armstrong Atlantic State University, Savannah, GA",Ho Phi Huynh,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,armstrong,1,1,1,1,1,1,77,15,57,77,77,0,100,< table of extent 0 >,"SubjectPool
Yes 
 77 ","Setting
In a lab 
      77 ","Tablet
Computers 
       77 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       77 ","analysis.type
Secondary 
       77 ","subset
all 
 77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:57.685156Z,20,Norenzayan,2,,aus2,Secondary,Norenzayan.2,151,69,82,noreBEFOREgati,Order,70,,,,,,,,,,,,,,,,noreAFTERgati,Order,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,1.00250725421074,0.317746031731594,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.36996 -0.11338 -0.01786  0.07738  0.39194 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.569841   0.031788  17.926  < 2e-16 ***
ConditionSimilar                    -0.123413   0.042051  -2.935  0.00387 ** 
OrdernoreAFTERgati                  -0.009402   0.042282  -0.222  0.82434    
ConditionSimilar:OrdernoreAFTERgati  0.057304   0.057161   1.003  0.31775    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1741 on 147 degrees of freedom
Multiple R-squared:  0.07791,	Adjusted R-squared:  0.05909 
F-statistic:  4.14 on 3 and 147 DF,  p-value: 0.007507
",,,,,150,,,,,,,,,,,,,,,,,,,,,1.00250725421074,-0.962395661272538,2.96408187210806,151,75.5,75.5,0.16317,0.02658,-0.15664,0.48243,56.4806,54.59263,0.09185,0.31853,0.16234,0.02631,-0.15585,0.47999,56.44822,54.56958,0.31853,0.08185,0.00658,-0.0786,0.23597,0.31989,0.08204,0.00676,-0.07876,0.2405,1.3444,0.75268,2.39894,0.31853,0.29595,-0.28411,0.87503,0.31853,,,,,,,,aus2,aus2,"American University of Sharjah, United Arab Emirates",Mark Aveyard,ML2_Slate2_EngUAE_r.csv,DO.BR.FL_5,DO.BR.FL_6,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,aus2,1,1,1,1,1,1,151,15,94,151,151,0,0,< table of extent 0 >,"SubjectPool
Yes 
151 ","Setting
In a lab 
     151 ","Tablet
Computers 
      151 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      151 ","analysis.type
Secondary 
      151 ","subset
all 
151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:57.800780Z,20,Norenzayan,2,,badaniaon,Secondary,Norenzayan.2,42,15,27,noreBEFOREgati,Order,21,,,,,,,,,,,,,,,,noreAFTERgati,Order,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,0.230662064431107,0.818814716471437,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.57937 -0.05093 -0.02910  0.06614  0.27778 

Coefficients:
                                    Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.69841    0.10404   6.713 6.03e-08 ***
ConditionSimilar                    -0.24074    0.11237  -2.142   0.0386 *  
OrdernoreAFTERgati                  -0.02381    0.11632  -0.205   0.8389    
ConditionSimilar:OrdernoreAFTERgati  0.03175    0.13763   0.231   0.8188    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1802 on 38 degrees of freedom
Multiple R-squared:  0.2735,	Adjusted R-squared:  0.2161 
F-statistic: 4.767 on 3 and 38 DF,  p-value: 0.006444
",,,,,41,,,,,,,,,,,,,,,,,,,,,0.230662064431107,-1.73133494356107,2.18985669339256,42,21,21,0.07118,0.0953,-0.5343,0.6758,52.83743,52.00721,0.04014,0.81881,0.06984,0.09174,-0.52422,0.66305,52.78398,51.96937,0.81881,0.03645,0.02433,-0.26403,0.32719,0.82103,0.03646,0.02564,-0.27044,0.33968,1.13782,0.37942,3.4068,0.81881,0.12911,-0.96912,1.22577,0.81881,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate2_Polish_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,badaniaon,1,1,1,1,1,1,42,13,39,42,42,0,100,< table of extent 0 >,"SubjectPool
No 
42 ","Setting
Online (at home) 
              42 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             42 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       42 ","analysis.type
Secondary 
       42 ","subset
all 
 42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:57.956062Z,20,Norenzayan,2,,bogota,Secondary,Norenzayan.2,98,45,53,noreBEFOREgati,Order,49,,,,,,,,,,,,,,,,noreAFTERgati,Order,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,0.0440110431691011,0.964988958324458,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.58009 -0.09524 -0.00866  0.09524  0.37229 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.580087   0.038744  14.972   <2e-16 ***
ConditionSimilar                    -0.103896   0.052193  -1.991   0.0494 *  
OrdernoreAFTERgati                   0.022398   0.054193   0.413   0.6803    
ConditionSimilar:OrdernoreAFTERgati  0.003243   0.073689   0.044   0.9650    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1817 on 94 degrees of freedom
Multiple R-squared:  0.08039,	Adjusted R-squared:  0.05104 
F-statistic: 2.739 on 3 and 94 DF,  p-value: 0.04771
",,,,,97,,,,,,,,,,,,,,,,,,,,,0.0440110431691011,-1.91607598901807,2.00387151247901,98,49,49,0.00889,0.04082,-0.38711,0.40484,50.35472,50.25083,0.00502,0.96499,0.00882,0.04018,-0.38407,0.40167,50.35194,50.24886,0.96499,0.00449,0.01031,-0.19192,0.20037,0.96517,0.00449,0.01053,-0.19433,0.20312,1.01626,0.49553,2.08403,0.96499,0.01613,-0.70213,0.7343,0.96499,,,,,,,,bogota,bogota,"Universidad de los Andes, Bogotá, Colombia",Carolyn Finck and William Jiménez,ML2_Slate2_SpanishColombia_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,Colombia,Spanish,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,bogota,1,1,1,1,1,1,98,15,63,98,98,0,0,< table of extent 0 >,"SubjectPool
Yes 
 98 ","Setting
In a lab 
      98 ","Tablet
Computers 
       98 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       98 ","analysis.type
Secondary 
       98 ","subset
all 
 98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:58.098110Z,20,Norenzayan,2,,brookcuny,Secondary,Norenzayan.2,170,86,84,noreBEFOREgati,Order,79,,,,,,,,,,,,,,,,noreAFTERgati,Order,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,-0.153683678507911,0.878045824401262,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.52593 -0.11654 -0.01858  0.12359  0.45489 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.590012   0.029650  19.899  < 2e-16 ***
ConditionSimilar                    -0.140137   0.042752  -3.278  0.00127 ** 
OrdernoreAFTERgati                  -0.016467   0.040990  -0.402  0.68840    
ConditionSimilar:OrdernoreAFTERgati -0.008977   0.058415  -0.154  0.87805    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1899 on 166 degrees of freedom
Multiple R-squared:  0.1331,	Adjusted R-squared:  0.1174 
F-statistic: 8.492 on 3 and 166 DF,  p-value: 2.787e-05
",,,,,169,,,,,,,,,,,,,,,,,,,,,-0.153683678507911,-2.11348888098861,1.80657584048925,170,85,85,-0.02357,0.02353,-0.32419,0.27712,49.05962,49.33502,-0.0133,0.87805,-0.02347,0.02332,-0.32274,0.27588,49.06382,49.33799,0.87805,-0.01186,0.00592,-0.16093,0.13805,0.87841,-0.01186,0.00599,-0.16235,0.13893,0.95814,0.55542,1.65307,0.87805,-0.04276,-0.58802,0.50263,0.87805,,,,,,,,brookcuny,brookcuny,"Brooklyn College, New York, NY",Cheryl Carmichael,ML2_Slate2_USEng_Inlab_DEPLOY__brooklyn_cuny_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,brookcuny,1,1,1,1,1,1,170,15,90,170,170,0,100,< table of extent 0 >,"SubjectPool
Yes 
170 ","Setting
Online (at home) 
             170 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            170 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      170 ","analysis.type
Secondary 
      170 ","subset
all 
170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:58.273493Z,20,Norenzayan,2,,carleton,Secondary,Norenzayan.2,112,59,53,noreBEFOREgati,Order,55,,,,,,,,,,,,,,,,noreAFTERgati,Order,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,0.168848895477236,0.86623132737203,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.50246 -0.12821  0.01465  0.12522  0.33492 

Coefficients:
                                    Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.64532    0.03640  17.729  < 2e-16 ***
ConditionSimilar                    -0.18378    0.05294  -3.471 0.000745 ***
OrdernoreAFTERgati                  -0.02786    0.05105  -0.546 0.586339    
ConditionSimilar:OrdernoreAFTERgati  0.01253    0.07421   0.169 0.866231    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.196 on 108 degrees of freedom
Multiple R-squared:  0.1772,	Adjusted R-squared:  0.1543 
F-statistic: 7.751 on 3 and 108 DF,  p-value: 9.772e-05
",,,,,111,,,,,,,,,,,,,,,,,,,,,0.168848895477236,-1.79162046610594,2.12855863519787,112,56,56,0.03191,0.03572,-0.33858,0.40226,51.27279,50.90007,0.018,0.86623,0.03169,0.03523,-0.33627,0.39951,51.26409,50.89392,0.86623,0.0161,0.009,-0.16839,0.1989,0.86683,0.0161,0.00917,-0.17,0.20158,1.05959,0.54111,2.07429,0.86623,0.05788,-0.61412,0.72962,0.86623,,,,,,,,carleton,carleton,"Carleton University, Ottawa, Canada",John M. Zelenski,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,DO.BR.FL_5,DO.BR.FL_6,Canada,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,carleton,1,1,1,1,1,1,112,15,75,112,112,0,100,< table of extent 0 >,"SubjectPool
Yes 
112 ","Setting
Online (at home) 
             112 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            112 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      112 ","analysis.type
Secondary 
      112 ","subset
all 
112 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:58.405214Z,20,Norenzayan,2,,cas,Secondary,Norenzayan.2,45,27,18,noreBEFOREgati,Order,21,,,,,,,,,,,,,,,,noreAFTERgati,Order,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,-1.46151169658617,0.151497615289053,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.41156 -0.07823 -0.02564  0.09048  0.35034 

Coefficients:
                                     Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.454212   0.053676   8.462 1.55e-10 ***
ConditionSimilar                     0.004121   0.086965   0.047   0.9624    
OrdernoreAFTERgati                   0.147828   0.074542   1.983   0.0541 .  
ConditionSimilar:OrdernoreAFTERgati -0.172828   0.118253  -1.462   0.1515    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1935 on 41 degrees of freedom
Multiple R-squared:  0.1306,	Adjusted R-squared:  0.06702 
F-statistic: 2.054 on 3 and 41 DF,  p-value: 0.1213
",,,,,44,,,,,,,,,,,,,,,,,,,,,-1.46151169658617,-3.4368926921266,0.530053982176755,45,22.5,22.5,-0.43574,0.091,-1.02468,0.15803,33.15132,37.89979,-0.242,0.15585,-0.42809,0.08783,-1.00671,0.15526,33.42913,38.10561,0.15585,-0.21754,0.02063,-0.46422,0.08057,0.15917,-0.22107,0.02381,-0.50268,0.08074,0.45369,0.1559,1.33194,0.15585,-0.79034,-1.85857,0.28664,0.15585,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate2_Simplified_Chinese_Mainland_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,cas,1,1,1,1,1,1,45,14,39,45,45,0,0,< table of extent 0 >,"SubjectPool
No 
45 ","Setting
In a lab 
      45 ","Tablet
Computers 
       45 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       45 ","analysis.type
Secondary 
       45 ","subset
all 
 45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:05:58.524234Z,20,Norenzayan,2,,csunorthonline,Secondary,Norenzayan.2,82,42,40,noreBEFOREgati,Order,49,,,,,,,,,,,,,,,,noreAFTERgati,Order,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm.t,,,,1.14048636683452,0.257573530502024,,,,,,lm.t,,"
Call:
lm(formula = Response ~ Condition * Order)

Residuals:
     Min       1Q   Median       3Q      Max 
-0.40100 -0.11126 -0.02005  0.07519  0.45614 

Coefficients:
                                    Estimate Std. Error t value Pr(>|t|)    
(Intercept)                          0.51139    0.03783  13.520   <2e-16 ***
ConditionSimilar                    -0.09014    0.05193  -1.736   0.0865 .  
OrdernoreAFTERgati                  -0.01515    0.05624  -0.269   0.7884    
ConditionSimilar:OrdernoreAFTERgati  0.09390    0.08233   1.140   0.2576    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.1814 on 78 degrees of freedom
Multiple R-squared:  0.04553,	Adjusted R-squared:  0.008823 
F-statistic:  1.24 on 3 and 78 DF,  p-value: 0.3008
",,,,,81,,,,,,,,,,,,,,,,,,,,,1.14048636683452,-0.830793760486663,3.10479078188573,82,41,41,0.25189,0.04917,-0.18349,0.68573,59.94375,57.06833,0.14137,0.25935,0.24952,0.04825,-0.18177,0.67928,59.85216,57.00255,0.25935,0.12649,0.01195,-0.09249,0.32793,0.26173,0.12717,0.01266,-0.09275,0.34051,1.57914,0.7169,3.46871,0.25935,0.45688,-0.33282,1.24378,0.25935,,,,,,,,csunorthonline,csunorthonline,"Department of Psychology, California State University, Northridge, Northridge, CA 91330",Abraham M. Rutchick,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,csunorthonline,1,1,1,1,1,1,82,15,58,82,82,0,100,< table of extent 0 >,"SubjectPool
Yes 
 82 ","Setting
Online (at home) 
              82 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             82 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       82 ","analysis.type
Secondary 
       82 ","subset
all 
 82 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
