uID,variable,factor,.id,source,hsee1.1,hsee2.1,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
628,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Shafir|Zhong|Savani|Hsee|Schwarz|Knobe|Geissner|Tversky.Gati|Ross.Slate2|Norenzayan|Tversky|Hauser|Risen|Gray,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,5,Global,NON-WEIRD,TRUE
629,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Hsee|Norenzayan|Savani|Ross.Slate2|Tversky.Gati|Tversky|Shafir|Geissner|Risen|Knobe|Zaval|Hauser|Zhong|Schwarz,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,2,Global,NON-WEIRD,TRUE
632,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Norenzayan|Hsee|Schwarz|Risen|Tversky|Hauser|Geissner|Gray|Shafir|Ross.Slate2|Zhong|Zaval|Tversky.Gati|Knobe,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,3,Global,NON-WEIRD,TRUE
635,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Risen|Shafir|Tversky|Ross.Slate2|Savani|Zhong|Schwarz|Zaval|Knobe|Norenzayan|Tversky.Gati|Gray|Hsee|Geissner,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE,14,Global,NON-WEIRD,TRUE
636,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Gray|Tversky|Shafir|Zaval|Knobe|Norenzayan|Schwarz|Hsee|Geissner|Savani|Hauser|Tversky.Gati|Zhong|Ross.Slate2,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,9,Global,NON-WEIRD,TRUE
637,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Shafir|Gray|Schwarz|Knobe|Hauser|Risen|Zhong|Tversky|Savani|Hsee|Zaval|Geissner|Ross.Slate2|Norenzayan|Tversky.Gati,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,10,Global,NON-WEIRD,TRUE
639,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Gray|Schwarz|Zaval|Knobe|Zhong|Geissner|Hsee|Shafir|Savani|Tversky.Gati|Ross.Slate2|Hauser|Risen|Norenzayan,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,8,Global,NON-WEIRD,TRUE
641,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Tversky|Shafir|Tversky.Gati|Ross.Slate2|Knobe|Schwarz|Norenzayan|Savani|Hsee|Geissner|Hauser|Risen|Gray|Zaval,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,10,Global,NON-WEIRD,TRUE
644,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Zhong|Schwarz|Norenzayan|Zaval|Hauser|Tversky|Hsee|Geissner|Tversky.Gati|Gray|Shafir|Ross.Slate2|Savani|Risen,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,8,Global,NON-WEIRD,TRUE
646,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Ross.Slate2|Zhong|Schwarz|Tversky.Gati|Gray|Norenzayan|Geissner|Savani|Shafir|Hauser|Zaval|Knobe|Hsee|Tversky,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,14,Global,NON-WEIRD,TRUE
647,6,Scarf,ML2_Slate2_EngUAE_r.csv,aus2,6,,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Hsee|Schwarz|Ross.Slate2|Norenzayan|Shafir|Gray|Savani|Zaval|Zhong|Geissner|Risen|Tversky.Gati|Hauser|Knobe,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,2,Global,NON-WEIRD,TRUE
