results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T16:07:31.526979Z,22,Gray,2,,amity,Secondary,Gray.2,158,75,83,adultHbaby,as.numeric.ignore.,75,,,,,3.89333333333333,1.72088391283126,4,3.9016393442623,1,1,7,6,-0.122214718149092,2.27613993192679,0.198710558063445,babyHadult,as.numeric.ignore.,83,,,,,3.91566265060241,1.7888872360616,4,3.94029850746269,1,1,7,6,-0.30982020087946,2.12509520448664,0.196355883671304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.89333333333333,3.91566265060241,-0.0797728928218654,0.936520126505146,156,-0.575234193812089,0.530575559273937, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = -0.079773, df = 156, p-value = 0.9365
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.5752342  0.5305756
sample estimates:
mean of x mean of y 
 3.893333  3.915663 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.0797728928218654,-2.03962909804745,1.88033878329488,158,75,83,-0.01271,0.02538,-0.32495,0.29957,49.49299,49.64149,-0.00717,0.93652,-0.01265,0.02514,-0.32338,0.29813,49.49544,49.64321,0.93652,-0.00639,0.00637,-0.16117,0.14887,0.93672,-0.00639,0.00645,-0.16258,0.14998,0.97721,0.55467,1.72177,0.93652,-0.02305,-0.58939,0.54336,0.93652,,,,,,,,amity,amity,"Amity University, India","Kakul Hai, Manini Srivastava",ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,DO.BR.FL_5,DO.BR.FL_6,India,English,0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,amity,1,1,1,1,1,1,158,15,90,158,158,0,0,< table of extent 0 >,"SubjectPool
 No 
158 ","Setting
In a lab 
     158 ","Tablet
Computers 
      158 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      158 ","analysis.type
Secondary 
      158 ","subset
all 
158 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:31.625730Z,22,Gray,2,,amityon,Secondary,Gray.2,48,23,25,adultHbaby,as.numeric.ignore.,23,,,,,2.60869565217391,1.5591119393827,2,2.52631578947368,1,1,5,4,0.23492175293588,1.45815982550069,0.325097312489774,babyHadult,as.numeric.ignore.,25,,,,,2.76,1.92093727122985,2,2.52380952380952,1,1,7,6,0.960569505010872,2.85933196730341,0.384187454245971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.60869565217391,2.76,-0.298016942227843,0.767032182029412,46,-1.17325918556031,0.870650489908135, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = -0.29802, df = 46, p-value = 0.767
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -1.1732592  0.8706505
sample estimates:
mean of x mean of y 
 2.608696  2.760000 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.298016942227843,-2.25730790275533,1.66450131837384,48,23,25,-0.0861,0.08356,-0.6522,0.48092,46.56915,47.57253,-0.04855,0.76714,-0.08469,0.08084,-0.6415,0.47303,46.62526,47.61227,0.76714,-0.0439,0.02119,-0.31579,0.23834,0.76958,-0.04393,0.02222,-0.32696,0.24302,0.85541,0.30637,2.39238,0.76714,-0.15618,-1.18295,0.87229,0.76714,,,,,,,,amityon,amityon,"Amity University, India","Kakul Hai, Manini Srivastava",ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,DO.BR.FL_5,DO.BR.FL_6,India,English,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,amityon,1,1,1,1,1,1,48,14,39,48,48,0,0,< table of extent 0 >,"SubjectPool
No 
48 ","Setting
Online (at home) 
              48 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             48 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       48 ","analysis.type
Secondary 
       48 ","subset
all 
 48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:31.725459Z,22,Gray,2,,armstrong,Secondary,Gray.2,85,48,37,adultHbaby,as.numeric.ignore.,48,,,,,4.14583333333333,1.97849699383394,4,4.175,1.5,1,7,6,-0.0545260147098394,1.92996202255925,0.285571442995222,babyHadult,as.numeric.ignore.,37,,,,,2.43243243243243,1.4247912233131,2,2.32258064516129,1,1,5,4,0.664016272189349,2.06961032964532,0.234234234234234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.7134009009009,4.14583333333333,2.43243243243243,4.6390086307919,1.29792117099144e-05,82.6651191093357,0.978741853874374,2.44805994792743,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  adultHbaby and babyHadult
t = 4.639, df = 82.665, p-value = 1.298e-05
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.9787419 2.4480599
sample estimates:
mean of x mean of y 
 4.145833  2.432432 
",,,,,,,,,,,,,,,,,,,,,,,,,,4.6390086307919,2.54327943079965,6.70979350103625,85,48,37,1.01488,0.05392,0.55639,1.4679,84.49176,76.3506,0.52701,4e-05,1.00568,0.05295,0.55135,1.4546,84.27148,76.14956,4e-05,0.45376,0.00751,0.26888,0.59302,3e-05,0.48942,0.0122,0.27566,0.68231,6.30147,2.74337,14.33179,4e-05,1.84078,1.00919,2.66248,4e-05,,,,,,,,armstrong,armstrong,"Armstrong Atlantic State University, Savannah, GA",Ho Phi Huynh,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,armstrong,1,1,1,1,1,1,85,15,61,85,85,0,100,< table of extent 0 >,"SubjectPool
Yes 
 85 ","Setting
In a lab 
      85 ","Tablet
Computers 
       85 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       85 ","analysis.type
Secondary 
       85 ","subset
all 
 85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:31.853734Z,22,Gray,2,,aus2,Secondary,Gray.2,180,86,94,adultHbaby,as.numeric.ignore.,86,,,,,3.05813953488372,1.79774140103821,3,2.91428571428571,2,1,7,6,0.3036166606636,2.01795524380616,0.193855440776585,babyHadult,as.numeric.ignore.,94,,,,,2.43617021276596,1.74478338081978,2,2.11842105263158,1,1,7,6,1.291842862725,3.85006927811853,0.179960664909677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.05813953488372,2.43617021276596,2.35454157258081,0.0196355319506124,178,0.100686373528528,1.143252270707, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 2.3545, df = 178, p-value = 0.01964
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.1006864 1.1432523
sample estimates:
mean of x mean of y 
  3.05814   2.43617 
",,,,,,,,,,,,,,,,,,,,,,,,,,2.35454157258081,0.376140444041783,4.32642968181236,180,86,94,0.35134,0.02261,0.05613,0.64558,63.73339,59.81014,0.1962,0.02057,0.34986,0.02242,0.05589,0.64286,63.67778,59.76959,0.02057,0.17379,0.00525,0.02818,0.30847,0.02061,0.17558,0.00565,0.02819,0.31885,1.8913,1.10717,3.22509,0.02057,0.63726,0.1018,1.17096,0.02057,,,,,,,,aus2,aus2,"American University of Sharjah, United Arab Emirates",Mark Aveyard,ML2_Slate2_EngUAE_r.csv,DO.BR.FL_5,DO.BR.FL_6,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,aus2,1,1,1,1,1,1,180,15,102,180,180,0,0,< table of extent 0 >,"SubjectPool
Yes 
180 ","Setting
In a lab 
     180 ","Tablet
Computers 
      180 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      180 ","analysis.type
Secondary 
      180 ","subset
all 
180 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:31.955806Z,22,Gray,2,,badaniaon,Secondary,Gray.2,43,23,20,adultHbaby,as.numeric.ignore.,23,,,,,2.1304347826087,1.57550418556574,1,1.89473684210526,0,1,6,5,1.06459377080506,2.79723822467443,0.32851533209771,babyHadult,as.numeric.ignore.,20,,,,,1.95,1.14593101656986,1.5,1.8125,0.5,1,4,3,0.744427849626341,2.08110409195144,0.256237965057565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.1304347826087,1.95,0.423655696110496,0.674031315370946,41,-0.679686866448289,1.04055643166568, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 0.42366, df = 41, p-value = 0.674
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.6796869  1.0405564
sample estimates:
mean of x mean of y 
 2.130435  1.950000 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.423655696110496,-1.54100869307504,2.38318053052914,43,23,20,0.12953,0.09367,-0.47115,0.72864,55.15306,53.64885,0.07298,0.67435,0.12715,0.09026,-0.46248,0.71523,55.05874,53.58188,0.67435,0.06602,0.0236,-0.23398,0.34881,0.67802,0.06612,0.025,-0.2384,0.36409,1.26483,0.42546,3.74943,0.67435,0.23494,-0.85457,1.3216,0.67435,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate2_Polish_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,badaniaon,1,1,1,1,1,1,43,13,40,43,43,0,100,< table of extent 0 >,"SubjectPool
No 
43 ","Setting
Online (at home) 
              43 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             43 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       43 ","analysis.type
Secondary 
       43 ","subset
all 
 43 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:32.058015Z,22,Gray,2,,bogota,Secondary,Gray.2,102,56,46,adultHbaby,as.numeric.ignore.,56,,,,,3.08928571428571,1.95659059418335,3,2.89130434782609,1.5,1,7,6,0.667598239575142,2.43486910351328,0.261460416057805,babyHadult,as.numeric.ignore.,46,,,,,2.47826086956522,1.61574379755074,2,2.26315789473684,1,1,7,6,1.01423172650034,3.18673450211785,0.238228426156023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.08928571428571,2.47826086956522,1.69540600824153,0.0931100178468954,100,-0.103999098301321,1.32604878774231, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 1.6954, df = 100, p-value = 0.09311
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.1039991  1.3260488
sample estimates:
mean of x mean of y 
 3.089286  2.478261 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.69540600824153,-0.282733033521468,3.66519279353321,102,56,46,0.33737,0.04015,-0.05626,0.72933,63.20794,59.42741,0.18855,0.09538,0.33483,0.03955,-0.05584,0.72385,63.1123,59.35785,0.09538,0.16716,0.00936,-0.02826,0.34413,0.09629,0.16874,0.0101,-0.02827,0.35877,1.84396,0.90299,3.75414,0.09538,0.61191,-0.10205,1.32286,0.09538,,,,,,,,bogota,bogota,"Universidad de los Andes, Bogotá, Colombia",Carolyn Finck and William Jiménez,ML2_Slate2_SpanishColombia_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,Colombia,Spanish,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,bogota,1,1,1,1,1,1,102,15,65,102,102,0,0,< table of extent 0 >,"SubjectPool
Yes 
102 ","Setting
In a lab 
     102 ","Tablet
Computers 
      102 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      102 ","analysis.type
Secondary 
      102 ","subset
all 
102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:32.188584Z,22,Gray,2,,brookcuny,Secondary,Gray.2,181,98,83,adultHbaby,as.numeric.ignore.,98,,,,,4.08163265306122,1.79158093744537,4,4.1,1,1,7,6,-0.133888710556514,2.06217877364574,0.180977004273168,babyHadult,as.numeric.ignore.,83,,,,,2.62650602409639,1.55163834242873,2,2.46268656716418,1,1,7,6,0.698024726069154,2.63140947901735,0.170314434428319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.08163265306122,2.62650602409639,5.78602012255622,3.16169016166387e-08,179,0.958859899322846,1.95139335860683, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 5.786, df = 179, p-value = 3.162e-08
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.9588599 1.9513934
sample estimates:
mean of x mean of y 
 4.081633  2.626506 
",,,,,,,,,,,,,,,,,,,,,,,,,,5.78602012255622,3.72916503607569,7.82803566546852,181,98,83,0.86311,0.02431,0.55629,1.16772,80.5962,72.91725,0.45835,0,0.85949,0.02411,0.55395,1.16282,80.4965,72.83239,0,0.39694,0.00394,0.2685,0.505,0,0.42001,0.00562,0.27524,0.556,4.78512,2.74284,8.31463,0,1.56551,1.00899,2.11802,0,,,,,,,,brookcuny,brookcuny,"Brooklyn College, New York, NY",Cheryl Carmichael,ML2_Slate2_USEng_Inlab_DEPLOY__brooklyn_cuny_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,brookcuny,1,1,1,1,1,1,181,15,91,181,181,0,100,< table of extent 0 >,"SubjectPool
Yes 
181 ","Setting
Online (at home) 
             181 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            181 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      181 ","analysis.type
Secondary 
      181 ","subset
all 
181 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:32.292434Z,22,Gray,2,,carleton,Secondary,Gray.2,121,66,55,adultHbaby,as.numeric.ignore.,66,,,,,3.65151515151515,1.73198351602055,4,3.62962962962963,1,1,7,6,-0.0607474527593138,2.17963460204231,0.213192433338596,babyHadult,as.numeric.ignore.,55,,,,,2.67272727272727,1.49138942742747,3,2.55555555555556,1,1,7,6,0.506233854500128,2.55364786862905,0.201098909370146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.65151515151515,2.67272727272727,3.29459978349773,0.00129874940915447,119,0.390522873862815,1.56705288371294, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 3.2946, df = 119, p-value = 0.001299
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.3905229 1.5670529
sample estimates:
mean of x mean of y 
 3.651515  2.672727 
",,,,,,,,,,,,,,,,,,,,,,,,,,3.29459978349773,1.28390511250114,5.29203943914556,121,66,55,0.60151,0.03483,0.23441,0.96619,72.62494,66.47023,0.3294,0.00164,0.59771,0.03439,0.23293,0.96009,72.49832,66.37227,0.00164,0.28912,0.007,0.11689,0.43647,0.00159,0.2976,0.00847,0.11743,0.46786,2.9773,1.52985,5.76886,0.00164,1.09102,0.42517,1.75247,0.00164,,,,,,,,carleton,carleton,"Carleton University, Ottawa, Canada",John M. Zelenski,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,DO.BR.FL_5,DO.BR.FL_6,Canada,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,carleton,1,1,1,1,1,1,121,15,78,121,121,0,100,< table of extent 0 >,"SubjectPool
Yes 
121 ","Setting
Online (at home) 
             121 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            121 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      121 ","analysis.type
Secondary 
      121 ","subset
all 
121 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:32.394610Z,22,Gray,2,,cas,Secondary,Gray.2,48,21,27,adultHbaby,as.numeric.ignore.,21,,,,,3.14285714285714,1.76877681706071,3,3.05882352941176,2,1,6,5,0.167788591113905,1.59288797147683,0.385978745317323,babyHadult,as.numeric.ignore.,27,,,,,2.37037037037037,1.59682733877447,2,2.17391304347826,1,1,6,5,0.991152738826906,2.84046378078088,0.307309564630264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.14285714285714,2.37037037037037,1.58623963614623,0.119536152702562,46,-0.207778244935068,1.75275178990861, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 1.5862, df = 46, p-value = 0.1195
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.2077782  1.7527518
sample estimates:
mean of x mean of y 
 3.142857  2.370370 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.58623963614623,-0.408578578895226,3.56430135267215,48,21,27,0.46153,0.08687,-0.11888,1.03706,67.779,62.792,0.25584,0.12424,0.45396,0.08405,-0.11693,1.02006,67.50718,62.58946,0.12424,0.22773,0.01913,-0.06013,0.4652,0.12681,0.2318,0.02222,-0.06021,0.50393,2.3097,0.80604,6.56017,0.12424,0.83712,-0.21562,1.88102,0.12424,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate2_Simplified_Chinese_Mainland_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,cas,1,1,1,1,1,1,48,15,42,48,48,0,0,< table of extent 0 >,"SubjectPool
No 
48 ","Setting
In a lab 
      48 ","Tablet
Computers 
       48 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       48 ","analysis.type
Secondary 
       48 ","subset
all 
 48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:07:32.526094Z,22,Gray,2,,csunorthonline,Secondary,Gray.2,88,45,43,adultHbaby,as.numeric.ignore.,45,,,,,4.04444444444444,1.82103311781022,4,4.08108108108108,1,1,7,6,-0.386156441210984,2.1185407264683,0.271463589380136,babyHadult,as.numeric.ignore.,43,,,,,3,1.74574312188794,3,2.85714285714286,2,1,7,6,0.434700866976361,2.099609375,0.266223330255889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.04444444444444,3,2.74428298909676,0.00738091190992721,86,0.287858171863715,1.80103071702517, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  adultHbaby and babyHadult
t = 2.7443, df = 86, p-value = 0.007381
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.2878582 1.8010307
sample estimates:
mean of x mean of y 
 4.044444  3.000000 
",,,,,,,,,,,,,,,,,,,,,,,,,,2.74428298909676,0.734344760272968,4.73892546709729,88,45,43,0.58523,0.04742,0.1566,1.0106,72.08049,66.04982,0.321,0.00864,0.58012,0.0466,0.15523,1.00176,71.90817,65.91717,0.00864,0.28376,0.00972,0.07894,0.45504,0.00858,0.29177,0.01176,0.0791,0.49104,2.8907,1.3285,6.25281,0.00864,1.0615,0.28405,1.83303,0.00864,,,,,,,,csunorthonline,csunorthonline,"Department of Psychology, California State University, Northridge, Northridge, CA 91330",Abraham M. Rutchick,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,csunorthonline,1,1,1,1,1,1,88,15,61,88,88,0,100,< table of extent 0 >,"SubjectPool
Yes 
 88 ","Setting
Online (at home) 
              88 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             88 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       88 ","analysis.type
Secondary 
       88 ","subset
all 
 88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
