results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T15:48:32.734820Z,6,Bauer,1,,aus,Secondary,Bauer.5,92,42,50,Consumer,as.numeric.ignore.,42,,,,,3.21428571428571,1.73255365292932,3,3.05882352941176,1,1,7,6,0.548094754408636,2.60661346993949,0.267338832636054,Individual,as.numeric.ignore.,50,,,,,3.7,1.9192898346492,4,3.65,2,1,7,6,0.0664819944598336,1.85155884316419,0.271428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.7,3.21428571428571,1.26353541269346,0.209660046984962,90,-0.277981132546848,1.24940970397542, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = 1.2635, df = 90, p-value = 0.2097
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.2779811  1.2494097
sample estimates:
mean of x mean of y 
 3.700000  3.214286 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.26353541269346,-0.708552797862116,3.2286724811476,92,42,50,0.26447,0.04419,-0.14831,0.67578,60.429,57.41722,0.14834,0.21161,0.26226,0.04345,-0.14707,0.67014,60.34384,57.35595,0.21161,0.13202,0.01061,-0.07448,0.32218,0.21352,0.1328,0.01124,-0.07462,0.33408,1.61557,0.76415,3.40668,0.21161,0.47969,-0.269,1.22574,0.21161,,,,,,,,aus,aus,"American University of Sharjah, United Arab Emirates",Angela Maitner,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,DO.BR.FL_6,DO.BR.FL_7,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,aus,1,1,1,1,1,1,92,12,61,92,92,0,0,"Execution
legal 
   92 ","SubjectPool
Yes 
 92 ","Setting
In a lab 
      92 ","Tablet
Computers 
       92 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       92 ","analysis.type
Secondary 
       92 ","subset
all 
 92 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:32.837921Z,6,Bauer,1,,badaniaon,Secondary,Bauer.5,38,15,23,Consumer,as.numeric.ignore.,15,,,,,2.86666666666667,1.24594580635795,3,2.84615384615385,1,1,5,4,0.25721688536542,2.26318265647936,0.321701823886753,Individual,as.numeric.ignore.,23,,,,,2.69565217391304,1.39592858011809,3,2.63157894736842,1,1,5,4,0.0476728356399879,1.65665565379821,0.291071229948848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.69565217391304,2.86666666666667,-0.384659014123724,0.702753153859171,36,-1.07267922463166,0.730650239124414, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = -0.38466, df = 36, p-value = 0.7028
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -1.0726792  0.7306502
sample estimates:
mean of x mean of y 
 2.695652  2.866667 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.384659014123724,-2.34396529314782,1.57996009321952,38,15,23,-0.12766,0.11036,-0.77792,0.52436,44.92086,46.40364,-0.07193,0.70303,-0.12498,0.10578,-0.7616,0.51336,45.02686,46.47889,0.70303,-0.06398,0.02681,-0.36388,0.25465,0.7069,-0.06407,0.02857,-0.38135,0.26037,0.7933,0.2439,2.58851,0.70303,-0.23155,-1.41099,0.95108,0.70303,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate1,badaniaon,1,1,1,1,1,1,38,12,37,38,38,0,100,"Execution
   
38 ","SubjectPool
No 
38 ","Setting
Online (at home) 
              38 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             38 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       38 ","analysis.type
Secondary 
       38 ","subset
all 
 38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:32.947127Z,6,Bauer,1,,bc,Secondary,Bauer.5,76,35,41,Consumer,as.numeric.ignore.,35,,,,,3.62857142857143,1.57341356677157,4,3.62068965517241,1,1,7,6,-0.0108442614427995,2.57162323036656,0.265955434080913,Individual,as.numeric.ignore.,41,,,,,3.39024390243902,1.70114738897733,3,3.3030303030303,1,1,7,6,0.360119952973617,2.28244611338153,0.26567458726357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.39024390243902,3.62857142857143,-0.63004696399917,0.530604581489467,74,-0.992045882147388,0.515390829882579, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = -0.63005, df = 74, p-value = 0.5306
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.9920459  0.5153908
sample estimates:
mean of x mean of y 
 3.390244  3.628571 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.63004696399917,-2.59050925592164,1.33465426842492,76,35,41,-0.145,0.0531,-0.59616,0.30715,44.23573,45.91691,-0.08166,0.53114,-0.14352,0.05203,-0.5901,0.30403,44.29395,45.95829,0.53114,-0.07305,0.01319,-0.28835,0.15332,0.53375,-0.07318,0.0137,-0.29677,0.15453,0.76875,0.33915,1.74562,0.53114,-0.26299,-1.08132,0.55711,0.53114,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,76,13,72,76,76,0,100,"Execution
legal 
   76 ","SubjectPool
Yes 
 76 ","Setting
In a lab 
      76 ","Tablet
Computers 
       76 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               76 ","analysis.type
Secondary 
       76 ","subset
all 
 76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.055458Z,6,Bauer,1,,bilgi,Secondary,Bauer.5,151,75,76,Consumer,as.numeric.ignore.,75,,,,,3.37333333333333,1.62558374823401,3,3.29508196721311,1,1,7,6,0.256800792705235,2.43196009981907,0.187706242926637,Individual,as.numeric.ignore.,76,,,,,3.77631578947368,1.85183645217769,4,3.75806451612903,1.5,1,7,6,-0.0244248047445519,1.96375791401022,0.2124202093423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.77631578947368,3.37333333333333,1.42037120500805,0.157588779455656,149,-0.157644681964984,0.963609594245685, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = 1.4204, df = 149, p-value = 0.1576
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.1576447  0.9636096
sample estimates:
mean of x mean of y 
 3.776316  3.373333 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.42037120500805,-0.548570870071714,3.384581374006,151,75,76,0.23118,0.02667,-0.08929,0.55088,59.14131,56.49258,0.12985,0.15896,0.23002,0.0264,-0.08884,0.5481,59.09602,56.46013,0.15896,0.11558,0.00649,-0.0449,0.26719,0.15991,0.1161,0.00676,-0.04493,0.27384,1.52092,0.85049,2.71606,0.15896,0.41932,-0.16195,0.99918,0.15896,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,151,13,132,151,151,0,0,"Execution
illegal 
    151 ","SubjectPool
 No 
151 ","Setting
Online (at home) 
             151 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            151 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      151 ","analysis.type
Secondary 
      151 ","subset
all 
151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.185111Z,6,Bauer,1,,brasilia,Secondary,Bauer.5,102,54,48,Consumer,as.numeric.ignore.,54,,,,,3.59259259259259,1.83794921110068,4,3.54545454545455,1.5,1,7,6,0.0996154433096537,1.96283479538896,0.250113207797086,Individual,as.numeric.ignore.,48,,,,,3.9375,1.99367350450198,4,3.925,2,1,7,6,-0.140990125884018,1.8177722240386,0.28776198362511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.9375,3.59259259259259,0.909010038734879,0.36553045310675,100,-0.407874678229904,1.09768949304472, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = 0.90901, df = 100, p-value = 0.3655
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.4078747  1.0976895
sample estimates:
mean of x mean of y 
 3.937500  3.592593 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.909010038734879,-1.05724919005157,2.87074772445888,102,54,48,0.18032,0.03951,-0.20973,0.56948,57.15505,55.07307,0.10146,0.3665,0.17897,0.03892,-0.20815,0.5652,57.10183,55.03513,0.3665,0.09053,0.00974,-0.10514,0.27593,0.36858,0.09078,0.0101,-0.10553,0.28327,1.3869,0.68358,2.80926,0.3665,0.32707,-0.38041,1.03292,0.3665,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,102,13,97,102,102,0,0,"Execution
illegal 
    102 ","SubjectPool
 No 
102 ","Setting
In a classroom 
           102 ","Tablet
Computers 
      102 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      102 ","analysis.type
Secondary 
      102 ","subset
all 
102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.286800Z,6,Bauer,1,,cas,Secondary,Bauer.5,69,42,27,Consumer,as.numeric.ignore.,42,,,,,4.11904761904762,1.29166900827782,4,4.14705882352941,1,1,7,6,-0.223385512363111,3.02003142911869,0.199308855019481,Individual,as.numeric.ignore.,27,,,,,4.55555555555556,1.18754217199071,4,4.47826086956522,0,3,7,4,1.05921025823465,3.25239669421488,0.228542597557623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.55555555555556,4.11904761904762,1.41308800243915,0.162258839737308,67,-0.18006618086074,1.05308205387661, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = 1.4131, df = 67, p-value = 0.1623
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.1800662  1.0530821
sample estimates:
mean of x mean of y 
 4.555556  4.119048 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.41308800243915,-0.566559910609381,3.38235772286013,69,42,27,0.34857,0.06173,-0.13975,0.83433,63.62931,59.73426,0.19469,0.16524,0.34465,0.06035,-0.13818,0.82495,63.48217,59.62704,0.16524,0.17012,0.01387,-0.06905,0.3819,0.16743,0.17179,0.01515,-0.06916,0.40228,1.88181,0.77609,4.54172,0.16524,0.63223,-0.25349,1.51331,0.16524,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,69,13,68,69,69,0,0,"Execution
legal 
   69 ","SubjectPool
No 
69 ","Setting
In a lab 
      69 ","Tablet
Computers 
       69 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       69 ","analysis.type
Secondary 
       69 ","subset
all 
 69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.389996Z,6,Bauer,1,,castab,Secondary,Bauer.5,66,25,41,Consumer,as.numeric.ignore.,25,,,,,4.44,1.15758369027902,5,4.38095238095238,1,3,7,4,0.230816457129846,2.22109601247494,0.231516738055805,Individual,as.numeric.ignore.,41,,,,,4.41463414634146,1.30337273556143,4,4.39393939393939,1,2,7,5,0.0863366603946582,2.58543280446948,0.203552623255671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.41463414634146,4.44,-0.0799259963031813,0.936545514408883,64,-0.659378820710216,0.608647113393142, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = -0.079926, df = 64, p-value = 0.9365
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.6593788  0.6086471
sample estimates:
mean of x mean of y 
 4.414634  4.440000 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.0799259963031813,-2.03962712185812,1.88039827818464,66,25,41,-0.02028,0.06439,-0.51756,0.47716,49.19094,49.42789,-0.01144,0.93655,-0.02004,0.06289,-0.51147,0.47154,49.20046,49.43462,0.93655,-0.00999,0.01538,-0.24705,0.22881,0.93704,-0.00999,0.01587,-0.25227,0.23294,0.96388,0.39112,2.37611,0.93655,-0.03679,-0.93875,0.86546,0.93655,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,66,13,60,66,66,0,0,"Execution
legal 
   66 ","SubjectPool
No 
66 ","Setting
In a lab 
      66 ","Tablet
Tablets 
     66 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       66 ","analysis.type
Secondary 
       66 ","subset
all 
 66 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.488621Z,6,Bauer,1,,doshisha,Secondary,Bauer.5,114,60,54,Consumer,as.numeric.ignore.,60,,,,,2.96666666666667,1.24827564680061,3,2.91666666666667,1,1,6,5,0.32685652883717,2.81371562771312,0.161151693051168,Individual,as.numeric.ignore.,54,,,,,2.62962962962963,1.29288760176731,3,2.54545454545455,1,1,5,4,0.239521991262104,1.99754896477668,0.17593971772781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.62962962962963,2.96666666666667,-1.4152622684715,0.159766160884696,112,-0.80888999364545,0.134815919571376, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = -1.4153, df = 112, p-value = 0.1598
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.8088900  0.1348159
sample estimates:
mean of x mean of y 
 2.629630  2.966667 
",,,,,,,,,,,,,,,,,,,,,,,,,,-1.4152622684715,-3.38082108864715,0.556554403431111,114,60,54,-0.26547,0.03549,-0.63416,0.1044,39.53234,42.55495,-0.1489,0.16158,-0.26369,0.03502,-0.62991,0.1037,39.60097,42.60434,0.16158,-0.13255,0.00854,-0.30431,0.05252,0.16286,-0.13333,0.00901,-0.31426,0.05257,0.61785,0.31656,1.20847,0.16158,-0.48151,-1.15025,0.18936,0.16158,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,114,13,107,114,114,0,0,"Execution
legal 
  114 ","SubjectPool
Yes 
114 ","Setting
In a lab 
     114 ","Tablet
Computers 
      114 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      114 ","analysis.type
Secondary 
      114 ","subset
all 
114 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.636729Z,6,Bauer,1,,elte,Secondary,Bauer.5,94,42,52,Consumer,as.numeric.ignore.,42,,,,,3.11904761904762,1.58040410010489,3,3.05882352941176,1,1,6,5,0.102287310520417,1.88436093086174,0.243861646940009,Individual,as.numeric.ignore.,52,,,,,2.73076923076923,1.49660248714376,2,2.61904761904762,1,1,6,5,0.432813958451012,2.06810325476992,0.207541423322452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.73076923076923,3.11904761904762,-1.21964847749625,0.225715679951388,92,-1.02055433364799,0.243997557091218, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = -1.2196, df = 92, p-value = 0.2257
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -1.0205543  0.2439976
sample estimates:
mean of x mean of y 
 2.730769  3.119048 
",,,,,,,,,,,,,,,,,,,,,,,,,,-1.21964847749625,-3.1842131352484,0.751485090594675,94,42,52,-0.25303,0.04338,-0.6606,0.1559,40.01225,42.90005,-0.142,0.22753,-0.25096,0.04267,-0.6552,0.15463,40.09218,42.95748,0.22753,-0.12614,0.01041,-0.31507,0.07811,0.22947,-0.12682,0.01099,-0.32616,0.07827,0.63195,0.30174,1.32681,0.22753,-0.45895,-1.1982,0.28278,0.22753,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,94,13,86,94,94,0,100,"Execution
illegal 
     94 ","SubjectPool
Yes 
 94 ","Setting
In a lab 
      94 ","Tablet
Computers 
       94 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       94 ","analysis.type
Secondary 
       94 ","subset
all 
 94 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:48:33.740146Z,6,Bauer,1,,eltetab,Secondary,Bauer.5,87,47,40,Consumer,as.numeric.ignore.,47,,,,,2.70212765957447,1.60047402783786,2,2.53846153846154,1,1,6,5,0.721120243743276,2.40757445749587,0.23345313046317,Individual,as.numeric.ignore.,40,,,,,3.275,1.98697683003022,3,3.09375,2,1,7,6,0.467197965929769,2.05101575579502,0.314168622043837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,3.275,2.70212765957447,1.48921727158396,0.140131304690059,85,-0.191974879173232,1.3377195600243, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Individual and Consumer
t = 1.4892, df = 85, p-value = 0.1401
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.1919749  1.3377196
sample estimates:
mean of x mean of y 
 3.275000  2.702128 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.48921727158396,-0.487772188635524,3.45756686498013,87,47,40,0.32036,0.04687,-0.10493,0.74379,62.56524,58.9605,0.17921,0.14262,0.31753,0.04604,-0.104,0.73721,62.45775,58.88253,0.14262,0.15946,0.01104,-0.05283,0.35114,0.14416,0.16083,0.0119,-0.05288,0.36675,1.78795,0.82669,3.85391,0.14262,0.58107,-0.19032,1.34909,0.14262,,,,,,,,eltetab,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eltetab,1,1,1,1,1,1,87,13,83,87,87,0,100,"Execution
illegal 
     87 ","SubjectPool
Yes 
 87 ","Setting
In a lab 
      87 ","Tablet
Tablets 
     87 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       87 ","analysis.type
Secondary 
       87 ","subset
all 
 87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
