results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T16:11:29.359392Z,26,Zaval,2,,amity,Secondary,Zaval.3,21,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.47076023391813,2.50092936802974,-1.09292448445453,0.2744896098877,4202,-0.0842876520731343,0.0239493838499122, Two Sample t-test,two.sided,t,TRUE,"",,,,,,,,,,,,,,,,,,,,,,,,,,-1.09292448445453,-3.05296274958545,0.867243787796119,4204,2152,2052,-0.03372,0.00095,-0.0942,0.02676,48.65495,49.04881,-0.01902,0.27452,-0.03372,0.00095,-0.09418,0.02675,48.65519,49.04898,0.27452,-0.01686,0.00024,-0.04704,0.01338,0.27457,-0.01686,0.00024,-0.04708,0.01338,0.94067,0.84294,1.04973,0.27452,-0.06116,-0.17086,0.04853,0.27452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:29.924821Z,26,Zaval,2,,armstrong,Secondary,Zaval.3,53,25,28,Cold,as.numeric.ignore.,25,,,,,2.2,0.912870929175277,2,2.14285714285714,1,1,4,3,0.268328157299974,2.27,0.182574185835055,Heat,as.numeric.ignore.,28,,,,,1.89285714285714,0.916486273736323,2,1.83333333333333,1,1,4,3,0.505827704356915,2.06107508215016,0.17319962573647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,1.89285714285714,2.2,-1.2202017855947,0.228000659724799,51,-0.812481418721762,0.198195704436048, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = -1.2202, df = 51, p-value = 0.228
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.8124814  0.1981957
sample estimates:
mean of x mean of y 
 1.892857  2.200000 
",,,,,,,,,,,,,,,,,,,,,,,,,,-1.2202017855947,-3.18846397617578,0.759829329044632,53,25,28,-0.33575,0.07678,-0.87735,0.20908,36.85284,40.6168,-0.18766,0.2312,-0.33079,0.07453,-0.86438,0.20599,37.04009,40.75294,0.2312,-0.16842,0.01816,-0.40769,0.1058,0.23477,-0.17004,0.02,-0.43283,0.1062,0.5439,0.20366,1.46115,0.2312,-0.60899,-1.59133,0.37922,0.2312,,,,,,,,armstrong,armstrong,"Armstrong Atlantic State University, Savannah, GA",Ho Phi Huynh,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,armstrong,1,1,1,1,1,1,53,15,43,53,53,0,100,< table of extent 0 >,"SubjectPool
Yes 
 53 ","Setting
In a lab 
      53 ","Tablet
Computers 
       53 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       53 ","analysis.type
Secondary 
       53 ","subset
all 
 53 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.049942Z,26,Zaval,2,,aus2,Secondary,Zaval.3,75,43,32,Cold,as.numeric.ignore.,43,,,,,2.37209302325581,0.817174452842682,2,2.4,1,1,4,3,-0.243831519127609,2.30125079412226,0.124617935770838,Heat,as.numeric.ignore.,32,,,,,2.125,0.870669004920373,2,2.11538461538462,1,1,4,3,0.0558631882332362,1.92530556813038,0.153913989387035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.125,2.37209302325581,-1.2595077914338,0.211859149116038,73,-0.638083605867192,0.143897559355563, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = -1.2595, df = 73, p-value = 0.2119
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.6380836  0.1438976
sample estimates:
mean of x mean of y 
 2.125000  2.372093 
",,,,,,,,,,,,,,,,,,,,,,,,,,-1.2595077914338,-3.22579265264703,0.715300691281806,75,43,32,-0.29405,0.05508,-0.75311,0.167,38.43596,41.76437,-0.16471,0.21424,-0.29102,0.05395,-0.74535,0.16528,38.55183,41.84807,0.21424,-0.14584,0.01294,-0.35321,0.08343,0.21662,-0.14689,0.01389,-0.36911,0.08362,0.58664,0.25513,1.35378,0.21424,-0.53335,-1.36599,0.3029,0.21424,,,,,,,,aus2,aus2,"American University of Sharjah, United Arab Emirates",Mark Aveyard,ML2_Slate2_EngUAE_r.csv,DO.BR.FL_5,DO.BR.FL_6,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,aus2,1,1,1,1,1,1,75,15,60,75,75,0,0,< table of extent 0 >,"SubjectPool
Yes 
 75 ","Setting
In a lab 
      75 ","Tablet
Computers 
       75 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       75 ","analysis.type
Secondary 
       75 ","subset
all 
 75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.125979Z,26,Zaval,2,,badaniaon,Secondary,Zaval.3,23,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.125,2.37209302325581,-1.2595077914338,0.211859149116038,73,-0.638083605867192,0.143897559355563, Two Sample t-test,two.sided,t,TRUE,"",,,,,,,,,,,,,,,,,,,,,,,,,,-1.2595077914338,-3.22579265264703,0.715300691281806,75,43,32,-0.29405,0.05508,-0.75311,0.167,38.43596,41.76437,-0.16471,0.21424,-0.29102,0.05395,-0.74535,0.16528,38.55183,41.84807,0.21424,-0.14584,0.01294,-0.35321,0.08343,0.21662,-0.14689,0.01389,-0.36911,0.08362,0.58664,0.25513,1.35378,0.21424,-0.53335,-1.36599,0.3029,0.21424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.228586Z,26,Zaval,2,,bogota,Secondary,Zaval.3,63,34,29,Cold,as.numeric.ignore.,34,,,,,2.64705882352941,0.917253903620838,3,2.67857142857143,0.5,1,4,3,-0.442697462127589,2.42757110025855,0.157307746687417,Heat,as.numeric.ignore.,29,,,,,2.82758620689655,0.759180268317714,3,2.84,0,1,4,3,-0.208012573584461,2.71356563664256,0.140976236662603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.82758620689655,2.64705882352941,0.841842572726968,0.403164462293974,61,-0.248278221401715,0.609332988135995, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = 0.84184, df = 61, p-value = 0.4032
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.2482782  0.6093330
sample estimates:
mean of x mean of y 
 2.827586  2.647059 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.841842572726968,-1.12720645052424,2.80404357391998,63,34,29,0.2128,0.06425,-0.28493,0.70879,58.42568,55.98028,0.11961,0.40448,0.21017,0.06268,-0.28141,0.70004,58.32319,55.90699,0.40448,0.10717,0.01576,-0.14284,0.3379,0.40792,0.10758,0.01667,-0.14383,0.35172,1.47104,0.59642,3.61684,0.40448,0.38597,-0.5168,1.2856,0.40448,,,,,,,,bogota,bogota,"Universidad de los Andes, Bogotá, Colombia",Carolyn Finck and William Jiménez,ML2_Slate2_SpanishColombia_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,Colombia,Spanish,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,bogota,1,1,1,1,1,1,63,15,47,63,63,0,0,< table of extent 0 >,"SubjectPool
Yes 
 63 ","Setting
In a lab 
      63 ","Tablet
Computers 
       63 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       63 ","analysis.type
Secondary 
       63 ","subset
all 
 63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.357297Z,26,Zaval,2,,brookcuny,Secondary,Zaval.3,107,57,50,Cold,as.numeric.ignore.,57,,,,,2.45614035087719,0.907708563963529,2,2.4468085106383,1,1,4,3,0.131306110935134,2.24864115427431,0.120228936375474,Heat,as.numeric.ignore.,50,,,,,2.32,0.957036241396813,2,2.275,1,1,4,3,0.0300281518783211,1.99251718188491,0.135345363226594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.32,2.45614035087719,-0.75464518191688,0.452151156970299,105,-0.493846427279134,0.221565725524747, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = -0.75465, df = 105, p-value = 0.4522
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.4938464  0.2215657
sample estimates:
mean of x mean of y 
  2.32000   2.45614 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.75464518191688,-2.71546859341219,1.20975822300103,107,57,50,-0.14622,0.03764,-0.52616,0.23441,44.18731,45.8825,-0.08235,0.45275,-0.14517,0.03711,-0.52239,0.23273,44.22864,45.91187,0.45275,-0.07345,0.00933,-0.25616,0.11725,0.45471,-0.07358,0.00962,-0.262,0.11779,0.76704,0.38507,1.52984,0.45275,-0.26522,-0.95434,0.42516,0.45275,,,,,,,,brookcuny,brookcuny,"Brooklyn College, New York, NY",Cheryl Carmichael,ML2_Slate2_USEng_Inlab_DEPLOY__brooklyn_cuny_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,brookcuny,1,1,1,1,1,1,107,15,68,107,107,0,100,< table of extent 0 >,"SubjectPool
Yes 
107 ","Setting
Online (at home) 
             107 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            107 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      107 ","analysis.type
Secondary 
      107 ","subset
all 
107 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.465642Z,26,Zaval,2,,carleton,Secondary,Zaval.3,64,38,26,Cold,as.numeric.ignore.,38,,,,,2.26315789473684,0.828029589702249,2,2.25,1,1,4,3,0.0617428135678806,2.35772455708407,0.134324136779821,Heat,as.numeric.ignore.,26,,,,,2.46153846153846,0.90468864172241,3,2.45454545454545,0.5,1,4,3,-0.379442106964691,2.19735428797558,0.177424039918012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.46153846153846,2.26315789473684,0.906585398517788,0.368136100921151,62,-0.23903779799636,0.635798931599599, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = 0.90659, df = 62, p-value = 0.3681
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.2390378  0.6357989
sample estimates:
mean of x mean of y 
 2.461538  2.263158 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.906585398517788,-1.06346224316962,2.86938268127253,64,38,26,0.23074,0.06519,-0.27067,0.7303,59.12411,56.48025,0.12961,0.36966,0.22794,0.06362,-0.26738,0.72143,59.0152,56.40223,0.36966,0.11438,0.01546,-0.13384,0.34239,0.37305,0.11488,0.01639,-0.13465,0.35679,1.5197,0.61205,3.76073,0.36966,0.41851,-0.49093,1.32461,0.36966,,,,,,,,carleton,carleton,"Carleton University, Ottawa, Canada",John M. Zelenski,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,DO.BR.FL_5,DO.BR.FL_6,Canada,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,carleton,1,1,1,1,1,1,64,14,49,64,64,0,100,< table of extent 0 >,"SubjectPool
Yes 
 64 ","Setting
Online (at home) 
              64 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             64 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       64 ","analysis.type
Secondary 
       64 ","subset
all 
 64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.607377Z,26,Zaval,2,,csunorthonline,Secondary,Zaval.3,52,27,25,Cold,as.numeric.ignore.,27,,,,,2.81481481481482,0.921413505980268,3,2.8695652173913,1,1,4,3,-0.228725153648269,2.16351740912571,0.177326111904222,Heat,as.numeric.ignore.,25,,,,,2.56,0.820568908339411,3,2.57142857142857,1,1,4,3,0.0354666721262965,2.49884815214195,0.164113781667882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.56,2.81481481481482,-1.04986776700629,0.298827029269812,50,-0.742314892709385,0.232685263079756, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = -1.0499, df = 50, p-value = 0.2988
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.7423149  0.2326853
sample estimates:
mean of x mean of y 
 2.560000  2.814815 
",,,,,,,,,,,,,,,,,,,,,,,,,,-1.04986776700629,-3.01536806995561,0.925995373047784,52,27,25,-0.2914,0.07785,-0.83693,0.25702,38.5374,41.83765,-0.16325,0.30135,-0.287,0.07552,-0.82431,0.25314,38.70548,41.95901,0.30135,-0.14686,0.01877,-0.39226,0.12985,0.3054,-0.14793,0.02041,-0.41447,0.13058,0.58947,0.21914,1.59388,0.30135,-0.52853,-1.51803,0.46617,0.30135,,,,,,,,csunorthonline,csunorthonline,"Department of Psychology, California State University, Northridge, Northridge, CA 91330",Abraham M. Rutchick,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,csunorthonline,1,1,1,1,1,1,52,14,39,52,52,0,100,< table of extent 0 >,"SubjectPool
Yes 
 52 ","Setting
Online (at home) 
              52 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             52 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       52 ","analysis.type
Secondary 
       52 ","subset
all 
 52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.711545Z,26,Zaval,2,,fmkbelgrade,Secondary,Zaval.3,57,26,31,Cold,as.numeric.ignore.,26,,,,,2.34615384615385,0.79711016514947,2,2.31818181818182,0.5,1,4,3,0.275939248741565,2.7268319565689,0.156326164868474,Heat,as.numeric.ignore.,31,,,,,2.41935483870968,0.847513757936987,2,2.4,1,1,4,3,0.0893140287850026,2.44436874753487,0.152217964466119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,2.41935483870968,2.34615384615385,0.333657641900648,0.73990669790494,55,-0.366465446454677,0.51286743156634, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = 0.33366, df = 55, p-value = 0.7399
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.3664654  0.5128674
sample estimates:
mean of x mean of y 
 2.419355  2.346154 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.333657641900648,-1.62880499593655,2.29309699552174,57,26,31,0.08873,0.07079,-0.43315,0.60981,53.53518,52.50139,0.05003,0.74003,0.08751,0.06886,-0.42722,0.60145,53.48688,52.46717,0.74003,0.04494,0.01779,-0.21452,0.2954,0.74228,0.04498,0.01852,-0.2179,0.30447,1.17461,0.45582,3.02245,0.74003,0.16094,-0.78565,1.10607,0.74003,,,,,,,,fmkbelgrade,fmkbelgrade,"University of Belgrade, Belgrade, Serbia","Ljiljana Lazarevic, Goran Knezevic, Boban Petrovic, Janko Medjedovic, Ivan Grahek",ML2_Slate2_Serbian_inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Serbia,Serbian,0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,fmkbelgrade,1,1,1,1,1,1,57,14,46,57,57,0,0,< table of extent 0 >,"SubjectPool
No 
57 ","Setting
In a lab 
      57 ","Tablet
Computers 
       57 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       57 ","analysis.type
Secondary 
       57 ","subset
all 
 57 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T16:11:30.816914Z,26,Zaval,2,,georgefox,Secondary,Zaval.3,83,39,44,Cold,as.numeric.ignore.,39,,,,,1.84615384615385,0.812354004323288,2,1.81818181818182,1,1,3,2,0.284257121361249,1.60839700402725,0.130080746948458,Heat,as.numeric.ignore.,44,,,,,1.75,0.838742136829326,2,1.63888888888889,1,1,4,3,0.971813424672131,3.35912847483095,0.126445134714718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,1.75,1.84615384615385,-0.529005888836086,0.598248084998123,81,-0.457805760957703,0.265498068650011, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Heat and Cold
t = -0.52901, df = 81, p-value = 0.5982
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.4578058  0.2654981
sample estimates:
mean of x mean of y 
 1.750000  1.846154 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.529005888836086,-2.48902926187608,1.43427248571433,83,39,44,-0.11634,0.04845,-0.54741,0.31544,45.36903,46.72172,-0.06557,0.59856,-0.11526,0.04755,-0.54232,0.31251,45.41185,46.7521,0.59856,-0.05868,0.01211,-0.26655,0.15738,0.60072,-0.05874,0.0125,-0.27315,0.1587,0.80976,0.37051,1.77205,0.59856,-0.21102,-0.99289,0.57214,0.59856,,,,,,,,georgefox,georgefox,"George Fox University, Newberg, OR",Susan L. O’Donnell,ML2_Slate2_USEng_Inlab_DEPLOY__georgefox_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,georgefox,1,1,1,1,1,1,83,15,65,83,83,0,100,< table of extent 0 >,"SubjectPool
Yes 
 83 ","Setting
Online (at home) 
              83 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             83 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       83 ","analysis.type
Secondary 
       83 ","subset
all 
 83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
