uID,variable,factor,.id,source,zav.dv.3,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,zav.include.strict,zav.condition,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
630,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zhong|Risen|Savani|Ross.Slate2|Zaval|Geissner|Gray|Knobe|Hsee|Tversky.Gati|Tversky|Norenzayan|Hauser|Schwarz|Shafir,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood,5,Global,NON-WEIRD,TRUE
637,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Shafir|Gray|Schwarz|Knobe|Hauser|Risen|Zhong|Tversky|Savani|Hsee|Zaval|Geissner|Ross.Slate2|Norenzayan|Tversky.Gati,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,11,Global,NON-WEIRD,TRUE
658,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky.Gati|Risen|Shafir|Tversky|Hsee|Geissner|Zaval|Savani|Gray|Knobe|Zhong|Norenzayan|Hauser|Schwarz|Ross.Slate2,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,7,Global,NON-WEIRD,TRUE
659,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky.Gati|Gray|Savani|Geissner|Tversky|Schwarz|Risen|Knobe|Zhong|Ross.Slate2|Zaval|Hauser|Hsee|Shafir|Norenzayan,ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,11,Global,NON-WEIRD,TRUE
662,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hauser|Schwarz|Shafir|Tversky|Zhong|Risen|Norenzayan|Hsee|Zaval|Knobe|Gray|Ross.Slate2|Tversky.Gati|Savani|Geissner,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,9,Global,NON-WEIRD,TRUE
668,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Gray|Geissner|Tversky.Gati|Knobe|Shafir|Savani|Zaval|Zhong|Schwarz|Hsee|Hauser|Ross.Slate2|Tversky|Norenzayan|Risen,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,7,Global,NON-WEIRD,TRUE
674,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Risen|Ross.Slate2|Hauser|Shafir|Schwarz|Zhong|Hsee|Gray|Zaval|Tversky.Gati|Geissner|Savani|Norenzayan|Knobe|Tversky,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five,9,Global,NON-WEIRD,TRUE
680,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Savani|Schwarz|Knobe|Tversky.Gati|Hsee|Geissner|Ross.Slate2|Zaval|Tversky|Shafir|Hauser|Risen|Zhong|Gray|Norenzayan,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,8,Global,NON-WEIRD,TRUE
683,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Norenzayan|Gray|Zhong|Zaval|Tversky|Ross.Slate2|Tversky.Gati|Risen|Geissner|Savani|Hsee|Shafir|Schwarz|Knobe|Hauser,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,4,Global,NON-WEIRD,TRUE
685,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Ross.Slate2|Schwarz|Tversky.Gati|Zaval|Gray|Hauser|Knobe|Savani|Tversky|Risen|Norenzayan|Shafir|Hsee|Zhong|Geissner,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,4,Global,NON-WEIRD,TRUE
