uID,variable1,variable2,.id,source,van.p1.2_1,van.p1.2_2,van.p1.2_3,van.p1.2_4,van.p1.2_5,van.p1.2_6,van.p2.1_1_TEXT,van.p2.1_2_TEXT,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
24,0.619773974844148,0,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,1,9,9,4,4,9,0,0,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Inbar|Miyamoto|Kay|Critcher|Anderson|Bauer|Alter|Ross.Slate1|Graham|Hauser|Rottenstrich|Huang,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
33,0.608689307327412,2,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,1,9,9,5,5,9,0,2,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Kay|Ross.Slate1|Inbar|Huang|Miyamoto|Critcher|Rottenstrich|Graham|Anderson|Hauser|Bauer|Alter,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
38,0.580270798859532,1,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,3,6,7,4,5,8,1,0,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Anderson|Graham|Critcher|Inbar|Bauer|Hauser|Kay|Miyamoto|Huang|Rottenstrich|Ross.Slate1|Alter,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
42,0.654191491000836,1,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,1,9,9,4,5,9,0,1,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Bauer|Kay|Anderson|Rottenstrich|Miyamoto|Graham|Inbar|Ross.Slate1|Hauser|Critcher|Alter|Huang,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,1,Order,all,TRUE
82,0.688924388214861,1,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,6,5,6,6,2,4,0,1,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Ross.Slate1|Kay|Rottenstrich|Miyamoto|Graham|Bauer|Critcher|Hauser|Anderson|Huang|Alter|Inbar,ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,1,Order,all,TRUE
99,0.146560578423973,2,ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,brasilia,1,9,9,4,5,9,1,1,brasilia,brasilia,brasilia,Brazil,"Social and Work Psychology Department, University of Brasilia, DF, Brazil",Portuguese,0,illegal,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Bauer|Rottenstrich|Anderson|Critcher|Ross.Slate1|Alter|Graham|Hauser|Miyamoto|Inbar|Kay|Huang,ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood,1,Order,all,TRUE
206,0.654191491000836,0,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,2,9,7,4,3,8,0,0,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Alter|Inbar|Graham|Huang|Ross.Slate1|Hauser|Bauer|Critcher|Anderson|Miyamoto|Kay|Rottenstrich,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
212,0.568028761951137,1,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,1,5,9,5,5,9,1,0,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Huang|Alter|Kay|Rottenstrich|Hauser|Graham|Ross.Slate1|Anderson|Inbar|Critcher|Miyamoto|Bauer,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing,1,Order,all,TRUE
220,0.564693942179101,1,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,1,9,9,5,1,9,1,0,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Anderson|Critcher|Alter|Rottenstrich|Bauer|Huang|Miyamoto|Inbar|Graham|Kay|Hauser|Ross.Slate1,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
222,0.46901428377495,1,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,1,9,9,5,1,5,0,1,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Critcher|Anderson|Huang|Graham|Ross.Slate1|Rottenstrich|Hauser|Miyamoto|Kay|Inbar|Alter|Bauer,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: TIPI for Big-Five,1,Order,all,TRUE
