.id,source,rise1.3,rise2.3,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,1,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zhong|Tversky|Geissner|Tversky.Gati|Knobe|Shafir|Zaval|Hsee|Hauser|Gray|Risen|Savani|Norenzayan|Schwarz,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,1,12,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,3,,3,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Zhong|Hauser|Tversky|Gray|Risen|Schwarz|Norenzayan|Knobe|Ross.Slate2|Zaval|Savani|Geissner|Tversky.Gati|Shafir,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,2,6,Global,all,FALSE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,2,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Hsee|Knobe|Tversky.Gati|Norenzayan|Shafir|Risen|Ross.Slate2|Savani|Tversky|Geissner|Schwarz|Gray|Zaval|Hauser,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,3,7,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,2,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Risen|Norenzayan|Zaval|Tversky|Geissner|Ross.Slate2|Gray|Savani|Knobe|Hsee|Zhong|Tversky.Gati|Hauser|Shafir,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,4,2,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,2,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Tversky.Gati|Zaval|Hauser|Ross.Slate2|Norenzayan|Shafir|Savani|Schwarz|Knobe|Tversky|Geissner|Gray|Risen|Zhong,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five,5,14,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,2,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Savani|Ross.Slate2|Hsee|Zaval|Geissner|Tversky|Shafir|Schwarz|Norenzayan|Tversky.Gati|Gray|Knobe|Zhong|Risen,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,6,15,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,4,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Schwarz|Tversky.Gati|Zhong|Hauser|Risen|Norenzayan|Geissner|Savani|Tversky|Shafir|Ross.Slate2|Hsee|Zaval|Gray,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood,7,6,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,,4,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Zhong|Gray|Shafir|Hsee|Schwarz|Savani|Tversky|Hauser|Ross.Slate2|Norenzayan|Tversky.Gati|Geissner|Risen|Zaval,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,8,14,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,7,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Gray|Hauser|Tversky|Zhong|Risen|Savani|Knobe|Shafir|Norenzayan|Geissner|Hsee|Tversky.Gati|Ross.Slate2|Zaval,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing,9,6,Global,all,TRUE
ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv,unswonline,6,,2,unswonline,unswonline,unswonline,Australia,"University of New South Wales, Sydney, Australia",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Geissner|Hauser|Zaval|Savani|Ross.Slate2|Schwarz|Tversky.Gati|Shafir|Knobe|Zhong|Gray|Hsee|Risen|Tversky,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood,10,14,Global,all,TRUE
