uID,variable,factor,.id,source,haus1.1,haus1.1t_1,haus1.2,haus2.1,haus2.1t_1,haus2.2,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
4580,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,33.829,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Hauser|Anderson|Rottenstrich|VanLange|Bauer|Alter|Ross.Slate1|Miyamoto|Kay|Critcher|Huang,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,2,Secondary,all,TRUE
4581,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,43.186,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Alter|Graham|Ross.Slate1|Critcher|Rottenstrich|Anderson|Hauser|VanLange|Huang|Kay|Bauer|Miyamoto,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,7,Secondary,all,TRUE
4594,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,22.529,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Rottenstrich|Critcher|Kay|Ross.Slate1|Anderson|Bauer|Graham|Miyamoto|Alter|Hauser|Huang,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five,11,Secondary,all,TRUE
4596,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,36.349,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Graham|Critcher|Anderson|Rottenstrich|Kay|Huang|Hauser|Miyamoto|VanLange|Alter|Bauer,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,8,Secondary,all,TRUE
4598,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,55.661,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Miyamoto|Alter|Bauer|Rottenstrich|Graham|Kay|Hauser|Critcher|Huang|Ross.Slate1|VanLange,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,8,Secondary,all,TRUE
4603,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,76.722,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Rottenstrich|Graham|Bauer|Critcher|Huang|Kay|Hauser|Alter|Ross.Slate1|Anderson|VanLange|Miyamoto,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,7,Secondary,all,TRUE
4605,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,56.396,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Kay|VanLange|Bauer|Ross.Slate1|Rottenstrich|Hauser|Alter|Graham|Anderson|Miyamoto|Critcher,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,7,Secondary,all,TRUE
4613,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,41.303,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Hauser|Critcher|Kay|Bauer|Graham|Rottenstrich|VanLange|Ross.Slate1|Anderson|Alter|Huang,ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,2,Secondary,all,TRUE
4614,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,76.523,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Critcher|Huang|Kay|Anderson|Graham|Miyamoto|VanLange|Alter|Bauer|Rottenstrich,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Secondary,all,TRUE
4615,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,37.155,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Graham|Hauser|Bauer|Critcher|Ross.Slate1|Anderson|Miyamoto|Kay|VanLange|Alter|Rottenstrich,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood,3,Secondary,all,TRUE
