results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2018-11-14T15:56:54.575240Z,11,Hauser,1,,aus,Secondary,Hauser.2,38,21,17,SideEffect.1,,21,11,0.523809523809524,0.289473684210526,Yes,0.523809523809524,,,,,,,,,,,SideEffect.2,,21,10,0.476190476190476,0.263157894736842,No,0.476190476190476,,,,,,,,,,,GreaterGood.1,,21,3,,0.176470588235294,0.0789473684210526,Yes,0.176470588235294,,,,,,,,,,,GreaterGood.2,,21,14,,0.823529411764706,0.368421052631579,No,0.823529411764706,,,,,,,,,,,OR,4.90798197830182,,,,0.0431874588715523,,1.1029,25.5884,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.04319
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  1.1029 25.5884
sample estimates:
odds ratio 
  4.907982 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    11   10
GreaterGood    3   14
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,4.90798197830182,1.1029,25.5884,42,21,21,0.87709,0.18106,0.054,1.78748,80.97808,73.24354,0.46487,0.04582,0.86054,0.17429,0.05298,1.75376,80.52542,72.85699,0.04582,0.40162,0.0267,0.02699,0.66638,0.01125,0.42558,0.02564,0.027,0.80421,4.90798,1.1029,25.5884,0.04582,1.59086,0.09794,3.24214,0.04582,,,,,,,,aus,aus,"American University of Sharjah, United Arab Emirates",Angela Maitner,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,DO.BR.FL_6,DO.BR.FL_7,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,aus,1,1,1,1,1,1,38,11,33,38,38,0,0,"Execution
legal 
   38 ","SubjectPool
Yes 
 38 ","Setting
In a lab 
      38 ","Tablet
Computers 
       38 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       38 ","analysis.type
Secondary 
       38 ","subset
all 
 38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:54.669157Z,11,Hauser,1,,bc,Secondary,Hauser.2,52,28,24,SideEffect.1,,28,20,0.714285714285714,0.384615384615385,Yes,0.714285714285714,,,,,,,,,,,SideEffect.2,,28,8,0.285714285714286,0.153846153846154,No,0.285714285714286,,,,,,,,,,,GreaterGood.1,,28,5,,0.208333333333333,0.0961538461538462,Yes,0.208333333333333,,,,,,,,,,,GreaterGood.2,,28,19,,0.791666666666667,0.365384615384615,No,0.791666666666667,,,,,,,,,,,OR,9.0169553699195,,,,0.000340441584992485,,2.5189,33.7521,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.0003404
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  2.5189 33.7521
sample estimates:
odds ratio 
  9.016955 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    20    8
GreaterGood    5   19
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,9.0169553699195,2.5189,33.7521,56,28,28,1.21243,0.12998,0.50933,1.94015,88.73263,80.43655,0.60873,0.00142,1.19551,0.12638,0.50222,1.91308,88.40568,80.10439,0.00142,0.5184,0.01271,0.24679,0.69629,0.00011,0.57415,0.01887,0.25199,0.86005,9.01696,2.5189,33.7521,0.00142,2.19911,0.92382,3.51904,0.00142,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,52,13,51,52,52,0,100,"Execution
legal 
   52 ","SubjectPool
Yes 
 52 ","Setting
In a lab 
      52 ","Tablet
Computers 
       52 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               52 ","analysis.type
Secondary 
       52 ","subset
all 
 52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:54.754785Z,11,Hauser,1,,bilgi,Secondary,Hauser.2,109,60,49,SideEffect.1,,60,45,0.75,0.412844036697248,Yes,0.75,,,,,,,,,,,SideEffect.2,,60,15,0.25,0.137614678899083,No,0.25,,,,,,,,,,,GreaterGood.1,,60,9,,0.183673469387755,0.0825688073394496,Yes,0.183673469387755,,,,,,,,,,,GreaterGood.2,,60,40,,0.816326530612245,0.36697247706422,No,0.816326530612245,,,,,,,,,,,OR,12.9334384216721,,,,3.15980211998377e-09,,4.9569,33.9072,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 3.16e-09
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  4.9569 33.9072
sample estimates:
odds ratio 
  12.93344 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    45   15
GreaterGood    9   40
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,12.9334384216721,4.9569,33.9072,120,60,60,1.4113,0.06839,0.88256,1.94268,92.0922,84.08458,0.68169,0,1.40231,0.06752,0.87694,1.9303,91.95889,83.92997,0,0.57656,0.00509,0.40372,0.69675,0,0.65729,0.00855,0.42808,0.86096,12.93344,4.9569,33.9072,0,2.55982,1.60078,3.52363,0,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,109,13,95,109,109,0,0,"Execution
illegal 
    109 ","SubjectPool
 No 
109 ","Setting
Online (at home) 
             109 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            109 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      109 ","analysis.type
Secondary 
      109 ","subset
all 
109 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:54.859095Z,11,Hauser,1,,brasilia,Secondary,Hauser.2,49,22,27,SideEffect.1,,22,16,0.727272727272727,0.326530612244898,Yes,0.727272727272727,,,,,,,,,,,SideEffect.2,,22,6,0.272727272727273,0.122448979591837,No,0.272727272727273,,,,,,,,,,,GreaterGood.1,,22,5,,0.185185185185185,0.102040816326531,Yes,0.185185185185185,,,,,,,,,,,GreaterGood.2,,22,22,,0.814814814814815,0.448979591836735,No,0.814814814814815,,,,,,,,,,,OR,11.0020707873219,,,,0.000180289296121861,,2.8249,48.6951,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.0001803
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  2.8249 48.6951
sample estimates:
odds ratio 
  11.00207 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    16    6
GreaterGood    5   22
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,11.0020707873219,2.8249,48.6951,44,22,22,1.32213,0.14427,0.57254,2.14223,90.6938,82.50773,0.65015,0.00118,1.29838,0.13913,0.56226,2.10375,90.29219,82.07153,0.00118,0.55146,0.01215,0.27522,0.73096,0.00027,0.62048,0.02439,0.2825,0.93078,11.00207,2.8249,48.6951,0.00118,2.39808,1.03847,3.88558,0.00118,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,49,13,48,49,49,0,0,"Execution
illegal 
     49 ","SubjectPool
No 
49 ","Setting
In a classroom 
            49 ","Tablet
Computers 
       49 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       49 ","analysis.type
Secondary 
       49 ","subset
all 
 49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:54.942768Z,11,Hauser,1,,cas,Secondary,Hauser.2,60,35,25,SideEffect.1,,35,13,0.371428571428571,0.216666666666667,Yes,0.371428571428571,,,,,,,,,,,SideEffect.2,,35,22,0.628571428571429,0.366666666666667,No,0.628571428571429,,,,,,,,,,,GreaterGood.1,,35,25,,1,0.416666666666667,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Inf,,,,0.000321964887075159,,3.051,Inf,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.000322
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
 3.051   Inf
sample estimates:
odds ratio 
       Inf 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    13   22
GreaterGood    0   25
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,Inf,3.051,Inf,70,35,35,Inf,Inf,0.61499,Inf,100,100,1,,Inf,Inf,0.60818,Inf,100,100,,,,0.29391,,,,0.01493,0.30284,,Inf,3.051,Inf,,Inf,1.11547,Inf,,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,60,13,59,60,60,0,0,"Execution
legal 
   60 ","SubjectPool
No 
60 ","Setting
In a lab 
      60 ","Tablet
Computers 
       60 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       60 ","analysis.type
Secondary 
       60 ","subset
all 
 60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:55.022244Z,11,Hauser,1,,castab,Secondary,Hauser.2,47,22,25,SideEffect.1,,22,9,0.409090909090909,0.191489361702128,Yes,0.409090909090909,,,,,,,,,,,SideEffect.2,,22,13,0.590909090909091,0.276595744680851,No,0.590909090909091,,,,,,,,,,,GreaterGood.1,,22,4,,0.16,0.0851063829787234,Yes,0.16,,,,,,,,,,,GreaterGood.2,,22,21,,0.84,0.446808510638298,No,0.84,,,,,,,,,,,OR,3.53186052357083,,,,0.100877285970394,,0.867,14.7838,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.1009
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  0.8670 14.7838
sample estimates:
odds ratio 
  3.531861 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect     9   13
GreaterGood    4   21
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,3.53186052357083,0.867,14.7838,44,22,22,0.69568,0.14762,-0.07868,1.48502,75.66855,68.86122,0.37722,0.07735,0.68318,0.14236,-0.07727,1.45834,75.27545,68.54818,0.07735,0.32853,0.0262,-0.03931,0.59614,0.03455,0.34118,0.02439,-0.03933,0.68715,3.53186,0.867,14.7838,0.07735,1.26182,-0.14272,2.69353,0.07735,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,47,13,42,47,47,0,0,"Execution
legal 
   47 ","SubjectPool
No 
47 ","Setting
In a lab 
      47 ","Tablet
Tablets 
     47 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       47 ","analysis.type
Secondary 
       47 ","subset
all 
 47 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:55.102526Z,11,Hauser,1,,doshisha,Secondary,Hauser.2,67,32,35,SideEffect.1,,32,18,0.5625,0.26865671641791,Yes,0.5625,,,,,,,,,,,SideEffect.2,,32,14,0.4375,0.208955223880597,No,0.4375,,,,,,,,,,,GreaterGood.1,,32,2,,0.0571428571428571,0.0298507462686567,Yes,0.0571428571428571,,,,,,,,,,,GreaterGood.2,,32,33,,0.942857142857143,0.492537313432836,No,0.942857142857143,,,,,,,,,,,OR,20.1548754638885,,,,7.35034184436449e-06,,4.4107,136.652,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 7.35e-06
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
   4.4107 136.6520
sample estimates:
odds ratio 
  20.15488 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    18   14
GreaterGood    2   33
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,20.1548754638885,4.4107,136.652,64,32,32,1.65589,0.19979,0.81819,2.71113,95.11276,87.91782,0.75836,0.00045,1.63577,0.19497,0.80825,2.6782,94.90566,87.62959,0.00045,0.63773,0.01043,0.37864,0.80473,0,0.75434,0.01639,0.39847,1.11188,20.15488,4.4107,136.652,0.00045,3.00345,1.48403,4.91744,0.00045,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,67,12,66,67,67,0,0,"Execution
legal 
   67 ","SubjectPool
Yes 
 67 ","Setting
In a lab 
      67 ","Tablet
Computers 
       67 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       67 ","analysis.type
Secondary 
       67 ","subset
all 
 67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:55.222510Z,11,Hauser,1,,eindhoven,Secondary,Hauser.2,64,38,26,SideEffect.1,,38,29,0.763157894736842,0.453125,Yes,0.763157894736842,,,,,,,,,,,SideEffect.2,,38,9,0.236842105263158,0.140625,No,0.236842105263158,,,,,,,,,,,GreaterGood.1,,38,9,,0.346153846153846,0.140625,No,0.346153846153846,,,,,,,,,,,GreaterGood.2,,38,17,,0.653846153846154,0.265625,No,0.653846153846154,,,,,,,,,,,OR,5.89059176244427,,,,0.00161365880464434,,1.9092,19.0537,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.001614
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  1.9092 19.0537
sample estimates:
odds ratio 
  5.890592 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    29    9
GreaterGood    9   17
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,5.89059176244427,1.9092,19.0537,76,38,38,0.9777,0.09591,0.35654,1.62491,83.58893,75.53241,0.51065,0.00231,0.96776,0.09397,0.35291,1.60839,83.34179,75.31102,0.00231,0.43918,0.01261,0.1755,0.63057,0.00014,0.47122,0.0137,0.17734,0.74236,5.89059,1.9092,19.0537,0.00231,1.77336,0.64668,2.94726,0.00231,,,,,,,,eindhoven,eindhoven,"Eindhoven University of Technology, Eindhoven, Netherlands","Daniël Lakens, Karin Smolders",ML2_Slate1_Dutch_execution_illegal_DEPLOY__netherlands_r.csv,DO.BR.FL_5,DO.BR.FL_6,The Netherlands,Dutch,1,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eindhoven,1,1,2,1,1,1,64,13,58,64,64,0,100,"Execution
illegal 
     64 ","SubjectPool
No 
64 ","Setting
         In a classroom Other (please indicate) 
                     23                      41 ","Tablet
Computers   Tablets 
       41        23 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       64 ","analysis.type
Secondary 
       64 ","subset
all 
 64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:55.316711Z,11,Hauser,1,,elte,Secondary,Hauser.2,40,18,22,SideEffect.1,,18,11,0.611111111111111,0.275,Yes,0.611111111111111,,,,,,,,,,,SideEffect.2,,18,7,0.388888888888889,0.175,No,0.388888888888889,,,,,,,,,,,GreaterGood.1,,18,1,,0.0454545454545455,0.025,Yes,0.0454545454545455,,,,,,,,,,,GreaterGood.2,,18,21,,0.954545454545455,0.525,No,0.954545454545455,,,,,,,,,,,OR,29.6843022401324,,,,0.000244384071443377,,3.5748,730.8708,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.0002444
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
   3.5748 730.8708
sample estimates:
odds ratio 
   29.6843 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    11    7
GreaterGood    1   21
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,29.6843022401324,3.5748,730.8708,36,18,18,1.86935,0.38949,0.70234,3.63559,96.92126,90.68871,0.81377,0.00509,1.8278,0.37238,0.68674,3.5548,96.62106,90.18999,0.00509,0.68284,0.0148,0.33133,0.87617,3e-05,0.83442,0.0303,0.34433,1.35905,29.6843,3.5748,730.8708,0.00509,3.39062,1.27391,6.59424,0.00509,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,40,13,39,40,40,0,100,"Execution
illegal 
     40 ","SubjectPool
Yes 
 40 ","Setting
In a lab 
      40 ","Tablet
Computers 
       40 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       40 ","analysis.type
Secondary 
       40 ","subset
all 
 40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14T15:56:55.401399Z,11,Hauser,1,,eltetab,Secondary,Hauser.2,38,22,16,SideEffect.1,,22,15,0.681818181818182,0.394736842105263,Yes,0.681818181818182,,,,,,,,,,,SideEffect.2,,22,7,0.318181818181818,0.184210526315789,No,0.318181818181818,,,,,,,,,,,GreaterGood.1,,22,4,,0.25,0.105263157894737,Yes,0.25,,,,,,,,,,,GreaterGood.2,,22,12,,0.75,0.315789473684211,No,0.75,,,,,,,,,,,OR,6.08225041451938,,,,0.0201131343656855,,1.3894,27.6768,Two-sided Fisher's Exact Test (usual method using minimum likelihood),two.sided,OR,,"
	Two-sided Fisher's Exact Test (usual method using minimum likelihood)

data:  table(Condition, Response)
p-value = 0.02011
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  1.3894 27.6768
sample estimates:
odds ratio 
   6.08225 
",,,,"

===========  ===  ===
\            Yes   No
===========  ===  ===
SideEffect    15    7
GreaterGood    4   12
===========  ===  ===",,,,,,,,,,,,,,,,,,,,,,6.08225041451938,1.3894,27.6768,44,22,22,0.99536,0.16501,0.18132,1.83074,84.02182,75.92283,0.51846,0.01852,0.97747,0.15913,0.17806,1.79785,83.58329,75.52735,0.01852,0.44555,0.02124,0.09029,0.6752,0.00376,0.47913,0.02439,0.09053,0.82025,6.08225,1.3894,27.6768,0.01852,1.80537,0.32887,3.32059,0.01852,,,,,,,,eltetab,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eltetab,1,1,1,1,1,1,38,13,37,38,38,0,100,"Execution
illegal 
     38 ","SubjectPool
Yes 
 38 ","Setting
In a lab 
      38 ","Tablet
Tablets 
     38 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       38 ","analysis.type
Secondary 
       38 ","subset
all 
 38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
