uID,variable,factor,.id,source,haus3.1,haus3.1t_3,haus3.2,haus4.1,haus4.1t_3,haus4.2,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
1106,Yes,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,1,39.259,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Zaval|Zhong|Schwarz|Savani|Shafir|Geissner|Gray|Knobe|Ross.Slate2|Tversky.Gati|Risen|Hsee|Hauser|Norenzayan,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,14,Secondary,all,TRUE
1115,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,2.364,2,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Risen|Knobe|Geissner|Hsee|Ross.Slate2|Savani|Tversky.Gati|Gray|Zaval|Schwarz|Zhong|Hauser|Shafir|Norenzayan,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood,13,Secondary,all,TRUE
1116,Yes,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,1,2.429,2,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Norenzayan|Zaval|Geissner|Hsee|Hauser|Schwarz|Tversky|Shafir|Gray|Savani|Ross.Slate2|Knobe|Zhong|Tversky.Gati,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection,6,Secondary,all,TRUE
1118,Yes,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,1,58.894,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Risen|Gray|Norenzayan|Savani|Geissner|Hsee|Tversky|Schwarz|Zhong|Shafir|Tversky.Gati|Hauser|Zaval|Ross.Slate2,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,13,Secondary,all,TRUE
1133,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,12.485,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Knobe|Hauser|Shafir|Gray|Tversky.Gati|Schwarz|Zhong|Geissner|Hsee|Risen|Norenzayan|Savani|Tversky|Ross.Slate2,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing,3,Secondary,all,TRUE
1167,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,102.574,2,4,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Gray|Tversky|Zhong|Norenzayan|Geissner|Savani|Tversky.Gati|Shafir|Knobe|Zaval|Hsee|Risen|Ross.Slate2|Schwarz,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,1,Secondary,all,TRUE
1172,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,14.726,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Hauser|Schwarz|Knobe|Zhong|Hsee|Zaval|Tversky.Gati|Shafir|Gray|Geissner|Savani|Ross.Slate2|Tversky|Norenzayan,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,2,Secondary,all,TRUE
1181,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,5.73,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Risen|Zhong|Norenzayan|Shafir|Knobe|Hauser|Tversky|Geissner|Gray|Hsee|Tversky.Gati|Zaval|Schwarz|Ross.Slate2,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing,7,Secondary,all,TRUE
1196,Yes,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,1,3.082,2,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Savani|Knobe|Tversky.Gati|Geissner|Hauser|Tversky|Zaval|Schwarz|Risen|Ross.Slate2|Gray|Hsee|Zhong|Shafir,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,6,Secondary,all,TRUE
1202,No,SideEffect,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,,,,2,51.768,2,1,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Norenzayan|Risen|Ross.Slate2|Gray|Tversky.Gati|Shafir|Knobe|Hauser|Geissner|Schwarz|Tversky|Hsee|Zaval|Savani,ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE,9,Secondary,all,TRUE
