Lab,Location,Author Advised (AA) or In House (IH)
ashland,Ashland University,Author Advised
azusa,Azusa Pacific University,In House
byui,Brigham Young University – Idaho,Author Advised
ithaca,Ithaca College,In House
occid,Occidental College,Author Advised
pace_expert,Pace University,Author Advised
pace_inhouse,Pace University,In House
plu,Pacific Lutheran University,In House
sou_inhouse,Southern Oregon University,In House
cnj,The College of New Jersey,Author Advised
riverside,"University of California, Riverside",Author Advised
ufl,University of Florida,In House
illinois,University of Illinois,In House
kansas_expert,University of Kansas,Author Advised
kansas_inhouse,University of Kansas,In House
upenn,University of Pennsylvania,In House
uwmadison_expert,University of Wisconsin,Author Advised
uwmadison_inhouse,University of Wisconsin,In House
vcu,Virginia Commonwealth University,Author Advised
wesleyan_inhouse,Wesleyan University,In House
wpi,Worcester Polytechnic Institute,In House
