"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"1","acgreece",0.210522416165623,63,-0.0392920960699481,0.435568172464299,0.636363636363636,0.0494082277099069,TRUE,0.796,500,63,"","Eleni Vousoura","American College of Greece","Athens, Greece","Greece","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","adamsstate",0.305971792869387,146,0.151030312926426,0.446239987091682,0.272727272727273,0.04151845861595,FALSE,0.172,500,147,"email invitations","Leslie Cramblet Alvarez","Adams State University","Colorado, USA","USA","USA",126182,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Majority undergraduate","Public, 4-year or above","Rocky Mountains CO ID MT UT WY","Town Remote","Yes","Yes","Inclusive"
"3","ballstate",0.154236929686672,26,-0.247927163147935,0.511056332471154,0.939393939393939,0.052287484760961,TRUE,0.908,500,26,"posted on social media","Scott Hall","Ball State University","IN, USA","USA","USA",150136,"Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","Selective"
"4","bradley",-0.0237884224735843,102,-0.217258228265449,0.171479782934329,0.636363636363636,0.0562773224698764,TRUE,0.81,500,102,"posted on social media","Anthony Hermann","Bradley University","Peoria IL","USA","USA",143358,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","City Midsize","No","No","More selective"
"5","depauw",-0.230376220490504,85,-0.422744108508594,-0.0181429323184563,0.363636363636364,0.0628622464146794,FALSE,0.214,500,86,"institution participant pool","Susanne Biehle","DePauw University","Greencastle, IN","USA","USA",150400,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Town Distant","No","No","More selective"
"6","GeorgiaGwinett",0.028889319729033,92,-0.17697525311754,0.232332006999314,0.727272727272727,0.0544287102757692,TRUE,0.922,500,93,"institution participant pool","Matt Schmolesky","Georgia Gwinnett College","Lawrenceville GA","USA","USA",447689,"Four-year, medium, primarily nonresidential","Baccalaureate Colleges: Diverse Fields","Balanced arts & sciences/professions, no graduate coexistence","Exclusively undergraduate four-year","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Suburb Large","No","No","Inclusive"
"7","gettysburg",0.177183181183071,38,-0.151056387434199,0.470231445151647,0.878787878787879,0.05135461667467,TRUE,0.918,500,38,"email invitations","Christopher Barlett","Gettysburg College","PA, USA","USA","USA",212674,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","City Small","No","No","Inclusive"
"8","juniata",-0.0635193146142866,147,-0.223118199598243,0.0993960979890046,0.484848484848485,0.0584751372506367,TRUE,0.604,500,147,"institution participant pool","Kathryn Westcott","Juniata College","Huntingdon, PA USA","USA","USA",213251,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Inclusive"
"9","mcdaniel",-0.033022032114762,73,-0.261105614395028,0.19855371493788,0.696969696969697,0.0560604159125463,TRUE,0.854,500,73,"institution participant pool, email invitations","Holly M. Chalk","McDaniel College","Westminster, MD","USA","USA",164270,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Arts & sciences plus professions, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Small","No","No","Selective"
"10","memphis",-0.20435853748024,24,-0.561469103423764,0.216920575600887,0.787878787878788,0.056902447699629,TRUE,0.74,500,24,"email invitations","Chia-chen Yang","University of Memphis","TN, USA","USA","USA",220862,"Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Large","No","No","Selective"
