"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"531","R_12RzALeawDdgvlj","gettysburg",4,4.2,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"532","R_2eV8gA4T3vCpvc4","gettysburg",4,3.3,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"533","R_2f1y8u5xFC6251F","gettysburg",3,3.2,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"534","R_1QfHnlFXs7DbFpD","gettysburg",4,2.9,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","no","Caucasian","Gettysburg","Currently In College","some college"
"535","R_28P2Fzrsv2b3GxC","gettysburg",4,3.4,"female",NA,"somewhat liberal (3)","middle (4)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"536","R_2dz18tsLdZM9Juk","gettysburg",4,2.7,"female",NA,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"537","R_2TzuN4ft4By9FWx","gettysburg",3,3,"female",NA,"center (4)","conservative (6)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"538","R_40fQnabwYNqegx3","gettysburg",3.5,3.1,"male",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"539","R_1mVMDLF2eRV2jL7","gettysburg",4,2.4,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"540","R_2381tX4P5ezKqVf","gettysburg",3.5,3,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"541","R_23eHSTXMbDU4HUu","gettysburg",3,3.1,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","no","Caucasian","Gettysburg","Currently In College","some college"
"542","R_2c2G0pfimc3oho1","gettysburg",4,3.2,"female",19,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","Gettysburg","Currently In College","some college"
"543","R_3j8nyRQAbrb8UmK","gettysburg",3.5,2.5,"male",21,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"544","R_2znzudxVbuHSlL5","gettysburg",3.5,2.8,"male",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Gettysburg","Currently In College","some college"
"545","R_3nGTRZkIflY7cZ8","gettysburg",4,3.4,"female",21,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"546","R_22KchPReA7fU5fb","gettysburg",4,2,"male",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"547","R_UJGIWndbnecA4cV","gettysburg",4,2.5,"male",21,"center (4)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"548","R_1OVxqVAP4qovuBC","gettysburg",3.5,2.8,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"549","R_2AYkgwXb4O2tGqh","gettysburg",3,3.5,"female",21,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"550","R_2OJywTuRRegXdqe","gettysburg",4,2.9,"female",19,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Gettysburg","Currently In College","some college"
"551","R_2P8c5GEcWMZzQ41","gettysburg",4,3.1,"female",22,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"552","R_brOZMyJUD8Z7yLf","gettysburg",4,3.7,"female",20,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Other race/ethincity","Gettysburg","Currently In College","some college"
"553","R_2fqxew2mTB8coM3","gettysburg",4,3.9,"female",20,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Gettysburg","Currently In College","some college"
"554","R_2UW5SGIoXKHsLmg","gettysburg",3,2.4,"female",18,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"555","R_3IZgacPYiKXWT3t","gettysburg",3,3.8,"female",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","Gettysburg","Currently In College","some college"
"556","R_2qydWrzU8WjQgpN","gettysburg",4,3,"female",18,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"557","R_1FvEpRoEBuevUt3","gettysburg",4,3.7,"female",19,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"558","R_3FPxnZfvIuK6Bbh","gettysburg",4,2.5,"female",20,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"559","R_tDqwAyc13bB8qRz","gettysburg",4,3.7,"female",21,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Gettysburg","Currently In College","some college"
"560","R_6Qhl8L1kzpVMBdr","gettysburg",4,3.9,"female",21,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","Gettysburg","Currently In College","some college"
