"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"18","R_3hitqtbi73aOwQi","Norco",3,3.8,NA,NA,"liberal (2)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"19","R_1nZ7JvK0kfABSAb","Norco",4,2.8,NA,NA,"strongly liberal (1)","strongly democrat (1)",NA,NA,NA,NA,"",NA,NA
"70","R_3F31D0OFETbLpJL","Norco",3,3.4,"female",22,"conservative (6)","somewhat democrat (3)",NA,"40-59,999","no","Other race/ethincity","none","Not In College","some college"
"71","R_1Q4n1iXe2kQPAeD","Norco",4,4.2,"female",22,"strongly liberal (1)","middle (4)",NA,"40-59,999","yes","Other race/ethincity","","Not In College","some college"
"72","R_1mPH5l6lonV8vLT","Norco",3,4.4,"male",22,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","none","Not In College","no college"
"73","R_3ekTGWgkdaPa0xD","Norco",4,4.3,"female",22,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Not In College","no college"
"74","R_3MoMnfM2yvwBqek","Norco",4,3.4,"female",22,"apolitical","independent",NA,"60-79,999","yes",NA,"","Not In College","some college"
"75","R_VPbz3XSFJJVzfDb","Norco",4,4,"female",22,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","","Not In College","some college"
"76","R_2rC7omdbgAZpAhS","Norco",4,2.4,"female",24,"conservative (6)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","","Not In College","no college"
"77","R_27PXY1pcsFUnBEh","Norco",3.5,3.1,"male",22,"apolitical","independent",NA,"not say","yes","Other race/ethincity","","Not In College","some college"
"78","R_2sbFRoR3RmwtrNn","Norco",3.5,2.7,"female",44,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","","Not In College","some college"
"79","R_3jeNpnLoIBJXkBk","Norco",4,2.1,"male",21,"apolitical","independent",NA,"100-199,999","yes","Caucasian","","Not In College","no college"
"80","R_1gzrQgbumEIJfqx","Norco",4,3.2,"male",22,"apolitical","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","","Not In College","some college"
"81","R_7V4apAPdj6yRwfT","Norco",3.5,2,"female",30,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"","Not In College","no college"
"82","R_126hlQCkLu4yrOw","Norco",3.5,3.1,"female",24,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","","Not In College","some college"
"83","R_3PIcJkreQ4Rl97s","Norco",2.5,3.3,"female",23,"conservative (6)","middle (4)",NA,"under20,000","yes","Caucasian","","Not In College","some college"
