"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"22","R_3QRvawO5MdQAzTY","reed",3,4.3,NA,NA,"strongly liberal (1)","strongly democrat (1)",NA,NA,NA,NA,"",NA,NA
"1590","R_2uyOMbzrmO5zMci","reed",3,2.9,"female",20,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1591","R_3QRZwE268R04UOl","reed",3.5,3.5,"female",18,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Reed","Currently In College","some college"
"1592","R_2ASabgR5zaSRFuH","reed",2.5,3.5,"female",18,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Caucasian","Reed","Currently In College","some college"
"1593","R_tGafKJlE6jc7TnX","reed",3.5,4,"other",21,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Reed","Currently In College","some college"
"1594","R_3PXdUxnUdOJ6TQi","reed",4,3.5,"female",20,"somewhat liberal (3)","middle (4)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1595","R_3UD6jUzunRPOmGd","reed",4,3.8,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","Reed","Currently In College","some college"
"1596","R_248z4WLxladzXSU","reed",3.5,3.9,"female",20,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","Reed","Currently In College","some college"
"1597","R_1l5cOVbjzb432Mr","reed",3,3,"female",19,"liberal (2)","somewhat democrat (3)",NA,"100-199,999","yes",NA,"Reed","Currently In College","some college"
"1598","R_9WWDiKaQ2nodGJb","reed",3,2.3,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","no","Caucasian","Reed","Currently In College","some college"
"1599","R_31vkOrDi1y01Yc3","reed",3.5,3.7,"male",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Reed","Currently In College","some college"
"1600","R_1ogRazWrhQA2hpG","reed",3,2,"male",20,"liberal (2)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1601","R_1GuYwnKPr3xnfS1","reed",4,3,"female",22,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1602","R_3JxRIhFtSoBmCbr","reed",4,3.4,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1603","R_1gNPrArTLuAcroD","reed",4,4.1,"female",19,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","Reed","Currently In College","some college"
