"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"1","acgreece",0.278849584726525,63,0.0333915463284777,0.492582498383405,0.848484848484849,0.366530143488164,TRUE,0.88,500,63,"","Eleni Vousoura","American College of Greece","Athens, Greece","Greece","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","adamsstate",0.429576661875222,146,0.287168020219895,0.553406133734556,0.636363636363636,0.361294306973222,TRUE,0.842,500,147,"email invitations","Leslie Cramblet Alvarez","Adams State University","Colorado, USA","USA","USA",126182,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Majority undergraduate","Public, 4-year or above","Rocky Mountains CO ID MT UT WY","Town Remote","Yes","Yes","Inclusive"
"3","ballstate",0.25960551679754,26,-0.142028637273385,0.587844569795221,0.96969696969697,0.365726313495632,TRUE,0.892,500,26,"posted on social media","Scott Hall","Ball State University","IN, USA","USA","USA",150136,"Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","Selective"
"4","bradley",0.268091375722111,102,0.0776657408774057,0.439644508139507,0.757575757575758,0.367998035585173,TRUE,0.776,500,102,"posted on social media","Anthony Hermann","Bradley University","Peoria IL","USA","USA",143358,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","City Midsize","No","No","More selective"
"5","depauw",0.19582055827877,85,-0.01805712197755,0.392561451415007,0.575757575757576,0.369429381834785,TRUE,0.622,500,86,"institution participant pool","Susanne Biehle","DePauw University","Greencastle, IN","USA","USA",150400,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Town Distant","No","No","More selective"
"6","GeorgiaGwinett",0.383257344316107,92,0.193640270579859,0.545272101910893,0.909090909090909,0.363984053379906,TRUE,0.958,500,93,"institution participant pool","Matt Schmolesky","Georgia Gwinnett College","Lawrenceville GA","USA","USA",447689,"Four-year, medium, primarily nonresidential","Baccalaureate Colleges: Diverse Fields","Balanced arts & sciences/professions, no graduate coexistence","Exclusively undergraduate four-year","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Suburb Large","No","No","Inclusive"
"7","gettysburg",0.541947587876625,38,0.268841450441124,0.734395696502505,0.696969696969697,0.361863212583988,TRUE,0.754,500,38,"email invitations","Christopher Barlett","Gettysburg College","PA, USA","USA","USA",212674,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","City Small","No","No","Inclusive"
"8","juniata",0.459205892594828,147,0.321190675039865,0.578120353629475,0.575757575757576,0.360053297419103,TRUE,0.69,500,147,"institution participant pool","Kathryn Westcott","Juniata College","Huntingdon, PA USA","USA","USA",213251,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Inclusive"
"9","mcdaniel",0.218994347980216,73,-0.0116604211681058,0.427521618127913,0.666666666666667,0.368185804760731,TRUE,0.758,500,73,"institution participant pool, email invitations","Holly M. Chalk","McDaniel College","Westminster, MD","USA","USA",164270,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Arts & sciences plus professions, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Small","No","No","Selective"
"10","memphis",0.430113367734318,24,0.0323253020982199,0.71027319168129,0.939393939393939,0.364286756608143,TRUE,0.956,500,24,"email invitations","Chia-chen Yang","University of Memphis","TN, USA","USA","USA",220862,"Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Large","No","No","Selective"
"11","mercer",0.362723509693831,92,0.170578757712025,0.528292929109805,0.878787878787879,0.364654491647414,TRUE,0.944,500,92,"institution participant pool, email invitations","Tanya Sharon","Mercer University","GA, USA","USA","USA",140447,"Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"12","michiganstate",0.281295223271702,191,0.145111352009987,0.407018997788797,0.606060606060606,0.370441641682547,TRUE,0.782,500,192,"institution participant pool","William Chopik","Michigan State University","Michigan, USA","USA","USA",171100,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","More selective"
"13","mountida",0.459974602427625,18,-0.00878122505581947,0.762993138335625,0.96969696969697,0.364226549255558,TRUE,0.932,500,18,"","Hayley M Skulborstad","Mount Ida College","MA, USA","USA","USA",166948,"Four-year, small, highly residential","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Small","No","No","Inclusive"
"14","MtStMary",0.239792226271543,61,-0.0128015286240266,0.46361757750972,0.848484848484849,0.367216905757533,TRUE,0.816,500,61,"email invitations","Caitlin Faas","Mount St. Mary's University","MD, USA","USA","USA",163462,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Fringe","No","No","Selective"
"15","none",0.418225681344307,65,0.194128637719675,0.600836537829863,0.909090909090909,0.363425426018497,TRUE,0.908,500,66,"responded to open link, not directly recruited","unknown","various","various",NA,"NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Norco",0.239650125641972,100,0.045367531459678,0.416464578214176,0.606060606060606,0.368904797003791,TRUE,0.75,500,103,"","Laura Adams","Norco College","CA, USA","USA","USA",460464,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","Suburb Large","Yes","Yes","Inclusive"
"17","northwestnazarene",0.147089501601598,78,-0.0779941542330344,0.357905322783268,0.454545454545455,0.369959664276455,FALSE,0.496,500,79,"","Elizabeth List","Northwest Nazarene University","Idaho, USA","USA","USA",142461,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Rocky Mountains CO ID MT UT WY","Suburb Midsize","No","No","Selective"
"18","OhioWesleyan",0.307764193973841,78,0.0914999982242439,0.4963045414723,0.848484848484849,0.366186235903691,TRUE,0.91,500,78,"institution participant pool, email to department and psyc alumni","Vicki DiLillo","Ohio Wesleyan University","Delaware, OH","USA","USA",204909,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences plus professions, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Suburb Large","No","No","Inclusive"
