"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2500","R_3dQCnucRDdLrODU","willamette",4,3.7,"male",35,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2501","R_7Oo0U2astJwinER","willamette",4,3.3,"female",21,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2502","R_2CCYeDI5enxdxKd","willamette",4,5,"female",19,"strongly liberal (1)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2503","R_1g5DfwzFmfs5G8J","willamette",3,2.7,"female",19,"conservative (6)","conservative (6)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2504","R_2Sq5o6pjpk2Q7mQ","willamette",4,2.5,"male",18,"somewhat conservative (5)","middle (4)",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2505","R_3gS3F14iTtr3d8t","willamette",4,3.4,"male",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","Willamette","Currently In College","some college"
"2506","R_3EXtzdKdK7WuMot","willamette",2.5,2.9,"female",20,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2507","R_1MXruSU9rtO9mtX","willamette",2.5,1.9,"female",18,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2508","R_1eVH4Bc6yJCdcGn","willamette",4,2.4,"male",20,"center (4)","independent",NA,"200-999,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2509","R_1RAvjNt609pTm9j","willamette",4,2.2,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2510","R_ZrD49jng3sxz2W5","willamette",4,3.7,"female",18,"apolitical","independent",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2511","R_2bqoU4LSAmpyIIV","willamette",4,3.8,"female",18,"liberal (2)","somewhat democrat (3)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2512","R_VKaYd13vKutFeSZ","willamette",2,3.3,"female",18,"conservative (6)","strongly conservative (7)","yes","not say","yes","Caucasian","Willamette","Currently In College","some college"
"2513","R_2aKUSyU4nuLllYU","willamette",4,3.1,"male",21,"somewhat liberal (3)","independent",NA,"100-199,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2514","R_6VFaPgQTYAD5y6d","willamette",3.5,3.8,"female",19,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes",NA,"Willamette","Currently In College","some college"
"2515","R_3e2dqYxa5wHLDnO","willamette",4,2.7,"female",18,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2516","R_yx7CYfp2lJbkfmh","willamette",4,3.1,"female",20,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2517","R_38xAYbQ302TX3Pj","willamette",3.5,2.7,"female",18,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2518","R_2dF83QObrsarL3s","willamette",3,2.4,"male",18,"center (4)","middle (4)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2519","R_3hhaXmvt9eEsyyF","willamette",3,3,"female",19,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2520","R_2PsYrUBJD7H5Kul","willamette",3,2.5,"male",19,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2521","R_1gvSmbo5YnyAvSb","willamette",4,3.2,"female",18,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Willamette","Currently In College","some college"
