"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"88","R_2xRgHy2HGwAeHlc","OSUmansfield",3,2.4,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Not In College","some college"
"89","R_5bCZPVLimdRLS7P","OSUmansfield",3,2.7,"female",NA,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","","Not In College","some college"
"90","R_3EhWSfaPt1hQRQC","OSUmansfield",3,3.4,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","RhodeIsland","Not In College","no college"
"1275","R_1LbxVdraoOBQxos","OSUmansfield",3,2.9,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","OhioState","Currently In College","some college"
"1276","R_1FFEr6YMK1zJPHe","OSUmansfield",4,2.6,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","OhioState","Currently In College","some college"
"1277","R_12As5dRrLv3frVH","OSUmansfield",4,3.2,"female",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1278","R_3kv4uT6poFVzTu1","OSUmansfield",3.5,1.9,"female",NA,"apolitical","independent",NA,"40-59,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1279","R_1GTbJ3wRVtddD06","OSUmansfield",4,3.5,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1280","R_1hFusm61M8EFcOm","OSUmansfield",3.5,3.5,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1281","R_1KcMkH8O6DlJIPc","OSUmansfield",4,2.8,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1282","R_2e8NVLZUk6XZiPt","OSUmansfield",4,3,"female",NA,"center (4)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","Ashland","Currently In College","some college"
"1283","R_dolf50XzCNklhDz","OSUmansfield",4,2.1,"female",NA,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1284","R_2Yt98Zpau74a6vc","OSUmansfield",3.5,2.5,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","OhioState","Currently In College","some college"
"1285","R_rls8Q5Sr57PiHh7","OSUmansfield",4,2.2,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","","Currently In College","some college"
"1286","R_3J4p3N6M207inY3","OSUmansfield",3,2.1,"male",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","OhioState","Currently In College","some college"
"1287","R_e9VAnozYXJgcmxX","OSUmansfield",4,3.2,"female",NA,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","Cornell","Currently In College","some college"
"1288","R_2f1mPgYWCmVN6Aa","OSUmansfield",4,4,"female",NA,"liberal (2)","middle (4)",NA,"40-59,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1289","R_2tojBmVGoSQKIru","OSUmansfield",4,3,"female",NA,"apolitical","independent",NA,"under20,000","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1290","R_3g5ZeuF2dWoIR80","OSUmansfield",3.5,2.6,"female",NA,"apolitical","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1291","R_2q3roRLFSSOASBg","OSUmansfield",4,2.7,"female",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","OhioState","Currently In College","some college"
"1292","R_2YKymbJCk1p9rGs","OSUmansfield",4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"80-99,999","yes",NA,"OSU-Mansfield","Currently In College","some college"
"1293","R_3NP9zPSePxkPPGE","OSUmansfield",4,3.1,"male",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1294","R_ulVLZnjX7Fzoout","OSUmansfield",3.5,3.6,"female",NA,"conservative (6)","conservative (6)",NA,"20-39,999","yes","Caucasian","OhioState","Currently In College","some college"
"1295","R_3Oc62I4JG5qxJDo","OSUmansfield",4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","OSU-Mansfield","Currently In College","some college"
"1296","R_1jcSOmySqb5hKSv","OSUmansfield",3.5,2.9,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","OSU-Mansfield","Currently In College","some college"
"1297","R_1FaoAqCUiqfAhwq","OSUmansfield",4,3.7,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","OhioState","Currently In College","some college"
"1298","R_2Eoz7gDUNVOiHS9","OSUmansfield",4,4.1,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","CuyahogoCC","Currently In College","some college"
"1299","R_d1gTakSeHLzCXXX","OSUmansfield",4,3.1,"female",NA,"center (4)","conservative (6)",NA,"not say","yes","Caucasian","Cincinanati","Currently In College","some college"
"1300","R_1dLbD6qt7Whc9kD","OSUmansfield",4,4,"female",21,"conservative (6)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","NorthCentral","Currently In College","some college"
"2693","R_3hEEHoCzrKDjShy","OSUmansfield",3.5,3.8,"female",NA,"apolitical","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","NorthCentral","Completed 2 year degree","some college"
"2694","R_2agn8q0oA2q9vcC","OSUmansfield",3,2.2,"female",NA,"apolitical","democrat (2)",NA,"under20,000","yes","Other race/ethincity","OSU-Mansfield","Completed 2 year degree","some college"
"2886","R_sZHkOxSQb6Msxb3","OSUmansfield",4,1.9,"male",NA,"somewhat conservative (5)","conservative (6)",NA,"40-59,999","yes","Caucasian","OSU-Mansfield","Completed 4 year degree","some college"
"2887","R_RzsmorXlKO4eoGR","OSUmansfield",2.5,2,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Dayton","Completed 4 year degree","some college"
"2888","R_1DXNRpaCLK4adEc","OSUmansfield",4,2.5,"female",NA,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","Findlay","Completed 4 year degree","some college"
"2889","R_3CTuBFNxHOn5VX7","OSUmansfield",2.5,2.3,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","","Completed 4 year degree","some college"
"2890","R_1jTJTiBwWRFAuEK","OSUmansfield",1,2,"male",NA,"conservative (6)","conservative (6)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2891","R_yWxpDHDRHE8j7cB","OSUmansfield",3,2.1,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","JohnCarroll","Completed 4 year degree","some college"
"2892","R_22rBxYsu6JXKD3r","OSUmansfield",3,1.9,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"3038","R_21hbP7AyTRiQlnf","OSUmansfield",1.5,1.8,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Ashland","Graduate Education",NA
"3039","R_2VkxCyzGXBmb07m","OSUmansfield",3.5,2.6,"female",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","Akron","Graduate Education",NA
"3040","R_z8SXE7RpMWrIOFb","OSUmansfield",3.5,2,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","ISPP","Graduate Education",NA
