"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2","R_1QlwRZQj25rDCV1","",3.5,2.3,NA,NA,"liberal (2)","democrat (2)",NA,NA,NA,NA,"",NA,NA
"32","R_1geEnXCe5qMGfZO","",2.5,2.7,"female",NA,"center (4)","conservative (6)",NA,"60-79,999","yes","Caucasian","","Not In College","no college"
"33","R_2qf0JSUHc65wXdk","",4,3.5,"female",NA,"center (4)","middle (4)",NA,"40-59,999","no","Caucasian","","Not In College","some college"
"34","R_3KOrlk5tCWhM3KO","",3,3.4,"male",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","","Not In College","some college"
"35","R_3JrUrPMQox4bula","",3,3.2,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","","Not In College","some college"
"65","R_2fcXjTkFaMIVioe","",3,2.5,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","McDaniel","Not In College","some college"
"114","R_2ROCgN5HB4t5dFA","",4,3.9,"female",NA,"apolitical","independent",NA,"under20,000","yes","Caucasian","McDaniel","Currently In College","some college"
"115","R_3GCh0yNP04oFxIJ","",4,2.9,"female",NA,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"116","R_3L0YmD1FVZvzrcA","",4,4.4,"female",NA,"apolitical","independent",NA,"not say","yes","Other race/ethincity","BallState","Currently In College","some college"
"117","R_2QgLhCZzHeg4wfb","",1.5,3,"female",18,"apolitical","democrat (2)",NA,"not say","no","Other race/ethincity","GGwinnettC","Currently In College","some college"
"118","R_3haV4DegsLuoZbH","",3.5,4,"female",19,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","ParadiseVCC","Currently In College","some college"
"119","R_1Iow2ggqjoOQNLD","",3.5,3.5,"female",20,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"295","R_ANIm8rB487qLfIB","",3,2.3,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Bradley","Currently In College","some college"
"679","R_1j9AE2WjinslqTb","",3.5,2.8,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"680","R_3Gy4lgE7WgUep3O","",3,2.9,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"681","R_10ID9IwsGTH8jKh","",4,3.9,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"682","R_1Hd7MMP3FPcL7Bh","",4,3,"male",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"683","R_3ksKEHj1xjqiDrB","",4,3,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"684","R_3GDSfqRUnItaHPu","",3.5,2.9,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"685","R_1dEQbcs91OVCSCh","",3.5,2.9,"male",NA,"liberal (2)","democrat (2)",NA,"not say","no","Other race/ethincity","McDaniel","Currently In College","some college"
"686","R_12F64OvWX2h8al3","",4,2.7,"female",NA,"center (4)","conservative (6)",NA,"under20,000","yes","Caucasian","McDaniel","Currently In College","some college"
"687","R_2ZX4NN5eIfOo70T","",2.5,2.7,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"688","R_3QFAmEJKFiSsJH4","",3,1.4,"female",NA,"liberal (2)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"689","R_1mEhEACOJVQMVz9","",4,3.4,"female",NA,"apolitical","independent",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"690","R_2rnYv7kWx2WD4X1","",4,3.9,"female",NA,"strongly conservative (7)","strongly conservative (7)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"691","R_6LNfYfEKADrYXqF","",3,3.2,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"692","R_2U3okKMqEwmJsag","",4,3.7,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","McDaniel","Currently In College","some college"
"693","R_1DYF6fdTtLfPGT4","",4,3.4,"female",NA,"liberal (2)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"694","R_vJlMJBV6y4VajjH","",3,3.2,"female",NA,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","McDaniel","Currently In College","some college"
"695","R_3oT0BJ91gQYDzLr","",4,2.8,"female",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"696","R_2YA3bFWijTBt5vL","",3,2.3,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"697","R_33xxnAIWYltFKLQ","",4,2.9,"female",NA,"center (4)","middle (4)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"2624","R_2fHZPsMceqcMNQ0","",3,2.3,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","","Completed 2 year degree","some college"
"2625","R_24eiFGMoEKXgfJV","",3,2.9,"female",NA,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","","Completed 2 year degree","some college"
"2626","R_2ebztD05evtHR2c","",4,3.6,"male",NA,"center (4)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","","Completed 2 year degree","some college"
"2627","R_3OdHCVuneJj8fPL","",3.5,2.5,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","","Completed 2 year degree","some college"
"2628","R_pfIlWSQgLvSIyJ3","",3,2.9,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","","Completed 2 year degree","some college"
"2629","R_2ZKZMA7rXxQoi2S","",2.5,1.5,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"80-99,999","yes","Caucasian","","Completed 2 year degree","some college"
"2630","R_2wnRbjDh8GTWVUJ","",3.5,4,"female",NA,"center (4)","democrat (2)",NA,"100-199,999","yes","Other race/ethincity","","Completed 2 year degree","some college"
"2631","R_1pRKOid6j4C5yTT","",4,4.1,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"20-39,999","yes","Caucasian","","Completed 2 year degree","some college"
"2632","R_27yuoqIcXsYY3tl","",4,2.8,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","","Completed 2 year degree","some college"
"2633","R_2qdU9n24Ti2XkJf","",4,3.1,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","BaltimoreCC","Completed 2 year degree","some college"
