"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"101","R_3OdKKeBME5Kgijc","SUNYfredonia",4.13333333333333,4.66666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","","Not In College","some college"
"102","R_1g8B6UZlVVbib5g","SUNYfredonia",4.93333333333333,5.5,"male",19,"apolitical","conservative (6)",NA,"60-79,999","yes","Caucasian","StGeorges","Not In College","no college"
"103","R_3GuAL9S8VskerPD","SUNYfredonia",1.66666666666667,2.33333333333333,"female",18,"apolitical","independent",NA,"not say","yes","Caucasian","","Not In College","no college"
"2163","R_2B8t4RzeHpvY2AB","SUNYfredonia",3,2.5,"female",NA,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2164","R_1ikeYw7CgYL14hN","SUNYfredonia",5.53333333333333,5.16666666666667,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2165","R_1P1O8lXUPuxCuEP","SUNYfredonia",4.33333333333333,3.83333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2166","R_3n7VUQonVJe7UgC","SUNYfredonia",2.4,3.66666666666667,"male",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2167","R_1FzTcbiHVUsyUhM","SUNYfredonia",3.53333333333333,6.16666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"80-99,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2168","R_3RpIbQSoRVKzVa3","SUNYfredonia",3.2,4.66666666666667,"female",NA,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2169","R_xinAHaGX73o2ak1","SUNYfredonia",4.53333333333333,4.66666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Other race/ethincity","SUNY-Fredonia","Currently In College","some college"
"2170","R_1joLNZGQUNomlYq","SUNYfredonia",3.53333333333333,4,"female",NA,"apolitical","conservative (6)",NA,"not say","yes","Other race/ethincity","SUNY-Fredonia","Currently In College","some college"
"2171","R_3PFBuw7nBnErphE","SUNYfredonia",3.93333333333333,4.5,"female",NA,"center (4)","somewhat conservative (5)",NA,"under20,000","yes",NA,"SUNY-Fredonia","Currently In College","some college"
"2172","R_3RshcmuvIDV6lRW","SUNYfredonia",3.93333333333333,4.66666666666667,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2173","R_1oojmXuLjKhxUdV","SUNYfredonia",3.86666666666667,3,"female",NA,"somewhat liberal (3)","middle (4)",NA,"not say","yes",NA,"SUNY-Fredonia","Currently In College","some college"
"2174","R_2WNgI82DIFlzUn7","SUNYfredonia",3.6,4.66666666666667,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2175","R_2AHD1vjMRsjdKUo","SUNYfredonia",5.33333333333333,5.66666666666667,"male",NA,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2176","R_1gMYuk1yb3hYGfm","SUNYfredonia",4.53333333333333,5.66666666666667,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2177","R_3w4CrhENr57ANUd","SUNYfredonia",3.06666666666667,4.16666666666667,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2178","R_331fqc7vKWeyt6d","SUNYfredonia",3.06666666666667,3.66666666666667,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2179","R_22n5vV1fkLFn35S","SUNYfredonia",2.66666666666667,5.16666666666667,"female",NA,"apolitical","conservative (6)",NA,"40-59,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2180","R_1IGJKhA2darqWt1","SUNYfredonia",3.86666666666667,5.16666666666667,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2181","R_1mLcZ6NrRDEFPJL","SUNYfredonia",4,4.66666666666667,"female",NA,"apolitical","conservative (6)",NA,"60-79,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2182","R_3qBCMKboxJfZG1V","SUNYfredonia",2,4.83333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2183","R_330ZminwnNuD9tQ","SUNYfredonia",4.6,4.33333333333333,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2184","R_2U5iU2aOUnStOBD","SUNYfredonia",2.86666666666667,3.66666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2185","R_3et6i6JUzPCUs2K","SUNYfredonia",3.8,5.16666666666667,"male",NA,"somewhat liberal (3)","middle (4)",NA,"not say","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2186","R_w0NzIzu6KXyqOBz","SUNYfredonia",2.86666666666667,5.83333333333333,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2187","R_12r6sxr2ZFm7r0I","SUNYfredonia",4.93333333333333,3.83333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2188","R_rcdoWsnuIYY8Xux","SUNYfredonia",3.46666666666667,5.16666666666667,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"40-59,999","yes",NA,"SUNY-Fredonia","Currently In College","some college"
"2189","R_1CI43oP3J1ez8wR","SUNYfredonia",4.8,3.5,"female",NA,"apolitical","independent",NA,"not say","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
"2190","R_2Sxg420ydqrYrJF","SUNYfredonia",4.13333333333333,2.83333333333333,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","SUNY-Fredonia","Currently In College","some college"
"2191","R_2WBz9SkRfTfe7Bn","SUNYfredonia",3.4,4,"female",NA,"center (4)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","SUNY-Fredonia","Currently In College","some college"
