"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"21","R_1rAmVw0IRFbtQmL","northwestnazarene",4.4,4,NA,NA,"somewhat conservative (5)","somewhat conservative (5)",NA,NA,NA,NA,"",NA,NA
"87","R_3GlFGYtaQukcnyE","northwestnazarene",3.6,4.83333333333333,"female",18,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","NWNazarine","Not In College","no college"
"1147","R_3EcnN4iq4xHqtAB","northwestnazarene",3.2,5.5,"female",22,"center (4)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1148","R_1QlLZAvRpIaJ1dc","northwestnazarene",5.53333333333333,5.83333333333333,"female",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1149","R_1OUgtNkPBKneDHk","northwestnazarene",4.86666666666667,4.5,"female",21,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1150","R_3JFAoNVqsGGQ0n1","northwestnazarene",3.46666666666667,5.16666666666667,"female",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1151","R_2c89KxLZ6GAtUig","northwestnazarene",3.8,2.83333333333333,"female",28,"apolitical","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1152","R_1NwzpvS7Yw0G8WV","northwestnazarene",2.93333333333333,4.33333333333333,"female",22,"apolitical","independent",NA,"60-79,999","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1153","R_2diq2NUiuINIINd","northwestnazarene",4.46666666666667,5.16666666666667,"female",21,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1154","R_7NZ8qFNNhYd1N6h","northwestnazarene",2.53333333333333,3.66666666666667,"female",18,"center (4)","middle (4)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1155","R_1eS6CWOUDS9wCsx","northwestnazarene",4.6,6.5,"female",18,"apolitical","independent",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1156","R_28NaQSELaXe8lhd","northwestnazarene",2.53333333333333,3.33333333333333,"female",18,"strongly conservative (7)","strongly conservative (7)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1157","R_b4nns9NdCSrMVRD","northwestnazarene",3.6,4.33333333333333,"female",21,"somewhat liberal (3)","conservative (6)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1158","R_2uExltFZAxkxB8T","northwestnazarene",4.46666666666667,4.16666666666667,"male",19,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1159","R_sTYSKqCkoDk5OOR","northwestnazarene",2.06666666666667,1.33333333333333,"female",22,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1160","R_3MSBUxVCPb4UTIN","northwestnazarene",3.53333333333333,5.33333333333333,"female",19,"somewhat conservative (5)","somewhat democrat (3)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1161","R_VP7qtsSLSGgUnRv","northwestnazarene",4.06666666666667,5.83333333333333,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1162","R_sRI8zDWH7X9Ivbr","northwestnazarene",4.06666666666667,5,"female",19,"center (4)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1163","R_2CDHSB96GXo6cjy","northwestnazarene",3.53333333333333,3.33333333333333,"female",18,"center (4)","somewhat conservative (5)",NA,NA,"yes","Caucasian","NWNazarine","Currently In College","some college"
"1164","R_ZFe6soTVT0aGw9j","northwestnazarene",4.26666666666667,4.83333333333333,"female",20,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1165","R_AI4YzzTZ1XAmSqZ","northwestnazarene",4.73333333333333,6.16666666666667,"female",19,"apolitical","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1166","R_30uEyB4g5VHDhVl","northwestnazarene",1.93333333333333,4.16666666666667,"female",20,"strongly conservative (7)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1167","R_1eQOswa3suuc7pY","northwestnazarene",3.13333333333333,3.16666666666667,"female",18,"center (4)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1168","R_2rA8fk9y8vUDc6L","northwestnazarene",4.46666666666667,5,"female",21,"center (4)","middle (4)","yes","under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1169","R_1gBLu8cuzD7NKct","northwestnazarene",4.06666666666667,4.16666666666667,"female",20,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1170","R_2ZJNpTJl8TEe0Ng","northwestnazarene",3,4.5,"male",20,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1171","R_1dMFWARCMxaSuHd","northwestnazarene",3.6,4.66666666666667,"female",19,"center (4)","middle (4)",NA,"200-999,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1172","R_3HZEUtvtuSGDoTz","northwestnazarene",5.06666666666667,5.66666666666667,"female",18,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1173","R_3D1NEBS8wedzACb","northwestnazarene",4.26666666666667,1.5,"female",19,"apolitical","independent",NA,"not say","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1174","R_295JtPOt9YCuSMH","northwestnazarene",2.73333333333333,4.66666666666667,"female",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1175","R_6GdVqeCJBMdy2nT","northwestnazarene",3.93333333333333,3.33333333333333,"female",27,"conservative (6)","somewhat conservative (5)","yes","60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1176","R_3fH6w0gdguQ60Rp","northwestnazarene",4.06666666666667,3.83333333333333,"female",21,"center (4)","somewhat conservative (5)",NA,"not say","yes",NA,"NWNazarine","Currently In College","some college"
"1177","R_2amYFwKXAZz487K","northwestnazarene",3.86666666666667,4.66666666666667,"female",19,"conservative (6)","conservative (6)",NA,"20-39,999","yes",NA,"NWNazarine","Currently In College","some college"
"1178","R_29oBW0U7rwvHTeX","northwestnazarene",3.42857142857143,4.83333333333333,"female",19,"conservative (6)","strongly conservative (7)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1179","R_UgBHWFNN6KMvHCF","northwestnazarene",2.86666666666667,6.33333333333333,"female",18,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1180","R_ac1XcfHK3hbojHb","northwestnazarene",3.4,1.5,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1181","R_1JQJlY8J8qPOBYl","northwestnazarene",4,4,"female",21,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1182","R_RXmKE1fhB5sVYu5","northwestnazarene",3.6,2.16666666666667,"female",19,"somewhat liberal (3)","middle (4)",NA,"60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1183","R_bdzX9EL7Saj5Usl","northwestnazarene",2.73333333333333,3.66666666666667,"female",20,"center (4)","conservative (6)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1184","R_pzA5JQN8tIdaCit","northwestnazarene",4.13333333333333,4.5,"female",19,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1185","R_SISk36cETkIezKh","northwestnazarene",3.93333333333333,6,"male",20,"conservative (6)","strongly conservative (7)",NA,"80-99,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1186","R_307gibFMdmhrkhB","northwestnazarene",3,6.5,"male",22,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1187","R_1JVGGN4DyycFryp","northwestnazarene",3.93333333333333,2.83333333333333,"female",19,"somewhat conservative (5)","middle (4)",NA,"under20,000","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1188","R_1q3enTZIcc8bCA1","northwestnazarene",3.93333333333333,3.5,"male",20,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1189","R_3nOXkz1K6tTTojs","northwestnazarene",4,6.83333333333333,"female",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1190","R_10OTSb3qKpsUpgY","northwestnazarene",3.2,4.33333333333333,"male",18,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1191","R_1gjpw1fxApVBkcq","northwestnazarene",3.93333333333333,6,"female",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes",NA,"NWNazarine","Currently In College","some college"
"1192","R_XNx5Ihc9npOoyKB","northwestnazarene",3,2.66666666666667,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1193","R_12moVn7IJsErSy9","northwestnazarene",2.93333333333333,5.33333333333333,"female",19,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1194","R_7US3SyrFw2YZpo5","northwestnazarene",3.13333333333333,2.83333333333333,"female",19,"center (4)","middle (4)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1195","R_2dG9YrQjXKPIcr7","northwestnazarene",2.93333333333333,3.66666666666667,"male",18,"conservative (6)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1196","R_1FUwtEwVNOh04Ux","northwestnazarene",2.8,5.5,"female",19,"strongly conservative (7)","strongly conservative (7)",NA,"60-79,999","yes",NA,"NWNazarine","Currently In College","some college"
"1197","R_xbfyhlLMvpvrs0F","northwestnazarene",4.4,4.5,"female",19,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1198","R_31BhvNkGCyPgMpy","northwestnazarene",3.46666666666667,3.33333333333333,"female",19,"apolitical","independent",NA,"20-39,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1199","R_2coyulPVV0RAG1a","northwestnazarene",3.86666666666667,4.16666666666667,"male",19,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1200","R_10OPyaWe3FGIg5T","northwestnazarene",4.66666666666667,5.83333333333333,"female",20,"apolitical","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1201","R_2EgEHshk7cLni3Q","northwestnazarene",3.46666666666667,4.66666666666667,"female",18,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1202","R_1rwADEH9DICX4oa","northwestnazarene",3.26666666666667,3.5,"male",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1203","R_sQXfDeC9CBGBfhv","northwestnazarene",3.33333333333333,3.66666666666667,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes",NA,"NWNazarine","Currently In College","some college"
"1204","R_2zNJaMBo47iWc1Y","northwestnazarene",2.66666666666667,4.16666666666667,"male",19,"apolitical","somewhat conservative (5)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1205","R_XHdyMaik28PToVH","northwestnazarene",3.06666666666667,5.33333333333333,"female",18,"somewhat liberal (3)","middle (4)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1206","R_1jlzAWtfKDf2eCF","northwestnazarene",4.66666666666667,6.33333333333333,"male",22,"apolitical","middle (4)",NA,"100-199,999","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1207","R_3h5VBe4yW3YCxbz","northwestnazarene",4.06666666666667,3.5,"female",19,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1208","R_ZsHquDajFMklhId","northwestnazarene",3.33333333333333,5.16666666666667,"female",22,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1209","R_3oL1GohfFLEPV6H","northwestnazarene",3.6,5.33333333333333,"male",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1210","R_3fPIeb3y0GTd4oe","northwestnazarene",2.66666666666667,4.5,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1211","R_3R1HLc9YS7fSrnz","northwestnazarene",4.33333333333333,4.33333333333333,"male",20,"center (4)","conservative (6)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1212","R_5zF55ka1BjaOgaR","northwestnazarene",3.8,5.66666666666667,"female",21,"conservative (6)","conservative (6)",NA,"20-39,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1213","R_TdpUwVBj2gvWKuR","northwestnazarene",3.8,3.33333333333333,"male",21,"center (4)","middle (4)",NA,"200-999,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1214","R_2XhcEWydqM7JrBr","northwestnazarene",3.26666666666667,3.33333333333333,"female",19,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1215","R_2OQ2IoERFMs8IvI","northwestnazarene",2.46666666666667,5.16666666666667,"female",21,"conservative (6)","independent",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1216","R_2ta2GuW87O03vGy","northwestnazarene",3.86666666666667,5.66666666666667,"female",20,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1217","R_Ow0mBIz2awd0gbn","northwestnazarene",5.73333333333333,5,"male",24,"apolitical","independent",NA,"not say","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1218","R_vqxmyWc8xtBdhex","northwestnazarene",3.8,4.16666666666667,"female",22,"center (4)","middle (4)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"2687","R_2c8B2TqG8w1eY3X","northwestnazarene",4.26666666666667,5.83333333333333,"female",22,"apolitical","independent",NA,"20-39,999","yes","Caucasian","NWNazarine","Completed 2 year degree","some college"
"2688","R_3qg78qqerzNHOUl","northwestnazarene",3.46666666666667,5.16666666666667,"female",44,"strongly conservative (7)","strongly conservative (7)",NA,"40-59,999","yes","Other race/ethincity","NWNazarine","Completed 2 year degree","some college"
"2689","R_1JE3an6JUdoCQlZ","northwestnazarene",5,4.16666666666667,"male",61,"somewhat conservative (5)","somewhat conservative (5)","yes","under20,000","yes","Caucasian","NWNazarine","Completed 2 year degree","some college"
"2690","R_2SBuhXEiOZZ6pwi","northwestnazarene",3.66666666666667,2.5,"female",19,"conservative (6)","strongly conservative (7)",NA,"200-999,999","yes",NA,"NWNazarine","Completed 2 year degree","some college"
