"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"582",2409609,"ithaca",1.10104224205146,4.58333333333333,"Include"
"584",2442662,"ithaca",0.281867014917772,4.91666666666667,"Include"
"585",2442673,"ithaca",0.316551560538146,2.83333333333333,"Include"
"586",2442680,"ithaca",1.20768520406268,6.25,"Include"
"587",2442692,"ithaca",0.91839319663047,5.58333333333333,"Include"
"588",2442700,"ithaca",-0.0527737990277843,4.91666666666667,"Include"
"589",2442711,"ithaca",0.741990949702972,6.08333333333333,"Include"
"590",2442718,"ithaca",1.17717724950108,6.16666666666667,"Include"
"591",2442903,"ithaca",0.153128421488281,6.08333333333333,"Include"
"592",2442906,"ithaca",0.559894471881372,5,"Include"
"593",2442910,"ithaca",-0.561162266124237,4.75,"Include"
"594",2443194,"ithaca",-0.597439530871723,3.41666666666667,"Include"
"595",2443210,"ithaca",0.209488920170562,5.33333333333333,"Include"
"596",2443211,"ithaca",0.508628787821256,4.25,"Include"
"597",2443215,"ithaca",1.03951441203049,5,"Include"
"598",2443407,"ithaca",1.26480264928313,5.41666666666667,"Include"
"600",2443419,"ithaca",-0.370920045548597,6.5,"Include"
"601",2451795,"ithaca",-0.0604238537648178,4.75,"Include"
"602",2451900,"ithaca",0.336453645285768,4.66666666666667,"Include"
"603",2451905,"ithaca",0.237431303267765,6,"Include"
"604",2451911,"ithaca",0.914340424965265,6.08333333333333,"Include"
"605",2451919,"ithaca",0.778044406904527,5.66666666666667,"Include"
"606",2451922,"ithaca",0.765086314341037,4.33333333333333,"Include"
"608",2451932,"ithaca",0.628010839519067,5.33333333333333,"Include"
"609",2453957,"ithaca",0.304706578511388,6.16666666666667,"Include"
"610",2453961,"ithaca",-0.535904886532857,4.5,"Include"
"611",2454068,"ithaca",0.386974079947209,4.5,"Include"
"612",2454073,"ithaca",0.974965451507687,5.25,"Include"
"613",2454074,"ithaca",-0.733969248084436,4.75,"Include"
"614",2454076,"ithaca",-0.577812350867397,3.66666666666667,"Include"
"615",2454080,"ithaca",0.718768494586106,3.33333333333333,"Include"
"616",2454084,"ithaca",0.84685240172491,5.5,"Include"
"619",2454089,"ithaca",0.272805422414299,4.25,"Include"
"620",2454090,"ithaca",0.350062623915714,3.66666666666667,"Include"
"622",2454461,"ithaca",0.658463679563909,5.83333333333333,"Include"
"623",2454494,"ithaca",-0.476392584962839,5.08333333333333,"Include"
"624",2454600,"ithaca",0.489999792323428,6.16666666666667,"Include"
"625",2456447,"ithaca",-0.0430947682898377,4.5,"Include"
"626",2456450,"ithaca",-0.34614072044186,2.83333333333333,"Include"
"627",2456456,"ithaca",0.212921391696291,6,"Include"
"628",2456459,"ithaca",0.0935401388076548,4.91666666666667,"Include"
"629",2456460,"ithaca",0.263413462041025,5.08333333333333,"Include"
"630",2456463,"ithaca",1.07988191436967,5.66666666666667,"Include"
"631",2456625,"ithaca",0.881467903911917,6.16666666666667,"Include"
"632",2456811,"ithaca",0.61661975023379,4.66666666666667,"Include"
"633",2456933,"ithaca",0.522177453614945,5.58333333333333,"Include"
"634",2456936,"ithaca",0.877969575864331,5.41666666666667,"Include"
"635",2465685,"ithaca",0.65768545411992,4.75,"Include"
"636",2465686,"ithaca",0.667239325323989,5.41666666666667,"Include"
"637",2465689,"ithaca",0.50261727820471,4,"Include"
"638",2465799,"ithaca",1.16275178887272,6.25,"Include"
"639",2465800,"ithaca",1.26082640633425,5.91666666666667,"Include"
"640",2465802,"ithaca",0.361712754692048,4,"Include"
"641",2465803,"ithaca",0.93691239381896,5.41666666666667,"Include"
"642",2465808,"ithaca",-0.319316109612321,5.33333333333333,"Include"
"643",2467455,"ithaca",0.334248879274674,4.25,"Include"
"644",2467466,"ithaca",0.482050322861308,5.41666666666667,"Include"
"645",2467471,"ithaca",0.597727276601418,4.83333333333333,"Include"
"646",2467477,"ithaca",1.02948606837571,5.58333333333333,"Include"
"647",2467622,"ithaca",0.320658449247056,2.91666666666667,"Include"
"648",2467625,"ithaca",0.88721622109711,5.25,"Include"
"649",2467630,"ithaca",0.275738545369949,5.33333333333333,"Include"
"650",2467632,"ithaca",0.741410496821838,4.5,"Include"
"651",2467930,"ithaca",0.351745124518252,5.25,"Include"
"652",2467935,"ithaca",0.457836542590767,4.25,"Include"
"653",2467937,"ithaca",0.995223670425099,4.66666666666667,"Include"
"654",2468023,"ithaca",1.19173793559028,6,"Include"
"655",2468025,"ithaca",0.87547615672703,4.41666666666667,"Include"
"657",2470134,"ithaca",-0.358141247436876,4.08333333333333,"Include"
"658",2470138,"ithaca",0.611090461384376,4.5,"Include"
"659",2470304,"ithaca",0.999360588305646,5.83333333333333,"Include"
"660",2470307,"ithaca",0.6878591157423,3.16666666666667,"Include"
"661",2470311,"ithaca",0.682943140359254,6.08333333333333,"Include"
"662",2477383,"ithaca",0.865085655305187,4.83333333333333,"Include"
"663",2477497,"ithaca",1.02595217973774,6,"Include"
"664",2477498,"ithaca",1.05180733664868,6,"Include"
"665",2477501,"ithaca",0.615861178371032,5.91666666666667,"Include"
"666",2477502,"ithaca",0.684718075107516,5.16666666666667,"Include"
"667",2477504,"ithaca",0.321100754480548,4.91666666666667,"Include"
"668",2477506,"ithaca",0.544401407884592,5.33333333333333,"Include"
"669",2477509,"ithaca",1.12473811456664,5.58333333333333,"Include"
"670",2477515,"ithaca",0.949033648455619,5.91666666666667,"Include"
"671",2477516,"ithaca",0.710554854432981,4,"Include"
