"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"673",2419031,"jmu",0.179623354469785,4.91666666666667,"Include"
"674",2419039,"jmu",0.671450013576539,5.91666666666667,"Include"
"675",2419118,"jmu",0.192274985446168,5.25,"Include"
"676",2419123,"jmu",1.25961242842923,5.66666666666667,"Include"
"677",2419126,"jmu",0.368458864842934,3.58333333333333,"Include"
"678",2419136,"jmu",0.616296308721582,5.75,"Include"
"679",2419214,"jmu",1.17249628873569,5.16666666666667,"Include"
"680",2419302,"jmu",0.468084280418887,5.5,"Include"
"681",2419308,"jmu",-0.191192449289604,3.66666666666667,"Include"
"682",2419313,"jmu",0.224744452020736,2,"Include"
"683",2419389,"jmu",0.193159741066247,4,"Include"
"684",2419391,"jmu",0.285233787734652,4.58333333333333,"Include"
"685",2419455,"jmu",1.02997171576143,4.66666666666667,"Include"
"686",2419461,"jmu",0.471935501166666,3.25,"Include"
"687",2419527,"jmu",0.248125442627441,4.91666666666667,"Include"
"688",2419592,"jmu",0.567004715454975,2.91666666666667,"Include"
"689",2419674,"jmu",0.93697562902892,4.5,"Include"
"690",2419767,"jmu",0.211660325423141,4.25,"Include"
"691",2419793,"jmu",0.320274479913186,6.33333333333333,"Include"
"692",2419818,"jmu",0.325907647751677,4.91666666666667,"Include"
"693",2419826,"jmu",0.662044824869754,5,"Include"
"694",2419847,"jmu",0.13837071623848,5.08333333333333,"Include"
"695",2419887,"jmu",-0.276120432522225,5.75,"Include"
"696",2419919,"jmu",1.13023076894779,6.5,"Include"
"697",2420020,"jmu",0.421223689331176,5,"Include"
"698",2420156,"jmu",0.0192169415897089,6.5,"Include"
"699",2420182,"jmu",0.681404135110876,5.91666666666667,"Include"
"700",2420235,"jmu",0.284931697628409,4.33333333333333,"Include"
"701",2420247,"jmu",0.881019134936115,4,"Include"
"702",2420251,"jmu",0.068366563758886,5.75,"Include"
"703",2420252,"jmu",0.642708659750464,6,"Include"
"704",2420253,"jmu",-0.610350496399645,2.75,"Include"
"705",2420255,"jmu",0.983726005317315,5.75,"Include"
"706",2420258,"jmu",1.27247284672464,4.58333333333333,"Include"
"707",2420262,"jmu",-0.209623959822286,3,"Include"
"708",2420266,"jmu",1.1194584785033,5.41666666666667,"Include"
"709",2420272,"jmu",0.926575698856728,5.75,"Include"
"710",2420273,"jmu",0.328509491616132,5.83333333333333,"Include"
"711",2420275,"jmu",-0.194987405223976,5.83333333333333,"Include"
"712",2420276,"jmu",0.814255732722991,4.75,"Include"
"713",2420281,"jmu",-0.15445363599416,4.83333333333333,"Include"
"714",2420284,"jmu",0.0687562068846774,4.83333333333333,"Include"
"715",2420294,"jmu",0.67404921583331,5.91666666666667,"Include"
"716",2420305,"jmu",0.300233300186169,5.75,"Include"
"717",2420311,"jmu",0.877463271387583,5.5,"Include"
"718",2420319,"jmu",0.0675244773011318,5.66666666666667,"Include"
"719",2420326,"jmu",-0.739342169507073,3.83333333333333,"Include"
"720",2420327,"jmu",1.1561875233863,3.33333333333333,"Include"
"721",2420330,"jmu",-0.266221164573453,3.75,"Include"
"722",2420338,"jmu",1.43671031651095,4.83333333333333,"Include"
"723",2420341,"jmu",-0.390519132816924,4.08333333333333,"Include"
"724",2420345,"jmu",-0.408927485587119,4,"Include"
"725",2420356,"jmu",0.379967614882435,3.91666666666667,"Include"
"726",2420359,"jmu",-0.673316023001467,3.58333333333333,"Include"
"727",2420361,"jmu",0.057733740983902,2.66666666666667,"Include"
"728",2420367,"jmu",0.627948156554425,4.25,"Include"
"729",2420382,"jmu",0.697483328281464,6.16666666666667,"Include"
"730",2420386,"jmu",-0.534380661733035,4.75,"Include"
"731",2420405,"jmu",0.306757298915246,4.16666666666667,"Include"
"732",2420433,"jmu",0.366580711657207,3.25,"Include"
"733",2420456,"jmu",0.135973882089558,5.33333333333333,"Include"
"734",2420459,"jmu",0.794726090213383,6,"Include"
"735",2420463,"jmu",0.71241899140032,6.25,"Include"
"736",2420467,"jmu",0.0212320920627851,4.08333333333333,"Include"
"737",2420471,"jmu",0.994566736090784,6.08333333333333,"Include"
"738",2420481,"jmu",0.934814105260618,4.16666666666667,"Include"
"739",2420482,"jmu",0.596011100348921,5,"Include"
"740",2420485,"jmu",1.42132074875337,5.5,"Include"
"741",2420514,"jmu",0.0293860040090787,4.83333333333333,"Include"
"742",2420517,"jmu",0.629003803890877,5.91666666666667,"Include"
"743",2420518,"jmu",0.732648899576036,5.91666666666667,"Include"
"744",2420529,"jmu",0.00584651871299954,2.83333333333333,"Include"
"745",2420534,"jmu",0.940029376871927,6,"Include"
"746",2420543,"jmu",0.36148531632353,5.33333333333333,"Include"
"747",2420572,"jmu",1.05693334139376,5.08333333333333,"Include"
"748",2420580,"jmu",0.540228715937473,4.83333333333333,"Include"
"750",2420622,"jmu",0.224689816165033,3.08333333333333,"Include"
"752",2420646,"jmu",0.732835764190232,5.41666666666667,"Include"
"753",2420663,"jmu",0.319844115419386,4.5,"Include"
"755",2420694,"jmu",1.0334707871437,5.75,"Include"
"756",2420717,"jmu",0.34532555952946,5.25,"Include"
"757",2420719,"jmu",0.968462633050493,4.83333333333333,"Include"
"759",2420748,"jmu",0.0944880911747795,3.91666666666667,"Include"
"760",2420770,"jmu",-0.143286465232325,4.41666666666667,"Include"
"761",2420808,"jmu",-0.258864281514171,2.75,"Include"
"762",2420827,"jmu",1.03362992749383,6,"Include"
"764",2420912,"jmu",0.920788149800021,6,"Include"
"765",2420960,"jmu",-0.594505670465283,3.33333333333333,"Include"
"766",2421044,"jmu",0.749704269315962,5,"Include"
"767",2421241,"jmu",0.794148831567927,5,"Include"
"768",2421264,"jmu",0.597663797225525,5.91666666666667,"Include"
