"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"5204",2479820,"tamuon",0.676361135562796,4.83333333333333,"Include"
"5205",2479821,"tamuon",0.906965402927229,5.08333333333333,"Include"
"5206",2479829,"tamuon",0.260960393108546,2.41666666666667,"Include"
"5207",2479834,"tamuon",0.249102554513323,6,"Include"
"5208",2479835,"tamuon",-0.241486359000971,3.25,"Include"
"5209",2479842,"tamuon",-0.402433673722398,4.33333333333333,"Include"
"5210",2479846,"tamuon",1.06405048928854,5.5,"Include"
"5211",2479847,"tamuon",-0.388364346860994,2.75,"Include"
"5213",2479877,"tamuon",0.513742779266716,4.5,"Include"
"5214",2479886,"tamuon",0.553077070868783,5.33333333333333,"Include"
"5215",2479892,"tamuon",0.795275121193853,6,"Include"
"5216",2479894,"tamuon",0.404285927826033,5.25,"Include"
"5218",2480000,"tamuon",0.24683037296369,3.91666666666667,"Include"
"5219",2480132,"tamuon",-0.322540281991595,4.16666666666667,"Include"
"5220",2480144,"tamuon",-0.00403093390222239,4.41666666666667,"Include"
"5221",2480159,"tamuon",0.0524971057778045,4.41666666666667,"Include"
"5223",2480177,"tamuon",1.07956077158241,5.08333333333333,"Include"
"5224",2480194,"tamuon",0.970708936111301,6.25,"Include"
"5225",2480201,"tamuon",0.916844257156304,4.16666666666667,"Include"
"5226",2480215,"tamuon",1.15755069466782,5.75,"Include"
"5227",2480220,"tamuon",-0.0988357277397102,4.33333333333333,"Include"
"5228",2480228,"tamuon",0.802923261342581,4.25,"Include"
"5229",2480236,"tamuon",-0.0336816894321805,5.41666666666667,"Include"
"5230",2480242,"tamuon",0.23545211873421,4,"Include"
"5231",2480266,"tamuon",0.0882129849759387,2.5,"Include"
"5232",2480280,"tamuon",-0.764848436588121,2.91666666666667,"Include"
"5233",2480283,"tamuon",0.254231055459659,4.16666666666667,"Include"
"5234",2480332,"tamuon",0.940222820182642,4.75,"Include"
"5235",2480343,"tamuon",1.37097626896374,4.5,"Include"
"5236",2480353,"tamuon",1.07674187190595,4.16666666666667,"Include"
"5237",2480356,"tamuon",0.883233389306106,5.66666666666667,"Include"
"5238",2480366,"tamuon",0.677283516730571,5.66666666666667,"Include"
"5239",2480372,"tamuon",1.15130419068983,5.33333333333333,"Include"
"5240",2480383,"tamuon",0.60782506649322,3.83333333333333,"Include"
"5241",2480385,"tamuon",-0.650875178080971,5.75,"Include"
"5242",2480422,"tamuon",0.109747109995001,5.5,"Include"
"5243",2480440,"tamuon",0.455518553567134,4.41666666666667,"Include"
"5244",2480462,"tamuon",-0.317371346359444,4.66666666666667,"Include"
"5245",2480467,"tamuon",0.426148706537145,4.91666666666667,"Include"
"5246",2480474,"tamuon",0.233175587385781,4.58333333333333,"Include"
"5247",2480477,"tamuon",0.205660470639262,3.75,"Include"
"5248",2480481,"tamuon",1.04644876019181,4.58333333333333,"Include"
"5249",2480490,"tamuon",0.421684967405392,3.41666666666667,"Include"
"5250",2480516,"tamuon",0.135838923302407,4.83333333333333,"Include"
"5251",2480518,"tamuon",-0.0264693026039357,4.41666666666667,"Include"
"5253",2480558,"tamuon",0.718504396530367,6.08333333333333,"Include"
"5255",2480567,"tamuon",0.0435250777294324,4.66666666666667,"Include"
"5256",2480574,"tamuon",0.479686120074677,3.75,"Include"
"5257",2480585,"tamuon",-0.386140690880136,3.75,"Include"
"5258",2480627,"tamuon",0.738916712860404,6.16666666666667,"Include"
"5259",2480628,"tamuon",-0.489112411181026,2.08333333333333,"Include"
"5260",2480632,"tamuon",1.03270520111851,5,"Include"
"5261",2480650,"tamuon",1.02638970306428,5.33333333333333,"Include"
"5262",2480672,"tamuon",-0.2647406132799,3.91666666666667,"Include"
"5264",2480687,"tamuon",0.659972605865229,6.08333333333333,"Include"
"5266",2480693,"tamuon",0.152403596990135,5.16666666666667,"Include"
"5267",2480707,"tamuon",0.767478376898334,5.25,"Include"
"5268",2480720,"tamuon",0.565054490326134,4.25,"Include"
"5269",2480725,"tamuon",-0.472793599058059,3.75,"Include"
"5270",2480727,"tamuon",-0.0130054880735563,4.5,"Include"
"5271",2480728,"tamuon",0.0859592506047708,3.16666666666667,"Include"
"5272",2480731,"tamuon",0.975139976275281,4.66666666666667,"Include"
"5273",2480733,"tamuon",-0.214730692295199,4.58333333333333,"Include"
"5274",2480735,"tamuon",0.591720179295311,4.66666666666667,"Include"
"5276",2480827,"tamuon",1.06459210773051,5.75,"Include"
"5277",2480834,"tamuon",1.0035979862056,3.66666666666667,"Include"
"5278",2480836,"tamuon",1.03395900394141,5.58333333333333,"Include"
"5279",2480838,"tamuon",0.298099533130018,3.75,"Include"
"5280",2480841,"tamuon",0.130835367565878,4.5,"Include"
"5281",2480848,"tamuon",0.672291131873053,5.41666666666667,"Include"
"5282",2480849,"tamuon",-0.336616774374954,5.58333333333333,"Include"
