"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"6258",2454344,"wpi",0.358084578609165,4.66666666666667,"Include"
"6259",2454353,"wpi",0.191978226412798,3.75,"Include"
"6260",2454385,"wpi",0.636566620911575,4.58333333333333,"Include"
"6261",2456569,"wpi",-0.351020553579439,4.16666666666667,"Include"
"6262",2456576,"wpi",-0.0466744510906031,4.5,"Include"
"6263",2458809,"wpi",0.149164240488074,3.5,"Include"
"6264",2458813,"wpi",-0.36890403411713,3.16666666666667,"Include"
"6265",2458816,"wpi",0.255815098086254,5.5,"Include"
"6266",2458872,"wpi",-0.864215164496997,3.41666666666667,"Include"
"6267",2458893,"wpi",0.681406301973162,4.58333333333333,"Include"
"6268",2458967,"wpi",0.881029279360963,4.5,"Include"
"6269",2458970,"wpi",-0.164797510953174,3.58333333333333,"Include"
"6270",2458987,"wpi",-0.208932439591097,2.5,"Include"
"6271",2459014,"wpi",1.03471130309691,4.83333333333333,"Include"
"6272",2461595,"wpi",0.899147476051146,4.33333333333333,"Include"
"6274",2472292,"wpi",0.808953927509429,4.08333333333333,"Include"
"6275",2472304,"wpi",0.0315902557763776,4.33333333333333,"Include"
"6276",2472376,"wpi",0.00458721365942802,2.08333333333333,"Include"
"6277",2472395,"wpi",0.0833404586531317,5,"Include"
"6278",2474017,"wpi",-0.0472352008125842,4.66666666666667,"Include"
"6279",2474025,"wpi",0.117231061487128,4.08333333333333,"Include"
"6280",2474095,"wpi",0.723749415963641,4.33333333333333,"Include"
"6281",2474102,"wpi",-0.160201325282001,4,"Include"
"6282",2477627,"wpi",-0.256030307810671,4.33333333333333,"Include"
"6283",2477634,"wpi",-0.534494190151867,4.83333333333333,"Include"
"6284",2477719,"wpi",-0.359374791707631,3.66666666666667,"Include"
"6285",2477729,"wpi",0.734820031654433,5.33333333333333,"Include"
"6287",2477736,"wpi",1.06875214429074,5.25,"Include"
"6290",2477773,"wpi",-0.0653579774769058,5,"Include"
"6291",2477776,"wpi",0.91414492644778,4.33333333333333,"Include"
"6293",2481944,"wpi",0.595509028889983,3.83333333333333,"Include"
"6294",2482004,"wpi",-0.562326924129481,3.91666666666667,"Include"
"6295",2482043,"wpi",-0.288703839112347,4.25,"Include"
"6296",2482055,"wpi",0.421331387041751,4,"Include"
"6297",2482067,"wpi",1.02653212578601,5.66666666666667,"Include"
"6298",2482078,"wpi",0.19877361105885,3,"Include"
"6299",2484324,"wpi",0.00173838781414706,4.08333333333333,"Include"
"6300",2484327,"wpi",0.900691678724779,3.5,"Include"
"6301",2484328,"wpi",0.0355976132059875,4.83333333333333,"Include"
"6302",2484570,"wpi",0.522754264591629,4.91666666666667,"Include"
"6303",2484574,"wpi",0.17986938088016,4.25,"Include"
"6304",2484654,"wpi",0.0107875772791185,5.08333333333333,"Include"
"6305",2484679,"wpi",0.942241657005104,4.83333333333333,"Include"
"6306",2484690,"wpi",0.303518867660639,4.66666666666667,"Include"
"6307",2484696,"wpi",-0.778207896539818,2.75,"Include"
"6308",2484748,"wpi",1.05561332943018,5.5,"Include"
"6309",2484783,"wpi",0.442687138503461,5,"Include"
"6310",2484805,"wpi",0.565332699402965,4.91666666666667,"Include"
"6311",2484862,"wpi",1.12778265127438,4.75,"Include"
"6312",2484863,"wpi",0.054692859569065,3.75,"Include"
"6313",2484876,"wpi",0.61553082336727,3.33333333333333,"Include"
"6314",2484887,"wpi",0.473705670142016,4.41666666666667,"Include"
"6315",2484890,"wpi",0.184891381013705,3.91666666666667,"Include"
"6316",2484896,"wpi",-0.623100787727554,4.08333333333333,"Include"
"6317",2484969,"wpi",-0.0617855501871063,4.25,"Include"
"6318",2484972,"wpi",0.767270944692374,4.75,"Include"
"6319",2484973,"wpi",0.396889049728054,3.5,"Include"
"6320",2486492,"wpi",-0.555480777057865,4.5,"Include"
"6321",2490381,"wpi",1.34953357102721,4.08333333333333,"Include"
"6322",2490384,"wpi",-0.0296640926128942,3.5,"Include"
"6323",2492391,"wpi",0.309678299978509,5.16666666666667,"Include"
"6324",2492394,"wpi",1.11447742369619,3.58333333333333,"Include"
"6325",2493944,"wpi",0.317961777571361,3.25,"Include"
"6326",2493955,"wpi",0.684743593041598,4.75,"Include"
"6327",2493959,"wpi",0.106245882500947,4,"Include"
"6328",2493964,"wpi",-0.163170926936819,3.66666666666667,"Include"
"6331",2494028,"wpi",-0.0945181004445573,3.41666666666667,"Include"
"6332",2494032,"wpi",0.523560011203762,3.5,"Include"
"6333",2494074,"wpi",0.430232572049456,4.16666666666667,"Include"
"6334",2494078,"wpi",-0.134036652491616,4.41666666666667,"Include"
"6335",2494402,"wpi",0.115272773829886,6.16666666666667,"Include"
"6336",2494404,"wpi",0.520303923326244,5.66666666666667,"Include"
"6337",2494405,"wpi",0.530830528907918,4.83333333333333,"Include"
"6338",2494407,"wpi",0.481968729956408,4.08333333333333,"Include"
"6339",2495930,"wpi",0.623240516335578,2.83333333333333,"Include"
"6340",2495934,"wpi",0.808737354488354,5.16666666666667,"Include"
"6341",2496017,"wpi",0.473982092833841,3.33333333333333,"Include"
"6342",2496023,"wpi",-0.110847226794454,4.16666666666667,"Include"
"6343",2496026,"wpi",-0.0347388315359048,3.91666666666667,"Include"
"6344",2496226,"wpi",0.39604813026105,4.25,"Include"
