"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"228","1","CarletonUniversity",5,220.0000005,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"229","10","CarletonUniversity",4,140.0000026,"24","First-year","Female","Other","Pass"
"230","11","CarletonUniversity",7,240.000002,"21","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"231","12","CarletonUniversity",7,240.9999954,"32","First-year","Male",NA,"Pass"
"232","13","CarletonUniversity",5,120.000001,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"233","14","CarletonUniversity",2.5,239.9999932,"17","First-year","Female","Latino or Hispanic","Pass"
"235","16","CarletonUniversity",7,240.000002,"25","Sophomore","Female","White, non-Hispanic or latino","Pass"
"236","17","CarletonUniversity",5.5,98.00000342,"18","First-year","Female","Other","Pass"
"237","18","CarletonUniversity",4,233.9999969,"20","Sophomore","Male","African-American","Fail"
"238","19","CarletonUniversity",5.5,148.9999971,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"239","2","CarletonUniversity",4,240.000002,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"240","20","CarletonUniversity",7,72.99999883,"16","First-year","Female","African-American","Fail"
"241","21","CarletonUniversity",6,143.0000007,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"242","22","CarletonUniversity",7,196.999992,"18","First-year","Female","Other","Pass"
"243","23","CarletonUniversity",6.5,66.00000097,"18","Sophomore","Female","African-American","Pass"
"244","25","CarletonUniversity",5,118.000005,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"245","26","CarletonUniversity",4.5,81.00000008,"17","First-year","Female","Other","Fail"
"246","27","CarletonUniversity",4.5,91.99999825,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"248","29","CarletonUniversity",4,175.0000032,"24","First-year","Male","African-American","Pass"
"249","3","CarletonUniversity",6.5,240.000002,"26","Junior","Female","Multiracial",NA
"250","30","CarletonUniversity",5.5,68.99999916,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"251","31","CarletonUniversity",6.5,60.99998974,"19","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"252","32","CarletonUniversity",7,216.0000002,"19","Junior","Female","African-American","Pass"
"253","33","CarletonUniversity",3.5,240.000002,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"254","34","CarletonUniversity",3.5,81.00000008,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"255","35","CarletonUniversity",5,240.000002,"18","Sophomore","Female","African-American","Pass"
"256","36","CarletonUniversity",4.5,240.000002,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"257","37","CarletonUniversity",2.5,240.000002,"20","Sophomore","Female","Asian-American","Pass"
"258","38","CarletonUniversity",7,134.9999995,"22","First-year","Female","Multiracial","Fail"
"259","39","CarletonUniversity",5.5,202.9999965,"20","Junior","Female","African-American","Pass"
"261","40","CarletonUniversity",6,184.9999999,"21","Senior","Female","Multiracial","Pass"
"262","41","CarletonUniversity",4,175.0000032,"22","Sophomore","Female","African-American","Fail"
"263","42","CarletonUniversity",6.5,170.0000001,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"265","44","CarletonUniversity",2.5,86.0000025,"18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"266","45","CarletonUniversity",6,124.0000013,"27","Junior","Female","Other","Pass"
"267","46","CarletonUniversity",3.5,122.9999992,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"269","6","CarletonUniversity",6.5,85.99999433,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"270","7","CarletonUniversity",5,184.9999999,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"271","8","CarletonUniversity",5,205.0000014,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"272","9","CarletonUniversity",6,71.99999671,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"276",NA,"CarletonUniversity",5.5,240.9999954,"29","First-year","Female","African-American","Fail"
"277",NA,"CarletonUniversity",6,240.000002,"20","Sophomore","Female","African-American","Fail"
