"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"418","100","MiamiUniversity",3.5,116.0000007,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"419","101","MiamiUniversity",5,129.9999977,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"420","102","MiamiUniversity",6.5,74.9999949,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"421","103","MiamiUniversity",6.5,15.00000728,"22","Sophomore",NA,"Asian-American","Fail"
"422","104","MiamiUniversity",5,116.0000001,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"423","105","MiamiUniversity",6,30.00000701,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"424","11","MiamiUniversity",5.5,55.0000028,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"425","12","MiamiUniversity",6,144.9999968,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"426","13","MiamiUniversity",5,182.0000017,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"427","14","MiamiUniversity",6.5,207.9999996,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"428","15","MiamiUniversity",6.5,56.00000429,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"429","16","MiamiUniversity",6,114.9999986,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"430","17","MiamiUniversity",5.5,71.0000034,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"432","19","MiamiUniversity",6,114.9999986,"19",NA,"Female","White, non-Hispanic or latino","Fail"
"433","20","MiamiUniversity",7,134.0000062,"18","First-year","Female","African-American","Pass"
"434","21","MiamiUniversity",6,240.000002,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"436","23","MiamiUniversity",6,152.0000035,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"437","24","MiamiUniversity",6.5,160.999998,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"438","25","MiamiUniversity",6,122.9999992,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"439","26","MiamiUniversity",6,82.0000022,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"440","27","MiamiUniversity",6.5,35.00000064,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"441","28","MiamiUniversity",5.5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Fail"
