"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"1756","10","NovaSoutheasternUniversity",5,106.9999974,"almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"1757","100","NovaSoutheasternUniversity",7,97.0000013,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1758","101","NovaSoutheasternUniversity",6,86.00000313,"18","First-year","Female","Asian-American","Pass"
"1759","102","NovaSoutheasternUniversity",5,109.9999962,"18","First-year","Female","African-American","Fail"
"1760","103","NovaSoutheasternUniversity",4.5,101.9999956,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1761","104","NovaSoutheasternUniversity",6,93.00000099,"18","First-year","Female","Asian-American","Fail"
"1762","105","NovaSoutheasternUniversity",6.5,187.9999974,"18","First-year","Female","Other","Pass"
"1763","106","NovaSoutheasternUniversity",5.5,238.000006,"28","First-year","Male","Latino or Hispanic","Pass"
"1764","107","NovaSoutheasternUniversity",2.5,149.0000053,"33","First-year","Male","African-American","Fail"
"1765","108","NovaSoutheasternUniversity",6.5,109.0000022,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1766","109","NovaSoutheasternUniversity",5.5,144.0000029,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1769","111","NovaSoutheasternUniversity",6,53.00000673,"21","Senior","Female","Asian-American","Fail"
"1770","112","NovaSoutheasternUniversity",4.5,131.9999931,"18","First-year","Male","Asian-American","Pass"
"1771","113","NovaSoutheasternUniversity",2.5,240.000002,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"1772","114","NovaSoutheasternUniversity",3.5,51.99999518,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1773","115","NovaSoutheasternUniversity",6.5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1774","116","NovaSoutheasternUniversity",5.5,114.0000046,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1775","117","NovaSoutheasternUniversity",5.5,151.0000007,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1776","118","NovaSoutheasternUniversity",6,240.000002,"20","Junior","Female","Latino or Hispanic","Pass"
"1777","119","NovaSoutheasternUniversity",6,93.00000099,"18","First-year","Female","Latino or Hispanic","Fail"
"1778","12","NovaSoutheasternUniversity",7,147.9999944,"18","First-year","Female","Other","Fail"
"1779","120","NovaSoutheasternUniversity",5.5,76.99999914,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1780","121","NovaSoutheasternUniversity",6.5,240.9999954,"19","First-year","Female","Latino or Hispanic","Pass"
"1782","123","NovaSoutheasternUniversity",7,123.9999925,"18","First-year","Female","Latino or Hispanic","Pass"
"1783","124","NovaSoutheasternUniversity",5.5,240.9999954,"25","Senior","Female","African-American","Fail"
"1784","125","NovaSoutheasternUniversity",6.5,226.0000051,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1785","126","NovaSoutheasternUniversity",5,16.00000123,"18","First-year","Female","African-American","Pass"
"1786","127","NovaSoutheasternUniversity",6,162.9999935,"13","First-year","Female","Multiracial","Pass"
"1787","128","NovaSoutheasternUniversity",5.5,239.9999939,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1788","129","NovaSoutheasternUniversity",6,240.000002,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1789","13","NovaSoutheasternUniversity",4.5,240.000002,"18","First-year","Female","Asian-American","Fail"
"1790","130","NovaSoutheasternUniversity",6.5,239.9999932,"18","First-year","Male","African-American","Pass"
"1791","131","NovaSoutheasternUniversity",5.5,240.0000014,"19","Sophomore","Female","Multiracial","Pass"
"1792","132","NovaSoutheasternUniversity",6.5,74.00000158,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1795","135","NovaSoutheasternUniversity",7,87.00000462,"19","First-year","Female","Latino or Hispanic","Fail"
"1796","136","NovaSoutheasternUniversity",6,240.000002,"18","First-year","Female","Asian-American","Pass"
