"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"2482","","TexasAandM",4.5,159.9999953,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2483","","TexasAandM",5.5,122.9999992,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2484","","TexasAandM",4,44.00000337,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2485","","TexasAandM",3.5,63.00000278,"22","Senior","Male","White, non-Hispanic or latino","Pass"
"2486","10","TexasAandM",6,240.000002,"19","Sophomore","Female","Multiracial","Fail"
"2487","100","TexasAandM",5.5,78.00000189,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2488","101","TexasAandM",5.5,91.00000493,"18","First-year",NA,NA,"Fail"
"2489","102","TexasAandM",3.5,78.00000189,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2490","103","TexasAandM",6,163.9999956,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2491","104","TexasAandM",6,78.99999584,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2492","105","TexasAandM",7,21.00000365,"18","First-year","Female","Multiracial","Fail"
"2493","106","TexasAandM",6.5,240.000002,"19","Sophomore","Male","African-American","Pass"
"2494","107","TexasAandM",5,240.000002,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2495","108","TexasAandM",3.5,93.00000099,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2496","109","TexasAandM",5.5,176.9999993,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2497","11","TexasAandM",6.5,222.9999987,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"2498","110","TexasAandM",4.5,108.0000001,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2499","111","TexasAandM",5.5,113.0000025,"20","Sophomore","Female","African-American","Fail"
"2500","112","TexasAandM",5.5,141.999998,"18","First-year","Male","Asian-American","Pass"
"2501","113","TexasAandM",3.5,62.00000066,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2502","114","TexasAandM",7,63.99999673,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2503","115","TexasAandM",6,158.9999932,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2504","116","TexasAandM",2.5,188.9999995,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2505","117","TexasAandM",6,108.0000001,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"2506","118","TexasAandM",4.5,156.9999971,"20","Sophomore","Male","Latino or Hispanic","Pass"
"2507","119","TexasAandM",4.5,165.0000071,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2508","12","TexasAandM",7,240.0000014,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2509","120","TexasAandM",6.5,166.0000005,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2510","121","TexasAandM",5.5,189.0000002,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2513","124","TexasAandM",4.5,145.9999989,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2514","125","TexasAandM",5,93.00000099,"18","First-year","Male","Asian-American","Fail"
"2515","126","TexasAandM",4,45.99999881,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2516","127","TexasAandM",5.5,139.9999944,"18","First-year","Female","Latino or Hispanic","Fail"
"2518","13","TexasAandM",6,77.99999372,"20","Junior","Male","Asian-American","Pass"
"2519","130","TexasAandM",4,92.99999219,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2520","131","TexasAandM",4,220.0000005,"19","Sophomore","Male","Latino or Hispanic","Fail"
"2522","133","TexasAandM",7,167.9999965,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2523","134","TexasAandM",4.5,68.00000521,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2524","135","TexasAandM",6.5,82.0000022,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2525","136","TexasAandM",5,221.0000026,"20","Junior","Male","Asian-American","Pass"
"2527","139","TexasAandM",5.5,148.0000032,"19","First-year","Male","Latino or Hispanic","Fail"
"2528","14","TexasAandM",3.5,148.9999965,"18","First-year","Female","Latino or Hispanic","Pass"
"2529","140","TexasAandM",5,111.0000071,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2530","141","TexasAandM",5.5,74.00000158,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2531","142","TexasAandM",6,129.9999971,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2532","143","TexasAandM",6,53.00000673,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2533","144","TexasAandM",4.5,210.0000038,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2534","145","TexasAandM",2,137.0000044,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2535","146","TexasAandM",5.5,157.9999998,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2538","149","TexasAandM",3.5,118.000005,"18","First-year","Male","Asian-American","Fail"
"2539","15","TexasAandM",5,128.000001,"18","First-year","Female","Latino or Hispanic","Pass"
"2540","150","TexasAandM",4,171.0000029,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2541","151","TexasAandM",3,1.000002748,NA,NA,NA,NA,NA
"2542","152","TexasAandM",4.5,78.00000189,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2543","153","TexasAandM",5,138.0000071,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2544","154","TexasAandM",4,72.99999946,"20`","Junior","Male","White, non-Hispanic or latino","Fail"
"2545","155","TexasAandM",6,94.99999706,"18","First-year","Female","Latino or Hispanic","Fail"
"2546","156","TexasAandM",4.5,153.0000062,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2547","157","TexasAandM",5.5,79.00000401,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2548","158","TexasAandM",5.5,157.9999998,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2549","159","TexasAandM",5.5,91.00000493,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2550","16","TexasAandM",5.5,44.00000337,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2552","161","TexasAandM",4.5,167.9999959,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2553","162","TexasAandM",6.5,60.00000522,"20","Sophomore","Female","Asian-American","Fail"
"2554","163","TexasAandM",6.5,99.00000554,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2555","164","TexasAandM",4,48.00000431,"20","Junior","Female","Asian-American",NA
"2556","165","TexasAandM",4.5,85.00000038,"19","First-year","Female","Latino or Hispanic","Pass"
"2557","166","TexasAandM",6.5,109.0000022,"18","First-year","Female","Latino or Hispanic","Pass"
"2558","167","TexasAandM",6,160.0000041,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2559","168","TexasAandM",3,149.9999992,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2560","169","TexasAandM",4.5,116.999994,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"2561","17","TexasAandM",5.5,123.000008,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2562","170","TexasAandM",4,94.00000311,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"2563","171","TexasAandM",4,199.000005,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2564","172","TexasAandM",4,81.00000008,"18","First-year","Female","Other","Fail"
"2566","174","TexasAandM",5,79.99999796,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2567","175","TexasAandM",6.5,95.99999918,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2568","176","TexasAandM",4.5,93.00000037,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2569","177","TexasAandM",6,86.0000025,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2570","178","TexasAandM",4.5,138.0000071,"18","First-year","Male","Latino or Hispanic","Fail"
"2571","179","TexasAandM",6,151.9999953,"18","First-year","Female","Latino or Hispanic","Fail"
"2572","18","TexasAandM",6.5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2573","180","TexasAandM",3.5,45.00000612,"18","First-year","Female","Latino or Hispanic","Fail"
"2574","181","TexasAandM",4,174.0000004,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2575","182","TexasAandM",5,140.0000026,"18","First-year","Female","Latino or Hispanic","Fail"
"2576","183","TexasAandM",5.5,176.9999986,"18","First-year","Male","Asian-American","Fail"
"2577","184","TexasAandM",4.5,115.0000074,"18","First-year","Female","Asian-American","Pass"
"2578","185","TexasAandM",4,190.9999956,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2579","186","TexasAandM",7,126.9999995,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2580","19","TexasAandM",7,240.000002,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2581","20","TexasAandM",7,93.99999494,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2582","21","TexasAandM",4.5,122.9999992,"18","First-year","Male","African-American","Fail"
"2583","22","TexasAandM",3,52.99999793,"18","First-year","Female","Latino or Hispanic","Fail"
"2584","23","TexasAandM",5,103.999991,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2585","24","TexasAandM",6.5,168.999998,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2586","25","TexasAandM",5.5,240.000002,"18","First-year","Male","Latino or Hispanic","Pass"
"2587","26","TexasAandM",6,230.9999987,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2588","27","TexasAandM",1.5,128.999995,"20","Junior","Male","Latino or Hispanic","Pass"
"2589","28","TexasAandM",4,92.99999219,"19","Sophomore","Male","Native American and Alaska Native","Fail"
"2590","29","TexasAandM",6,103.9999998,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2591","30","TexasAandM",5,64.99999885,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2592","31","TexasAandM",5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2593","32","TexasAandM",5.5,90.99999613,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2594","33","TexasAandM",2.5,214.9999981,"18","First-year","Male","Latino or Hispanic","Fail"
"2595","34","TexasAandM",6,32.00000245,"18","First-year","Male","Latino or Hispanic","Fail"
"2596","35","TexasAandM",3.5,114.0000046,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2597","36","TexasAandM",4.5,86.0000025,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2598","37","TexasAandM",4,164.000005,"19","Sophomore","Female","African-American","Fail"
"2599","38","TexasAandM",3.5,108.0000001,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2600","39","TexasAandM",6.5,68.99999916,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2601","40","TexasAandM",7,12.00000092,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2602","41","TexasAandM",4,82.0000022,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2603","42","TexasAandM",6.5,143.0000007,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2604","43","TexasAandM",5.5,130.9999992,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2605","44","TexasAandM",5.5,81.00000888,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2606","45","TexasAandM",6.5,206.9999968,"18","First-year","Male","Latino or Hispanic","Pass"
"2607","46","TexasAandM",5,220.0000005,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2608","47","TexasAandM",7,93.00000099,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2609","48","TexasAandM",6.5,171.0000029,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2610","49","TexasAandM",3.5,147.0000004,"19","First-year","Female","Asian-American","Pass"
"2611","50","TexasAandM",4,171.9999962,"21","Senior","Female","Other","Pass"
"2612","51","TexasAandM",2.5,91.99999887,"18","First-year","Male","Asian-American",NA
"2613","52","TexasAandM",7,75.99999765,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2614","53","TexasAandM",4.5,181.9999929,"18","First-year","Female","Asian-American","Fail"
"2615","54","TexasAandM",6,101.0000016,"18","First-year","Female","Asian-American","Fail"
"2616","55","TexasAandM",5.5,190.0000111,"19","Sophomore","Male","Native American and Alaska Native","Pass"
"2617","56","TexasAandM",6,71.99999734,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2618","57","TexasAandM",6.5,68.00000584,"18","First-year","Female","Asian-American","Fail"
"2619","58","TexasAandM",5.5,240.000002,"19","Sophomore","Female","Asian-American","Pass"
"2620","59","TexasAandM",7,240.000002,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2621","60","TexasAandM",7,240.000002,"19","First-year","Female","Latino or Hispanic","Fail"
"2623","62","TexasAandM",5.5,224.9999948,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2624","63","TexasAandM",5.5,105.0000019,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2626","65","TexasAandM",5.5,176.0000053,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2627","66","TexasAandM",6,240.999996,"19","First-year","Female","Latino or Hispanic","Fail"
"2628","67","TexasAandM",5,241.0000042,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2629","68","TexasAandM",5.5,202.9999965,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2630","69","TexasAandM",6.5,97.99999462,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2631","7","TexasAandM",5.5,86.0000025,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2632","70","TexasAandM",7,122.9999992,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2633","71","TexasAandM",4,152.9999974,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2634","72","TexasAandM",5,233.9999969,"19","First-year","Female","Latino or Hispanic","Fail"
"2635","73","TexasAandM",7,158.9999932,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2636","74","TexasAandM",5.5,9.000002733,"18","First-year","Male","Latino or Hispanic","Fail"
"2637","75","TexasAandM",6,95.99999918,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2638","76","TexasAandM",6.5,60.0000046,"18","First-year","Female","Asian-American","Pass"
"2639","77","TexasAandM",5.5,137.9999983,"20","Sophomore","Female","Latino or Hispanic","Pass"
"2640","78","TexasAandM",3.5,20.99999548,"20","Sophomore","Female","Latino or Hispanic","Pass"
"2641","79","TexasAandM",6,227.9999923,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2642","8","TexasAandM",5.5,64.99999885,"18","First-year","Female","Latino or Hispanic","Pass"
"2643","80","TexasAandM",6,80.00000613,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2644","81","TexasAandM",6,129.0000038,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2645","82","TexasAandM",5.5,122.9999992,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2646","83","TexasAandM",7,56.99999824,"19","Sophomore","Male","Multiracial","Pass"
"2647","84","TexasAandM",6.5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2648","85","TexasAandM",3,186.9999953,"18","First-year","Female","Multiracial","Fail"
"2649","86","TexasAandM",5.5,95.99999918,"21","Senior","Female","Latino or Hispanic","Pass"
"2650","87","TexasAandM",7,66.99999429,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2651","88","TexasAandM",6,240.000002,"18","First-year","Male","Latino or Hispanic","Fail"
"2652","89","TexasAandM",7,129.0000038,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2653","9","TexasAandM",7,126.9999995,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2655","91","TexasAandM",6,241.0000042,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2657","93","TexasAandM",6,217.9999956,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2658","94","TexasAandM",7,116.0000007,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2659","95","TexasAandM",4.5,74.00000158,"18","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"2660","96","TexasAandM",7,240.000002,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2661","97","TexasAandM",6,240.000002,"18","First-year","Female","Latino or Hispanic","Pass"
"2662","98","TexasAandM",7,180.9999996,"18","First-year","Female","Latino or Hispanic","Pass"
"2663","99","TexasAandM",3,51.99999581,"21","Junior","Male","Asian-American","Fail"
"2664","no survey?","TexasAandM",6,33.99999852,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2665",NA,"TexasAandM",3.5,76.99999977,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2666",NA,"TexasAandM",5,168.0000047,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"2667",NA,"TexasAandM",6.5,197.0000008,"18","First-year","Female","African-American","Pass"
"2669",NA,"TexasAandM",6.5,239.9999939,"20","Junior","Male","White, non-Hispanic or latino","Fail"
"2670",NA,"TexasAandM",4.5,87.00000525,"18","First-year","Male","Latino or Hispanic","Pass"
"2671",NA,"TexasAandM",6,199.999999,"19","First-year","Female","Latino or Hispanic","Pass"
"2672",NA,"TexasAandM",4.5,176.9999986,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2674",NA,"TexasAandM",6,98.99999674,"18","First-year","Male","Multiracial","Pass"
