"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"2815","10","UCRiverside",6.5,82.0000022,"23","Junior","Female","Asian-American","Pass"
"2816","100","UCRiverside",4,157.0000059,"18","First-year","Male","Asian-American","Fail"
"2817","101","UCRiverside",6,241.0000042,"21","Senior","Male","Asian-American","Fail"
"2818","102","UCRiverside",4.5,145.000005,"19","Sophomore","Female","Asian-American","Pass"
"2819","103","UCRiverside",3,114.999998,"18","First-year","Female","Asian-American","Fail"
"2820","104","UCRiverside",5.5,105.0000019,"20","Junior","Female","Asian-American","Pass"
"2821","105","UCRiverside",7,37.9999982,"22","Senior","Female","Asian-American","Pass"
"2822","106","UCRiverside",4.5,91.00000556,"20","Junior","Female","Asian-American","Pass"
"2823","107","UCRiverside",6,240.000002,"18","First-year","Female","Other","Pass"
"2825","109","UCRiverside",6,48.99999762,"19","Sophomore","Female","Multiracial","Fail"
"2826","11","UCRiverside",6.5,240.000002,"21","Junior","Female","Multiracial","Pass"
"2829","112","UCRiverside",7,239.9999932,"18","First-year","Female","Asian-American","Pass"
"2830","113","UCRiverside",6,42.99999245,"21","Junior","Female","Asian-American","Fail"
"2831","114","UCRiverside",6,35.00000064,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2832","115","UCRiverside",5,68.99999916,"19","Sophomore","Male","Asian-American","Pass"
"2833","116","UCRiverside",7,91.99999887,"21","Senior","Female","African-American","Pass"
"2834","117","UCRiverside",6,240.000002,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2835","118","UCRiverside",5.5,52.00000398,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2836","119","UCRiverside",5.5,118.000005,"18","Sophomore","Male","Latino or Hispanic","Pass"
"2837","12","UCRiverside",3,240.0000014,"18","First-year","Female","Asian-American","Fail"
"2838","120","UCRiverside",6.5,82.99999614,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2839","121","UCRiverside",5.5,192.9999999,"18","First-year","Female","Latino or Hispanic","Pass"
"2840","122","UCRiverside",6,47.00000156,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2841","123","UCRiverside",6,163.0000023,"20","Junior","Female","Asian-American","Fail"
"2842","124","UCRiverside",5.5,174.9999944,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2843","125","UCRiverside",6,122.9999986,"18","First-year","Male","Latino or Hispanic","Pass"
"2844","126","UCRiverside",3.5,148.9999971,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2845","127","UCRiverside",6,206.9999968,"18","First-year","Female","Asian-American","Pass"
"2846","128","UCRiverside",7,10.00000548,NA,"Junior","Female","White, non-Hispanic or latino","Pass"
"2847","129","UCRiverside",5,232.0000014,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2848","13","UCRiverside",4.5,116.0000001,"18","First-year","Female","Latino or Hispanic","Pass"
"2849","130","UCRiverside",6.5,220.0000005,"20","Junior","Male","Asian-American","Pass"
"2851","132","UCRiverside",4.5,240.9999954,"18","First-year","Female","Latino or Hispanic","Pass"
"2852","133","UCRiverside",7,234.9999996,"17","First-year","Female","African-American","Pass"
