"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"3320","10","UniversityOfToronto",6.5,240.9999954,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3321","11","UniversityOfToronto",7,240.000002,"21","Sophomore","Male","Asian-American","Pass"
"3322","12","UniversityOfToronto",2.5,240.000002,"17","First-year","Female","Asian-American","Pass"
"3323","13","UniversityOfToronto",3,122.9999992,"18","Sophomore","Female","Asian-American","Fail"
"3324","14","UniversityOfToronto",4.5,241.0000042,"21","Other","Female","Asian-American","Pass"
"3325","15","UniversityOfToronto",6.5,217.0000023,"18","First-year","Male","Asian-American","Pass"
"3326","16","UniversityOfToronto",5,115.0000074,"21","Junior","Male","Asian-American","Fail"
"3327","17","UniversityOfToronto",6.5,240.000002,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3328","18","UniversityOfToronto",5.5,72.99999946,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3329","19","UniversityOfToronto",6,241.0000042,"18","First-year","Female","Asian-American","Fail"
"3331","21","UniversityOfToronto",3.5,74.00000158,"almost 18","First-year","Female","Asian-American","Fail"
"3332","22","UniversityOfToronto",3.5,77.99999309,"22 years","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"3333","23","UniversityOfToronto",5.5,240.0000014,"17","First-year","Female","Asian-American","Pass"
"3335","25","UniversityOfToronto",5,90.99999676,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3336","26","UniversityOfToronto",6.5,125.0000034,"20","Sophomore","Female",NA,"Pass"
"3337","27","UniversityOfToronto",6.5,162.0000002,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"3338","28","UniversityOfToronto",1.5,171.0000029,"19","First-year","Male","Asian-American","Fail"
"3339","2886","UniversityOfToronto",4.5,72.99999946,"18","First-year","Male","Asian-American","Pass"
"3340","29","UniversityOfToronto",3,175.9999971,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3341","30","UniversityOfToronto",6,67.99999641,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3342","31","UniversityOfToronto",7,82.99999614,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3343","32","UniversityOfToronto",4,80.00000613,"20","First-year","Male","Asian-American","Fail"
"3344","33","UniversityOfToronto",6,153.0000056,"19","Sophomore","Female","Other","Fail"
"3345","34","UniversityOfToronto",7,163.9999962,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3346","35","UniversityOfToronto",6.5,121.0000031,"17 (18 in one month)","First-year","Female","Other","Pass"
"3347","36","UniversityOfToronto",4,226.0000051,"18","First-year","Female","Other","Pass"
"3348","37","UniversityOfToronto",3.5,240.0000014,"19","Sophomore","Female","Multiracial","Pass"
"3350","39","UniversityOfToronto",5,213.999996,"19","First-year","Female","Asian-American","Fail"
"3352","41","UniversityOfToronto",3,139.0000004,"21","Junior","Female","Asian-American","Fail"
"3353","42","UniversityOfToronto",4.5,240.000002,"18","First-year","Female","Asian-American","Pass"
"3357","46","UniversityOfToronto",2.5,174.0000011,"19","Sophomore",NA,"Asian-American","Pass"
"3358","47","UniversityOfToronto",6,194.0000026,"19","Sophomore","Female","Other","Pass"
"3360","49","UniversityOfToronto",4,36.9999967,"18","First-year","Male","Asian-American","Fail"
"3361","50","UniversityOfToronto",3.5,240.0000014,"20","Sophomore","Female","Asian-American","Pass"
"3362","51","UniversityOfToronto",4,239.9999932,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3363","52","UniversityOfToronto",5,240.0000014,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3365","54","UniversityOfToronto",4,191.0000044,"19","Sophomore","Male","Asian-American","Fail"
"3368","57","UniversityOfToronto",5,120.000001,"18","First-year","Female","Asian-American","Pass"
"3369","58","UniversityOfToronto",4,86.99999582,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3370","59","UniversityOfToronto",4,108.0000001,"20","First-year","Female","Asian-American","Pass"
"3371","60","UniversityOfToronto",6.5,70.00000128,"18","First-year","Male","Asian-American","Pass"
"3372","61","UniversityOfToronto",6,87.00000525,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3373","62","UniversityOfToronto",6,90.00000281,"45","Sophomore","Female","Asian-American","Fail"
"3374","63","UniversityOfToronto",5.5,240.000002,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"3375","64","UniversityOfToronto",4.5,198.0000029,"18","First-year","Female","Asian-American","Pass"
"3376","65","UniversityOfToronto",5.5,155.0000017,"21","Sophomore","Male","Other","Fail"
"3377","66","UniversityOfToronto",5,71.99999734,"20","Sophomore","Female","Multiracial","Pass"
"3379","68","UniversityOfToronto",5,63.00000278,"19","First-year","Female","Asian-American","Fail"
"3380","69","UniversityOfToronto",6.5,41.99999913,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3381","7","UniversityOfToronto",3,102.0000037,"18","First-year","Female","Other","Pass"
"3383","71","UniversityOfToronto",5.5,241.9999981,"18","First-year","Female","Asian-American","Pass"
"3384","72","UniversityOfToronto",6,66.99999492,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"3385","73","UniversityOfToronto",2.5,170.9999941,"26","Sophomore","Male","Other","Pass"
"3388","76","UniversityOfToronto",4.5,165.0000071,"23","Other","Female","African-American","Pass"
"3390","78","UniversityOfToronto",5.5,240.000002,"20","Sophomore","Male","Latino or Hispanic","Pass"
"3391","79","UniversityOfToronto",4,240.000002,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3392","8","UniversityOfToronto",6.5,239.9999932,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3393","80","UniversityOfToronto",4.5,240.000002,"19","Sophomore","Male","Native Hawaiian and other Pacific Islander","Pass"
