"","session_id","referrer","anch2group","anchoring2"
"2907",2374915,"pi","highanchor",3800000
"2910",2375038,"pi","lowanchor",220000
"2912",2375054,"pi","lowanchor",1650000
"2914",2375084,"pi","lowanchor",1e+06
"2915",2375142,"pi","lowanchor",750000
"2916",2375144,"pi","highanchor",1e+06
"2917",2375157,"pi","lowanchor",2e+06
"2918",2375168,"pi","highanchor",1e+06
"2919",2375176,"pi","highanchor",3e+06
"2920",2375182,"pi","lowanchor",3e+06
"2921",2375215,"pi","highanchor",3500000
"2922",2375225,"pi","lowanchor",2e+06
"2925",2375322,"pi","highanchor",1e+06
"2926",2375383,"pi","lowanchor",2e+06
"2928",2375461,"pi","highanchor",3e+06
"2929",2375465,"pi","highanchor",890000
"2930",2375473,"pi","highanchor",2e+06
"2931",2375480,"pi","lowanchor",1e+06
"2932",2375482,"pi","highanchor",2e+06
"2933",2375499,"pi","highanchor",2e+06
"2934",2375682,"pi","lowanchor",1e+06
"2935",2375747,"pi","lowanchor",1500000
"2937",2375759,"pi","lowanchor",2e+06
"2938",2375787,"pi","highanchor",3200000
"2939",2375799,"pi","highanchor",5e+05
"2940",2375811,"pi","lowanchor",3200000
"2941",2375832,"pi","lowanchor",250000
"2942",2375851,"pi","lowanchor",3e+05
"2943",2375858,"pi","highanchor",3500000
"2944",2375902,"pi","highanchor",3e+06
"2945",2375912,"pi","highanchor",4e+06
"2947",2375936,"pi","highanchor",2e+06
"2948",2375942,"pi","lowanchor",2e+06
"2950",2375984,"pi","lowanchor",1e+06
"2951",2376014,"pi","highanchor",4e+06
"2952",2376133,"pi","lowanchor",3e+05
"2953",2376147,"pi","highanchor",4e+06
"2954",2376170,"pi","lowanchor",8e+05
"2956",2376237,"pi","highanchor",4578000
"2957",2376261,"pi","highanchor",499900
"2958",2376264,"pi","highanchor",4500000
"2959",2376348,"pi","highanchor",3e+06
"2961",2376367,"pi","lowanchor",2e+06
"2962",2376368,"pi","highanchor",4e+06
"2963",2376377,"pi","highanchor",3500000
"2964",2376383,"pi","highanchor",3e+06
"2965",2376385,"pi","highanchor",4500000
"2966",2376436,"pi","lowanchor",250350
"2967",2376471,"pi","highanchor",2500000
"2968",2376485,"pi","highanchor",2e+06
"2969",2376497,"pi","highanchor",1200000
"2970",2376498,"pi","highanchor",3e+06
"2971",2376509,"pi","lowanchor",3e+05
"2972",2376533,"pi","highanchor",2e+06
"2973",2376548,"pi","lowanchor",3e+06
"2974",2376570,"pi","highanchor",4e+06
"2975",2376586,"pi","highanchor",3500000
"2976",2376661,"pi","lowanchor",3e+06
"2977",2376686,"pi","highanchor",3e+06
"2978",2376712,"pi","lowanchor",2e+06
"2979",2376752,"pi","lowanchor",1e+06
"2980",2376766,"pi","lowanchor",1500000
"2981",2376818,"pi","lowanchor",750000
"2982",2376819,"pi","lowanchor",8e+05
"2983",2376821,"pi","highanchor",2e+06
"2984",2376845,"pi","highanchor",3e+06
"2985",2376861,"pi","lowanchor",3e+06
"2986",2376874,"pi","highanchor",3500000
"2987",2376893,"pi","highanchor",2500000
"2988",2376918,"pi","highanchor",4e+06
"2989",2376933,"pi","highanchor",3e+06
"2990",2376948,"pi","highanchor",3999999
"2991",2376962,"pi","lowanchor",1500000
"2992",2376971,"pi","lowanchor",275000
"2994",2376988,"pi","highanchor",3200000
"2995",2377002,"pi","lowanchor",4e+06
"2996",2377008,"pi","lowanchor",1200000
"2997",2377060,"pi","highanchor",4289098
"2998",2377064,"pi","lowanchor",2e+06
"2999",2377090,"pi","lowanchor",2150000
"3000",2377110,"pi","lowanchor",2e+06
"3001",2377134,"pi","lowanchor",8e+05
"3002",2377163,"pi","lowanchor",3500000
"3003",2377180,"pi","highanchor",2500000
"3004",2377193,"pi","highanchor",3e+06
"3005",2377213,"pi","lowanchor",2e+06
"3006",2377216,"pi","highanchor",3e+06
"3007",2377227,"pi","lowanchor",2e+06
"3008",2377235,"pi","highanchor",2700000
"3009",2377260,"pi","lowanchor",2e+06
"3010",2377266,"pi","highanchor",3500000
"3012",2377354,"pi","lowanchor",250000
"3013",2377407,"pi","lowanchor",4e+05
"3014",2377553,"pi","lowanchor",2750000
"3015",2377754,"pi","highanchor",3e+06
"3017",2377957,"pi","highanchor",3e+06
"3018",2377970,"pi","highanchor",3500000
"3019",2377989,"pi","highanchor",4500000
"3021",2378031,"pi","lowanchor",6e+05
"3022",2378061,"pi","highanchor",2350000
"3023",2378071,"pi","highanchor",4850000
"3024",2378073,"pi","highanchor",4900000
"3025",2378091,"pi","highanchor",2e+06
"3026",2378098,"pi","lowanchor",1e+06
"3027",2378104,"pi","lowanchor",3e+06
"3028",2378107,"pi","lowanchor",3500000
"3029",2378118,"pi","highanchor",3e+06
"3031",2378165,"pi","highanchor",8e+05
"3035",2378213,"pi","highanchor",4500000
"3037",2378277,"pi","highanchor",4e+06
"3038",2378291,"pi","lowanchor",250000
"3042",2378511,"pi","lowanchor",8e+05
"3043",2378525,"pi","highanchor",4e+06
"3044",2378601,"pi","lowanchor",4e+05
"3045",2378622,"pi","highanchor",2500000
"3046",2378660,"pi","lowanchor",2e+06
"3047",2378696,"pi","lowanchor",4e+06
"3049",2378727,"pi","highanchor",4500000
"3050",2378743,"pi","lowanchor",2e+06
"3051",2378781,"pi","highanchor",4900000
"3052",2378786,"pi","lowanchor",3e+06
"3053",2378805,"pi","highanchor",3e+05
"3054",2378811,"pi","lowanchor",200001
"3055",2378814,"pi","lowanchor",4e+06
"3056",2378846,"pi","highanchor",4500000
"3061",2378957,"pi","highanchor",4900000
"3062",2378972,"pi","highanchor",3e+06
"3063",2378991,"pi","lowanchor",3e+06
"3064",2378998,"pi","highanchor",4e+06
"3066",2379029,"pi","lowanchor",5e+05
"3067",2379037,"pi","highanchor",3500000
