"","session_id","referrer","anch2group","anchoring2"
"4236",2484525,"psu","highanchor",3e+06
"4237",2484526,"psu","highanchor",2e+06
"4239",2484537,"psu","lowanchor",2e+06
"4240",2484538,"psu","highanchor",3800000
"4241",2484548,"psu","lowanchor",2e+06
"4242",2484626,"psu","highanchor",3e+06
"4243",2484631,"psu","highanchor",3200000
"4244",2484633,"psu","highanchor",2e+06
"4245",2484635,"psu","highanchor",3500000
"4246",2484650,"psu","highanchor",7e+05
"4248",2484726,"psu","lowanchor",200500
"4251",2484761,"psu","highanchor",2700500
"4252",2484762,"psu","highanchor",1e+06
"4253",2484765,"psu","highanchor",4500690
"4254",2484829,"psu","highanchor",9e+05
"4255",2484831,"psu","highanchor",1750000
"4256",2484832,"psu","lowanchor",5e+05
"4257",2484833,"psu","highanchor",250000
"4259",2484850,"psu","lowanchor",3e+05
"4260",2484921,"psu","lowanchor",6e+05
"4261",2484923,"psu","lowanchor",3e+06
"4262",2484927,"psu","lowanchor",200500
"4263",2484936,"psu","lowanchor",6e+05
"4264",2484944,"psu","highanchor",3678326
"4265",2490490,"psu","lowanchor",4e+05
"4266",2490493,"psu","lowanchor",530000
"4267",2490496,"psu","lowanchor",2e+06
"4268",2490499,"psu","highanchor",3e+06
"4269",2490501,"psu","highanchor",3569846
"4270",2490558,"psu","lowanchor",200500
"4271",2490564,"psu","lowanchor",350000
"4272",2490571,"psu","highanchor",4300000
"4273",2490574,"psu","lowanchor",5e+05
"4274",2490582,"psu","lowanchor",4e+05
"4275",2490586,"psu","lowanchor",275000
"4276",2490596,"psu","lowanchor",230000
"4277",2490616,"psu","highanchor",2e+06
"4279",2490624,"psu","lowanchor",220657
"4281",2490651,"psu","highanchor",4e+06
"4282",2490658,"psu","lowanchor",5e+05
"4283",2490661,"psu","highanchor",2e+06
"4284",2490664,"psu","highanchor",4e+06
"4285",2490682,"psu","lowanchor",350000
"4286",2490703,"psu","lowanchor",3e+05
"4287",2490714,"psu","highanchor",3500000
"4288",2490730,"psu","highanchor",4500000
"4289",2490736,"psu","highanchor",4e+06
"4290",2490738,"psu","lowanchor",350000
"4291",2490741,"psu","highanchor",2e+06
"4292",2490743,"psu","highanchor",4800000
"4293",2490756,"psu","lowanchor",6e+05
"4294",2490791,"psu","lowanchor",4e+05
"4295",2490804,"psu","lowanchor",350000
"4296",2492277,"psu","highanchor",1e+06
"4297",2492280,"psu","lowanchor",200005
"4298",2492283,"psu","lowanchor",1e+06
"4299",2492337,"psu","lowanchor",550000
"4300",2492339,"psu","highanchor",2500000
"4302",2492360,"psu","lowanchor",650000
"4303",2492363,"psu","highanchor",4e+06
"4304",2492365,"psu","lowanchor",1e+06
"4305",2492377,"psu","highanchor",2e+06
"4306",2492422,"psu","lowanchor",600500
"4307",2492424,"psu","highanchor",1e+06
"4308",2492428,"psu","highanchor",3e+06
"4309",2492477,"psu","highanchor",1e+06
"4310",2492480,"psu","lowanchor",5e+05
"4312",2492499,"psu","lowanchor",250000
"4313",2493991,"psu","highanchor",2e+06
"4314",2493995,"psu","highanchor",3500000
"4315",2493998,"psu","lowanchor",1500000
"4316",2493999,"psu","highanchor",4865231
"4317",2494001,"psu","lowanchor",444000
"4319",2494055,"psu","lowanchor",6e+05
"4320",2494062,"psu","lowanchor",1e+06
"4321",2494064,"psu","highanchor",4783942
"4322",2494069,"psu","highanchor",4800000
"4323",2494070,"psu","lowanchor",250000
"4324",2494092,"psu","lowanchor",750000
"4325",2494117,"psu","lowanchor",450000
"4326",2494131,"psu","highanchor",3e+06
"4327",2494134,"psu","lowanchor",5e+05
"4328",2494135,"psu","lowanchor",256640
"4329",2494139,"psu","lowanchor",1e+06
"4330",2494171,"psu","lowanchor",250000
