"","session_id","referrer","anch2group","anchoring2"
"4520",2436706,"sdsu","highanchor",4800000
"4521",2436967,"sdsu","highanchor",3500000
"4522",2440429,"sdsu","highanchor",496500
"4523",2440430,"sdsu","highanchor",4000900
"4524",2440431,"sdsu","lowanchor",217527
"4525",2440596,"sdsu","highanchor",3e+06
"4526",2440598,"sdsu","highanchor",3e+06
"4527",2440621,"sdsu","lowanchor",1e+06
"4528",2440623,"sdsu","highanchor",3e+05
"4529",2440733,"sdsu","highanchor",4900000
"4530",2440734,"sdsu","lowanchor",5e+05
"4531",2440737,"sdsu","highanchor",4500000
"4532",2440740,"sdsu","lowanchor",3e+05
"4533",2440881,"sdsu","lowanchor",1e+06
"4534",2440883,"sdsu","lowanchor",5e+05
"4535",2440885,"sdsu","lowanchor",3e+05
"4536",2443108,"sdsu","lowanchor",375000
"4537",2443109,"sdsu","lowanchor",8e+05
"4538",2443110,"sdsu","lowanchor",1200000
"4539",2443367,"sdsu","highanchor",3e+05
"4540",2443371,"sdsu","highanchor",4900000
"4541",2443373,"sdsu","lowanchor",350000
"4542",2443376,"sdsu","lowanchor",1e+06
"4543",2443761,"sdsu","highanchor",3500000
"4544",2443763,"sdsu","lowanchor",5e+05
"4546",2443767,"sdsu","highanchor",3e+06
"4547",2443879,"sdsu","lowanchor",350000
"4548",2443882,"sdsu","lowanchor",5e+05
"4549",2443886,"sdsu","lowanchor",2e+06
"4550",2443887,"sdsu","lowanchor",6e+05
"4552",2445908,"sdsu","lowanchor",3e+05
"4553",2445912,"sdsu","highanchor",3500000
"4554",2445951,"sdsu","lowanchor",5e+05
"4555",2446069,"sdsu","highanchor",5e+05
"4556",2446072,"sdsu","highanchor",1e+06
"4557",2446074,"sdsu","highanchor",3500000
"4558",2446076,"sdsu","lowanchor",5e+05
"4559",2447580,"sdsu","highanchor",4e+06
"4560",2447581,"sdsu","highanchor",2e+06
"4561",2447582,"sdsu","lowanchor",5e+05
"4562",2447591,"sdsu","highanchor",3500000
"4563",2447692,"sdsu","highanchor",4e+06
"4564",2447693,"sdsu","lowanchor",4e+05
"4565",2447744,"sdsu","highanchor",4500000
"4566",2447904,"sdsu","highanchor",3700000
"4567",2447907,"sdsu","highanchor",2e+06
"4568",2448199,"sdsu","lowanchor",1e+06
"4569",2448201,"sdsu","lowanchor",457000
"4570",2448202,"sdsu","highanchor",4999000
"4571",2448203,"sdsu","lowanchor",340000
"4572",2448352,"sdsu","highanchor",2e+06
"4573",2448354,"sdsu","lowanchor",1e+06
"4574",2448355,"sdsu","highanchor",1500000
"4575",2448359,"sdsu","lowanchor",457000
"4576",2448429,"sdsu","highanchor",3700000
"4577",2448430,"sdsu","lowanchor",750000
"4578",2448433,"sdsu","lowanchor",4e+05
"4579",2452411,"sdsu","lowanchor",256873
"4580",2452413,"sdsu","highanchor",3500000
"4581",2452422,"sdsu","lowanchor",450000
"4582",2452479,"sdsu","lowanchor",4e+05
"4583",2452480,"sdsu","highanchor",3500000
"4584",2452481,"sdsu","highanchor",4e+06
"4585",2452747,"sdsu","highanchor",2750000
"4586",2452749,"sdsu","lowanchor",2e+06
"4587",2452750,"sdsu","highanchor",4732451
"4588",2452842,"sdsu","highanchor",2500000
"4589",2452844,"sdsu","highanchor",1500000
"4590",2452845,"sdsu","lowanchor",250000
"4591",2452849,"sdsu","highanchor",3e+06
"4592",2452928,"sdsu","highanchor",4500000
"4593",2452930,"sdsu","highanchor",7e+05
"4594",2452931,"sdsu","highanchor",3e+06
"4595",2452932,"sdsu","lowanchor",8e+05
"4596",2454751,"sdsu","highanchor",4500000
"4598",2454753,"sdsu","lowanchor",250000
"4599",2455017,"sdsu","lowanchor",350000
"4600",2455019,"sdsu","highanchor",3e+06
"4603",2455110,"sdsu","highanchor",3e+06
"4604",2455111,"sdsu","highanchor",3e+06
"4605",2456774,"sdsu","highanchor",2e+06
"4606",2456780,"sdsu","highanchor",3e+06
"4607",2456782,"sdsu","lowanchor",6e+05
"4608",2456795,"sdsu","lowanchor",1e+06
"4609",2456913,"sdsu","highanchor",3800250
"4610",2456914,"sdsu","highanchor",2e+06
"4611",2456915,"sdsu","highanchor",3e+06
"4612",2456917,"sdsu","highanchor",3700000
"4613",2457079,"sdsu","lowanchor",3e+05
"4614",2457081,"sdsu","lowanchor",3e+05
"4616",2457192,"sdsu","highanchor",5e+05
"4617",2457193,"sdsu","lowanchor",3e+06
"4618",2457195,"sdsu","highanchor",3500000
"4619",2457197,"sdsu","highanchor",4e+06
"4620",2457342,"sdsu","lowanchor",2e+06
"4621",2457345,"sdsu","lowanchor",5e+05
"4622",2457348,"sdsu","highanchor",3500000
"4623",2457350,"sdsu","lowanchor",3e+05
"4624",2458806,"sdsu","lowanchor",250000
"4625",2458808,"sdsu","lowanchor",250000
"4626",2458811,"sdsu","lowanchor",1200000
"4627",2458812,"sdsu","lowanchor",1150000
"4628",2458913,"sdsu","lowanchor",350000
"4629",2458914,"sdsu","lowanchor",350000
"4632",2461397,"sdsu","lowanchor",350000
"4633",2461398,"sdsu","lowanchor",350000
"4634",2461402,"sdsu","highanchor",2e+06
"4635",2461621,"sdsu","highanchor",3500000
"4636",2461625,"sdsu","highanchor",4e+06
"4637",2461629,"sdsu","lowanchor",2e+06
"4638",2461892,"sdsu","highanchor",4500000
"4639",2461893,"sdsu","lowanchor",5e+05
"4640",2461894,"sdsu","lowanchor",5e+05
"4641",2461895,"sdsu","highanchor",1e+06
"4642",2462430,"sdsu","highanchor",3e+05
"4643",2462431,"sdsu","lowanchor",450000
"4644",2462432,"sdsu","highanchor",2500000
"4645",2462434,"sdsu","lowanchor",230000
"4647",2462503,"sdsu","highanchor",9e+05
"4648",2462505,"sdsu","lowanchor",3e+05
"4649",2462572,"sdsu","highanchor",496500
"4650",2462573,"sdsu","highanchor",3700000
"4651",2462574,"sdsu","lowanchor",3e+05
"4652",2462575,"sdsu","highanchor",3700000
"4653",2466137,"sdsu","lowanchor",5e+05
"4654",2466138,"sdsu","lowanchor",4e+06
"4655",2466142,"sdsu","lowanchor",2e+06
"4656",2466152,"sdsu","highanchor",2e+06
"4657",2466236,"sdsu","highanchor",3e+06
"4659",2466241,"sdsu","lowanchor",1200000
"4660",2466441,"sdsu","highanchor",4895764
"4662",2466443,"sdsu","highanchor",1800000
"4663",2466547,"sdsu","lowanchor",250000
"4664",2466548,"sdsu","lowanchor",2e+06
"4665",2466549,"sdsu","highanchor",3500000
"4666",2466635,"sdsu","lowanchor",4e+05
"4667",2466638,"sdsu","highanchor",3500000
"4668",2468204,"sdsu","lowanchor",5e+05
"4669",2468205,"sdsu","lowanchor",2e+06
"4670",2468206,"sdsu","lowanchor",275000
"4671",2468345,"sdsu","highanchor",2e+06
"4672",2468347,"sdsu","highanchor",3800000
"4673",2468348,"sdsu","lowanchor",7e+05
"4674",2468350,"sdsu","lowanchor",1e+06
"4675",2468450,"sdsu","lowanchor",250000
"4676",2468451,"sdsu","lowanchor",5e+05
"4677",2468454,"sdsu","highanchor",3e+06
"4679",2468536,"sdsu","highanchor",1e+06
"4680",2468538,"sdsu","highanchor",4895764
"4681",2468539,"sdsu","lowanchor",1e+06
