"","session_id","referrer","anch2group","anchoring2"
"5204",2479820,"tamuon","lowanchor",6e+05
"5205",2479821,"tamuon","lowanchor",3e+05
"5206",2479829,"tamuon","lowanchor",2e+06
"5207",2479834,"tamuon","highanchor",2e+06
"5208",2479835,"tamuon","highanchor",3e+06
"5209",2479842,"tamuon","highanchor",4500000
"5211",2479847,"tamuon","highanchor",2100000
"5212",2479864,"tamuon","highanchor",2e+06
"5213",2479877,"tamuon","lowanchor",330000
"5214",2479886,"tamuon","highanchor",4e+06
"5215",2479892,"tamuon","highanchor",1e+06
"5216",2479894,"tamuon","highanchor",3600000
"5217",2479895,"tamuon","lowanchor",278000
"5218",2480000,"tamuon","highanchor",4e+06
"5220",2480144,"tamuon","lowanchor",5e+05
"5221",2480159,"tamuon","highanchor",2500000
"5222",2480162,"tamuon","highanchor",2500000
"5223",2480177,"tamuon","lowanchor",750000
"5225",2480201,"tamuon","lowanchor",983274
"5226",2480215,"tamuon","lowanchor",450000
"5227",2480220,"tamuon","lowanchor",3e+05
"5229",2480236,"tamuon","highanchor",1e+06
"5230",2480242,"tamuon","highanchor",3066539
"5231",2480266,"tamuon","highanchor",3500000
"5232",2480280,"tamuon","lowanchor",4e+06
"5233",2480283,"tamuon","lowanchor",250000
"5234",2480332,"tamuon","highanchor",3e+06
"5235",2480343,"tamuon","highanchor",4768351
"5236",2480353,"tamuon","lowanchor",3e+05
"5237",2480356,"tamuon","highanchor",3500000
"5238",2480366,"tamuon","lowanchor",5e+05
"5239",2480372,"tamuon","lowanchor",3e+06
"5240",2480383,"tamuon","highanchor",3600000
"5241",2480385,"tamuon","lowanchor",3e+05
"5242",2480422,"tamuon","lowanchor",1e+06
"5243",2480440,"tamuon","lowanchor",3e+05
"5244",2480462,"tamuon","lowanchor",3e+06
"5245",2480467,"tamuon","lowanchor",260000
"5246",2480474,"tamuon","lowanchor",3e+05
"5247",2480477,"tamuon","lowanchor",3e+05
"5248",2480481,"tamuon","highanchor",2e+06
"5249",2480490,"tamuon","lowanchor",3e+05
"5250",2480516,"tamuon","highanchor",450000
"5252",2480541,"tamuon","lowanchor",8e+05
"5253",2480558,"tamuon","lowanchor",3e+05
"5254",2480566,"tamuon","lowanchor",4e+06
"5255",2480567,"tamuon","highanchor",4300500
"5256",2480574,"tamuon","highanchor",2e+06
"5257",2480585,"tamuon","highanchor",3500000
"5258",2480627,"tamuon","highanchor",3500000
"5259",2480628,"tamuon","lowanchor",1e+06
"5260",2480632,"tamuon","lowanchor",2715000
"5261",2480650,"tamuon","highanchor",4500000
"5262",2480672,"tamuon","highanchor",4999999
"5263",2480675,"tamuon","highanchor",4e+06
"5264",2480687,"tamuon","highanchor",3e+06
"5266",2480693,"tamuon","lowanchor",1500000
"5267",2480707,"tamuon","lowanchor",250000
"5269",2480725,"tamuon","lowanchor",2e+06
"5271",2480728,"tamuon","highanchor",2e+06
"5272",2480731,"tamuon","highanchor",6e+05
"5273",2480733,"tamuon","highanchor",4800000
"5274",2480735,"tamuon","highanchor",1800000
"5275",2480811,"tamuon","highanchor",3500000
"5276",2480827,"tamuon","lowanchor",3e+06
"5277",2480834,"tamuon","lowanchor",3e+05
"5278",2480836,"tamuon","lowanchor",750000
"5279",2480838,"tamuon","lowanchor",3e+06
"5280",2480841,"tamuon","lowanchor",4e+06
"5281",2480848,"tamuon","lowanchor",2e+06
"5282",2480849,"tamuon","highanchor",2e+06
"5283",2480851,"tamuon","lowanchor",9e+05
"5285",2480864,"tamuon","highanchor",1250000
"5286",2480865,"tamuon","lowanchor",8e+05
"5288",2480868,"tamuon","highanchor",3e+06
"5289",2480869,"tamuon","highanchor",4e+06
"5290",2480877,"tamuon","lowanchor",4e+06
"5291",2480882,"tamuon","highanchor",3e+06
"5292",2480889,"tamuon","highanchor",8e+05
"5293",2480892,"tamuon","highanchor",3098888
"5295",2480909,"tamuon","highanchor",3500000
"5296",2480941,"tamuon","highanchor",3500000
"5297",2480952,"tamuon","lowanchor",210000
"5298",2480957,"tamuon","highanchor",333000
"5300",2480979,"tamuon","highanchor",3500000
"5301",2480981,"tamuon","lowanchor",3e+05
"5302",2480994,"tamuon","highanchor",3e+06
"5303",2481527,"tamuon","lowanchor",250000
"5304",2481543,"tamuon","lowanchor",1e+06
"5305",2481597,"tamuon","highanchor",2e+06
"5307",2481643,"tamuon","lowanchor",1e+06
"5308",2481651,"tamuon","highanchor",2e+06
"5309",2481702,"tamuon","highanchor",4326850
"5310",2481714,"tamuon","highanchor",2500000
"5311",2481741,"tamuon","highanchor",4500000
"5312",2481750,"tamuon","lowanchor",2e+06
"5313",2481751,"tamuon","lowanchor",330000
"5314",2481788,"tamuon","lowanchor",3e+05
"5315",2481851,"tamuon","lowanchor",250000
"5317",2481885,"tamuon","lowanchor",2e+06
"5318",2481901,"tamuon","highanchor",3e+06
"5319",2481902,"tamuon","highanchor",3e+06
"5320",2481903,"tamuon","lowanchor",200100
"5321",2481911,"tamuon","lowanchor",4e+05
"5322",2481912,"tamuon","lowanchor",5e+05
"5323",2481951,"tamuon","highanchor",4500000
"5324",2481964,"tamuon","highanchor",1e+06
"5325",2481965,"tamuon","highanchor",2e+06
"5326",2482000,"tamuon","highanchor",2e+06
"5328",2482061,"tamuon","lowanchor",2e+06
"5330",2482088,"tamuon","lowanchor",3e+06
"5332",2482098,"tamuon","highanchor",3e+06
"5333",2482108,"tamuon","highanchor",5e+05
"5334",2482114,"tamuon","highanchor",3e+06
"5335",2482143,"tamuon","lowanchor",7e+05
"5336",2482158,"tamuon","highanchor",4e+06
"5337",2482170,"tamuon","highanchor",4e+06
"5338",2482186,"tamuon","lowanchor",3e+06
"5340",2482228,"tamuon","lowanchor",3e+05
"5341",2482235,"tamuon","highanchor",3e+06
"5342",2482264,"tamuon","lowanchor",3e+05
"5343",2482272,"tamuon","lowanchor",350000
"5344",2482273,"tamuon","lowanchor",5e+05
"5345",2482289,"tamuon","highanchor",3e+06
"5346",2482290,"tamuon","lowanchor",5e+05
"5348",2482324,"tamuon","highanchor",3500000
"5349",2482338,"tamuon","lowanchor",5e+05
"5350",2482356,"tamuon","lowanchor",5e+05
"5351",2482358,"tamuon","lowanchor",3e+06
"5352",2482368,"tamuon","highanchor",3500000
"5353",2482387,"tamuon","lowanchor",1e+06
"5354",2482388,"tamuon","lowanchor",300050
"5355",2482419,"tamuon","lowanchor",250000
"5356",2482421,"tamuon","lowanchor",4e+06
