"","session_id","referrer","anch2group","anchoring2"
"5637",2481208,"unipd","lowanchor",1e+06
"5639",2481290,"unipd","highanchor",1e+06
"5641",2481329,"unipd","highanchor",2e+06
"5644",2481642,"unipd","highanchor",2e+06
"5646",2481666,"unipd","lowanchor",5e+05
"5647",2481669,"unipd","highanchor",4e+06
"5648",2481678,"unipd","highanchor",3e+06
"5650",2481705,"unipd","lowanchor",2e+06
"5652",2481736,"unipd","highanchor",1e+06
"5653",2481756,"unipd","lowanchor",4e+05
"5654",2481761,"unipd","highanchor",3e+06
"5656",2481766,"unipd","highanchor",3e+06
"5659",2481795,"unipd","lowanchor",6e+05
"5660",2481809,"unipd","lowanchor",3e+05
"5663",2481866,"unipd","lowanchor",350000
"5665",2481915,"unipd","highanchor",3e+06
"5666",2481937,"unipd","lowanchor",5e+05
"5668",2482157,"unipd","lowanchor",4e+05
"5671",2482220,"unipd","lowanchor",4e+05
"5672",2482247,"unipd","lowanchor",250000
"5675",2482438,"unipd","lowanchor",1e+06
"5678",2482476,"unipd","lowanchor",3e+06
"5681",2482626,"unipd","lowanchor",250000
"5682",2482641,"unipd","highanchor",4e+06
"5684",2482864,"unipd","highanchor",2800000
"5685",2483502,"unipd","lowanchor",5e+05
"5686",2483553,"unipd","lowanchor",8e+05
"5690",2483770,"unipd","lowanchor",350000
"5691",2483791,"unipd","lowanchor",1e+06
"5694",2483932,"unipd","lowanchor",5e+05
"5696",2484019,"unipd","highanchor",3e+06
"5697",2484059,"unipd","highanchor",4600000
"5699",2484326,"unipd","highanchor",1200000
"5702",2484464,"unipd","highanchor",2e+06
"5704",2484491,"unipd","highanchor",2e+06
"5707",2484702,"unipd","lowanchor",4500000
"5710",2484977,"unipd","highanchor",6e+05
"5711",2485013,"unipd","highanchor",7e+05
"5713",2485084,"unipd","highanchor",2500000
"5714",2485107,"unipd","lowanchor",3e+06
"5716",2485979,"unipd","highanchor",3e+06
"5717",2485980,"unipd","highanchor",3e+06
"5720",2486003,"unipd","lowanchor",3e+05
"5721",2486015,"unipd","highanchor",3e+06
"5722",2486023,"unipd","highanchor",3e+06
"5723",2486027,"unipd","highanchor",4e+06
"5725",2486040,"unipd","lowanchor",240000
"5726",2486108,"unipd","highanchor",3500000
"5727",2486115,"unipd","highanchor",750000
"5728",2486145,"unipd","lowanchor",1e+06
"5731",2486167,"unipd","lowanchor",5e+05
"5732",2486181,"unipd","lowanchor",2e+06
"5733",2486191,"unipd","highanchor",4945000
"5734",2486204,"unipd","highanchor",1e+06
"5735",2486230,"unipd","lowanchor",5e+05
"5736",2486263,"unipd","lowanchor",375000
"5737",2486285,"unipd","lowanchor",250000
"5738",2486620,"unipd","highanchor",2800000
"5739",2486678,"unipd","lowanchor",6e+05
"5740",2486682,"unipd","highanchor",3300000
"5741",2486702,"unipd","lowanchor",2400000
"5747",2487183,"unipd","lowanchor",3e+06
"5748",2487244,"unipd","lowanchor",1e+06
"5749",2487591,"unipd","highanchor",4670000
"5754",2487632,"unipd","lowanchor",2e+06
"5757",2487815,"unipd","highanchor",3e+06
"5761",2487978,"unipd","highanchor",3500000
"5762",2488018,"unipd","highanchor",4500000
"5766",2488542,"unipd","lowanchor",1e+06
"5767",2488545,"unipd","lowanchor",5e+05
"5771",2488731,"unipd","highanchor",1500000
"5772",2488886,"unipd","highanchor",3e+06
"5774",2489807,"unipd","lowanchor",2700000
"5776",2490054,"unipd","lowanchor",3e+06
"5777",2490369,"unipd","lowanchor",4e+06
"5778",2491671,"unipd","highanchor",2e+06
"5779",2493475,"unipd","lowanchor",250000
