"","session_id","referrer","anch3group","anchoring3"
"1",2400853,"abington","highanchor",30000
"2",2400856,"abington","highanchor",30000
"3",2400860,"abington","lowanchor",5000
"4",2400868,"abington","lowanchor",2400
"6",2400914,"abington","lowanchor",10000
"7",2400916,"abington","highanchor",25000
"8",2400925,"abington","highanchor",43300
"10",2407192,"abington","highanchor",45000
"11",2407222,"abington","lowanchor",5000
"12",2407225,"abington","highanchor",45000
"13",2407227,"abington","highanchor",35000
"14",2407268,"abington","highanchor",20000
"15",2407271,"abington","lowanchor",20000
"16",2407288,"abington","highanchor",35000
"17",2407289,"abington","highanchor",45300
"19",2407367,"abington","lowanchor",7050
"20",2407368,"abington","highanchor",45000
"21",2407369,"abington","highanchor",37000
"22",2407370,"abington","lowanchor",4000
"24",2407395,"abington","highanchor",42000
"26",2407404,"abington","lowanchor",7000
"27",2407405,"abington","highanchor",30432
"28",2407407,"abington","lowanchor",8000
"29",2407412,"abington","highanchor",37000
"30",2407864,"abington","highanchor",25000
"31",2407866,"abington","highanchor",40000
"32",2407983,"abington","highanchor",40000
"34",2408017,"abington","lowanchor",3000
"35",2408033,"abington","highanchor",40000
"36",2408059,"abington","lowanchor",5000
"37",2408084,"abington","highanchor",5000
"38",2409135,"abington","lowanchor",5000
"39",2409137,"abington","lowanchor",10000
"40",2409138,"abington","lowanchor",15000
"41",2409144,"abington","lowanchor",2595
"42",2409145,"abington","highanchor",32000
"43",2409147,"abington","lowanchor",3500
"44",2409150,"abington","lowanchor",4500
"46",2409204,"abington","highanchor",13000
"47",2409209,"abington","highanchor",31000
"48",2409214,"abington","highanchor",40000
"49",2409217,"abington","highanchor",30000
"50",2409255,"abington","lowanchor",2156
"51",2409256,"abington","lowanchor",4000
"52",2409259,"abington","lowanchor",2100
"53",2409260,"abington","lowanchor",3400
"54",2409264,"abington","highanchor",30000
"55",2409552,"abington","lowanchor",2336
"56",2409555,"abington","highanchor",39000
"58",2409603,"abington","highanchor",30500
"59",2409605,"abington","lowanchor",40000
"61",2409607,"abington","lowanchor",5000
"62",2410995,"abington","highanchor",42500
"63",2410997,"abington","highanchor",38000
"64",2411137,"abington","lowanchor",35000
"65",2411191,"abington","highanchor",45000
"66",2411192,"abington","lowanchor",3000
"67",2411195,"abington","highanchor",25000
"69",2411199,"abington","highanchor",40000
"70",2411202,"abington","lowanchor",3000
"72",2411204,"abington","lowanchor",30000
"73",2411205,"abington","lowanchor",5000
"74",2411301,"abington","lowanchor",5000
"75",2411308,"abington","lowanchor",7000
"76",2411379,"abington","highanchor",45000
"77",2411382,"abington","highanchor",40000
"78",2411384,"abington","highanchor",37000
"79",2411385,"abington","highanchor",8000
"80",2411395,"abington","lowanchor",2300
"81",2411401,"abington","lowanchor",3500
"82",2411402,"abington","highanchor",45300
"83",2411443,"abington","lowanchor",20000
"84",2411445,"abington","lowanchor",2500
