"","session_id","referrer","anch4group","anchoring4"
"846",2483669,"ku","highanchor",49999
"847",2483687,"ku","lowanchor",10000
"848",2483760,"ku","highanchor",20000
"850",2483825,"ku","lowanchor",1000
"851",2483870,"ku","lowanchor",2000
"852",2483963,"ku","highanchor",45000
"854",2484223,"ku","highanchor",1000
"855",2484248,"ku","highanchor",3000
"856",2484282,"ku","highanchor",30000
"857",2484311,"ku","lowanchor",200
"858",2484495,"ku","lowanchor",5500
"859",2484518,"ku","lowanchor",1000
"861",2484655,"ku","highanchor",25000
"862",2484735,"ku","highanchor",10000
"863",2484763,"ku","highanchor",40000
"864",2484839,"ku","lowanchor",350
"865",2484935,"ku","highanchor",300
"867",2484991,"ku","highanchor",38000
"868",2484998,"ku","lowanchor",150
"869",2485106,"ku","lowanchor",1000
"870",2485128,"ku","highanchor",37000
"871",2485343,"ku","highanchor",10000
"872",2485384,"ku","lowanchor",150
"873",2486014,"ku","highanchor",2000
"874",2486033,"ku","highanchor",30000
"875",2486087,"ku","lowanchor",560
"876",2486120,"ku","lowanchor",600
"878",2486139,"ku","highanchor",49000
"879",2486189,"ku","lowanchor",120
"880",2486238,"ku","highanchor",49000
"881",2486297,"ku","lowanchor",200
"882",2486389,"ku","lowanchor",20000
"883",2486683,"ku","highanchor",37000
"885",2487736,"ku","highanchor",32000
"886",2487969,"ku","lowanchor",213
"887",2487986,"ku","highanchor",20000
"888",2488624,"ku","highanchor",5000
"889",2489799,"ku","highanchor",49300
"890",2489978,"ku","lowanchor",150
"891",2490370,"ku","lowanchor",1500
"893",2491676,"ku","lowanchor",106
"894",2492244,"ku","highanchor",49500
"895",2493467,"ku","lowanchor",1000
"896",2497422,"ku","lowanchor",1890
"898",2498540,"ku","lowanchor",3000
"899",2500646,"ku","lowanchor",950
"900",2500653,"ku","highanchor",200
"901",2500657,"ku","lowanchor",160
"904",2500731,"ku","lowanchor",10000
"905",2500735,"ku","lowanchor",150
"907",2500814,"ku","lowanchor",150
"908",2500872,"ku","lowanchor",250
"909",2500947,"ku","highanchor",35000
"911",2500958,"ku","lowanchor",1000
"912",2500977,"ku","lowanchor",350
"913",2501006,"ku","highanchor",30000
"914",2501189,"ku","highanchor",30000
"915",2501191,"ku","highanchor",1000
"916",2501212,"ku","lowanchor",1000
"917",2501262,"ku","lowanchor",600
"918",2501392,"ku","highanchor",30000
"919",2501462,"ku","highanchor",15000
"920",2501531,"ku","highanchor",30000
"922",2501785,"ku","lowanchor",2000
"923",2501908,"ku","lowanchor",257
"924",2502030,"ku","highanchor",25987
"925",2502048,"ku","highanchor",23000
"927",2502180,"ku","lowanchor",250
"929",2503127,"ku","highanchor",12000
"931",2503211,"ku","highanchor",37856
"932",2503400,"ku","lowanchor",3000
"934",2503649,"ku","lowanchor",300
"935",2503687,"ku","lowanchor",500
"936",2503943,"ku","highanchor",10000
"938",2504151,"ku","highanchor",10000
"939",2504793,"ku","lowanchor",600
"940",2504918,"ku","highanchor",45000
"941",2504958,"ku","lowanchor",180
"942",2505085,"ku","lowanchor",1000
"943",2505329,"ku","highanchor",30000
"944",2505448,"ku","lowanchor",200
"945",2505529,"ku","highanchor",40000
"946",2505548,"ku","lowanchor",700
"947",2505570,"ku","lowanchor",10000
"948",2506806,"ku","lowanchor",2000
"949",2506845,"ku","highanchor",25000
"950",2506881,"ku","lowanchor",6000
"952",2507282,"ku","highanchor",25000
"953",2509148,"ku","lowanchor",400
"956",2510938,"ku","lowanchor",5000
"957",2511223,"ku","lowanchor",1700
