"","session_id","referrer","anch4group","anchoring4"
"959",2456203,"laurier","highanchor",40000
"960",2456205,"laurier","highanchor",40000
"961",2456207,"laurier","highanchor",20000
"963",2456213,"laurier","highanchor",15000
"964",2456214,"laurier","highanchor",37851
"965",2456217,"laurier","lowanchor",150
"966",2456219,"laurier","lowanchor",1000
"967",2456221,"laurier","highanchor",40000
"968",2456222,"laurier","highanchor",35000
"969",2456225,"laurier","lowanchor",125
"970",2456226,"laurier","lowanchor",150
"971",2456229,"laurier","lowanchor",10000
"973",2456232,"laurier","highanchor",40000
"974",2456236,"laurier","highanchor",45600
"975",2456283,"laurier","lowanchor",150
"976",2456285,"laurier","lowanchor",600
"977",2456287,"laurier","highanchor",48000
"978",2456289,"laurier","highanchor",1200
"979",2456292,"laurier","highanchor",30000
"980",2456297,"laurier","highanchor",19000
"981",2456298,"laurier","lowanchor",10000
"983",2456300,"laurier","lowanchor",152
"984",2456302,"laurier","highanchor",46000
"985",2456304,"laurier","lowanchor",10000
"986",2456305,"laurier","lowanchor",1000
"988",2456310,"laurier","highanchor",47800
"989",2456345,"laurier","highanchor",20000
"990",2456354,"laurier","lowanchor",500
"991",2456356,"laurier","lowanchor",1000
"993",2456358,"laurier","highanchor",20000
"996",2456362,"laurier","lowanchor",1500
"997",2456364,"laurier","lowanchor",543
"998",2456367,"laurier","lowanchor",5000
"999",2456368,"laurier","highanchor",15000
"1000",2456369,"laurier","highanchor",45000
"1001",2456370,"laurier","highanchor",30000
"1002",2456372,"laurier","lowanchor",200
"1004",2456378,"laurier","lowanchor",150
"1005",2456383,"laurier","highanchor",35000
"1006",2456386,"laurier","lowanchor",300
"1007",2456493,"laurier","highanchor",30000
"1008",2456495,"laurier","highanchor",2000
"1010",2456499,"laurier","highanchor",20000
"1011",2456502,"laurier","lowanchor",20000
"1012",2456503,"laurier","highanchor",1000
"1013",2456504,"laurier","lowanchor",10000
"1014",2456505,"laurier","highanchor",25000
"1015",2456507,"laurier","lowanchor",131
"1016",2456508,"laurier","highanchor",35000
"1017",2456509,"laurier","lowanchor",200
"1018",2456510,"laurier","lowanchor",1000
"1019",2456513,"laurier","lowanchor",250
"1020",2456514,"laurier","highanchor",30000
"1021",2456517,"laurier","highanchor",20000
"1022",2456518,"laurier","lowanchor",300
"1023",2456536,"laurier","lowanchor",1000
"1024",2456583,"laurier","lowanchor",101
"1025",2456586,"laurier","highanchor",8000
"1026",2456590,"laurier","lowanchor",10000
"1027",2456591,"laurier","lowanchor",2354
"1028",2456592,"laurier","highanchor",46000
"1029",2456593,"laurier","highanchor",10000
"1030",2456594,"laurier","highanchor",40000
"1031",2456596,"laurier","highanchor",10000
"1033",2456601,"laurier","highanchor",26000
"1034",2456602,"laurier","lowanchor",2500
"1035",2456603,"laurier","lowanchor",101
"1037",2456606,"laurier","highanchor",30000
"1038",2456612,"laurier","highanchor",35000
"1039",2456617,"laurier","highanchor",47000
"1040",2456639,"laurier","highanchor",25000
"1041",2456685,"laurier","lowanchor",1000
"1042",2456686,"laurier","lowanchor",105
"1043",2456687,"laurier","highanchor",5000
"1044",2456689,"laurier","lowanchor",30000
"1045",2456692,"laurier","highanchor",10000
"1046",2456697,"laurier","lowanchor",25000
"1048",2456701,"laurier","highanchor",20000
"1049",2456702,"laurier","lowanchor",105
"1050",2456703,"laurier","lowanchor",205
"1051",2456711,"laurier","lowanchor",249
"1052",2456715,"laurier","highanchor",25000
"1053",2456717,"laurier","lowanchor",120
"1054",2456718,"laurier","lowanchor",200
"1056",2456759,"laurier","highanchor",20000
"1057",2456760,"laurier","highanchor",12000
"1058",2456763,"laurier","highanchor",30000
"1059",2456768,"laurier","lowanchor",250
"1060",2456770,"laurier","highanchor",25000
"1061",2456772,"laurier","lowanchor",1000
"1062",2456776,"laurier","lowanchor",2000
"1063",2456779,"laurier","highanchor",48000
"1064",2456781,"laurier","highanchor",40000
"1065",2456783,"laurier","lowanchor",6000
"1066",2456787,"laurier","lowanchor",1200
"1067",2456790,"laurier","highanchor",49000
"1068",2456797,"laurier","highanchor",5000
"1069",2456805,"laurier","lowanchor",5000
"1070",2456807,"laurier","highanchor",48500
