"","session_id","referrer","anch4group","anchoring4"
"1071",2478783,"lse","lowanchor",6000
"1072",2478785,"lse","lowanchor",5000
"1073",2478786,"lse","lowanchor",25870
"1074",2478787,"lse","lowanchor",1500
"1075",2478789,"lse","lowanchor",1000
"1077",2478791,"lse","lowanchor",1000
"1078",2478792,"lse","highanchor",20000
"1079",2478793,"lse","lowanchor",200
"1080",2478795,"lse","lowanchor",5000
"1081",2478796,"lse","highanchor",49000
"1082",2478858,"lse","highanchor",4000
"1083",2478859,"lse","lowanchor",500
"1084",2478860,"lse","lowanchor",1000
"1085",2478862,"lse","lowanchor",5500
"1086",2478867,"lse","lowanchor",1000
"1087",2478868,"lse","lowanchor",2500
"1089",2478872,"lse","lowanchor",15000
"1090",2478873,"lse","highanchor",5000
"1091",2478875,"lse","highanchor",20000
"1093",2478877,"lse","lowanchor",300
"1094",2478891,"lse","highanchor",20000
"1095",2478893,"lse","lowanchor",320
"1096",2478894,"lse","highanchor",25000
"1097",2478895,"lse","lowanchor",186
"1099",2478898,"lse","highanchor",42000
"1100",2478899,"lse","highanchor",45000
"1102",2478901,"lse","highanchor",24000
"1103",2478904,"lse","lowanchor",105
"1104",2478905,"lse","lowanchor",10000
"1105",2478912,"lse","lowanchor",600
"1106",2478913,"lse","highanchor",35000
"1107",2478914,"lse","highanchor",49999
"1108",2478915,"lse","lowanchor",500
"1110",2478917,"lse","highanchor",30000
"1111",2478918,"lse","lowanchor",1000
"1112",2478941,"lse","lowanchor",200
"1113",2478942,"lse","lowanchor",10000
"1114",2478948,"lse","lowanchor",320
"1115",2478950,"lse","highanchor",40000
"1116",2478951,"lse","highanchor",30000
"1117",2478953,"lse","lowanchor",147
"1118",2478954,"lse","highanchor",25000
"1120",2478957,"lse","lowanchor",250
"1121",2478958,"lse","highanchor",15000
"1123",2478960,"lse","highanchor",30000
"1124",2478978,"lse","lowanchor",10000
"1125",2478979,"lse","lowanchor",450
"1126",2478980,"lse","lowanchor",2500
"1127",2478983,"lse","lowanchor",150
"1128",2478984,"lse","lowanchor",1000
"1129",2478985,"lse","lowanchor",132
"1130",2478986,"lse","lowanchor",400
