"","session_id","referrer","MoneyGroup","Sysjust"
"4520",2436706,"sdsu","Money priming group",3.75
"4521",2436967,"sdsu","Control group",3
"4522",2440429,"sdsu","Control group",3.375
"4523",2440430,"sdsu","Money priming group",5.75
"4524",2440431,"sdsu","Control group",2.625
"4525",2440596,"sdsu","Control group",4.375
"4526",2440598,"sdsu","Money priming group",5.125
"4527",2440621,"sdsu","Money priming group",3.625
"4528",2440623,"sdsu","Control group",3.375
"4529",2440733,"sdsu","Control group",4.125
"4530",2440734,"sdsu","Money priming group",3
"4531",2440737,"sdsu","Control group",2.25
"4532",2440740,"sdsu","Control group",1.75
"4533",2440881,"sdsu","Money priming group",3.75
"4534",2440883,"sdsu","Control group",3.25
"4535",2440885,"sdsu","Control group",3.5
"4536",2443108,"sdsu","Control group",3.25
"4537",2443109,"sdsu","Money priming group",2.625
"4538",2443110,"sdsu","Money priming group",3.75
"4539",2443367,"sdsu","Control group",2.875
"4540",2443371,"sdsu","Control group",3.5
"4541",2443373,"sdsu","Money priming group",3
"4542",2443376,"sdsu","Money priming group",3.125
"4543",2443761,"sdsu","Control group",5.125
"4544",2443763,"sdsu","Control group",3.625
"4545",2443765,"sdsu","Money priming group",3.875
"4546",2443767,"sdsu","Money priming group",3.75
"4547",2443879,"sdsu","Money priming group",4.625
"4548",2443882,"sdsu","Money priming group",3
"4549",2443886,"sdsu","Money priming group",3
"4550",2443887,"sdsu","Control group",3.875
"4551",2445906,"sdsu","Money priming group",4
"4552",2445908,"sdsu","Control group",1.375
"4553",2445912,"sdsu","Control group",4.625
"4554",2445951,"sdsu","Money priming group",3.5
"4555",2446069,"sdsu","Money priming group",4.75
"4556",2446072,"sdsu","Control group",3.375
"4557",2446074,"sdsu","Money priming group",3.25
"4558",2446076,"sdsu","Control group",4.375
"4559",2447580,"sdsu","Money priming group",2.75
"4560",2447581,"sdsu","Money priming group",4.5
"4561",2447582,"sdsu","Money priming group",3.5
"4562",2447591,"sdsu","Money priming group",4
"4563",2447692,"sdsu","Control group",3.875
"4564",2447693,"sdsu","Control group",4
"4565",2447744,"sdsu","Money priming group",3.875
"4566",2447904,"sdsu","Control group",5
"4567",2447907,"sdsu","Money priming group",4.25
"4568",2448199,"sdsu","Control group",3.25
"4569",2448201,"sdsu","Control group",5
"4570",2448202,"sdsu","Control group",4
"4571",2448203,"sdsu","Control group",5.5
"4572",2448352,"sdsu","Money priming group",4.25
"4573",2448354,"sdsu","Money priming group",3.875
"4574",2448355,"sdsu","Control group",3.625
"4575",2448359,"sdsu","Control group",3.5
"4576",2448429,"sdsu","Money priming group",3.5
"4577",2448430,"sdsu","Control group",2.5
"4578",2448433,"sdsu","Money priming group",2.375
"4579",2452411,"sdsu","Control group",3.625
"4580",2452413,"sdsu","Money priming group",2.5
"4581",2452422,"sdsu","Money priming group",3.125
"4582",2452479,"sdsu","Control group",4.375
"4583",2452480,"sdsu","Money priming group",2.625
"4584",2452481,"sdsu","Control group",3.375
"4585",2452747,"sdsu","Control group",1.875
"4586",2452749,"sdsu","Money priming group",3.625
"4587",2452750,"sdsu","Control group",3.375
"4588",2452842,"sdsu","Money priming group",5.5
"4589",2452844,"sdsu","Money priming group",3.75
"4590",2452845,"sdsu","Control group",2.5
"4591",2452849,"sdsu","Money priming group",3.25
"4592",2452928,"sdsu","Control group",4.25
"4593",2452930,"sdsu","Money priming group",3.5
"4594",2452931,"sdsu","Money priming group",4.25
"4595",2452932,"sdsu","Money priming group",4.125
"4596",2454751,"sdsu","Control group",4.25
"4597",2454752,"sdsu","Control group",5.25
"4598",2454753,"sdsu","Control group",4.625
"4599",2455017,"sdsu","Control group",5.125
"4600",2455019,"sdsu","Money priming group",4.125
"4601",2455106,"sdsu","Control group",5
"4602",2455109,"sdsu","Money priming group",4
"4603",2455110,"sdsu","Control group",3.625
"4604",2455111,"sdsu","Money priming group",3.75
"4605",2456774,"sdsu","Control group",4.5
