"","session_id","referrer","MoneyGroup","Sysjust"
"4761",2435230,"swpson","Control group",5.125
"4762",2435236,"swpson","Money priming group",4.5
"4763",2435237,"swpson","Money priming group",3
"4764",2435239,"swpson","Control group",5
"4765",2435240,"swpson","Money priming group",1.75
"4766",2435243,"swpson","Money priming group",3.5
"4767",2435245,"swpson","Money priming group",2.125
"4768",2435247,"swpson","Control group",4
"4769",2435249,"swpson","Money priming group",4
"4770",2435256,"swpson","Control group",2.875
"4771",2435258,"swpson","Money priming group",2.875
"4772",2435262,"swpson","Control group",1.375
"4773",2435274,"swpson","Money priming group",4
"4774",2435279,"swpson","Control group",1.375
"4775",2435283,"swpson","Control group",4.125
"4776",2435301,"swpson","Control group",3.5
"4777",2435303,"swpson","Control group",2.125
"4778",2435307,"swpson","Money priming group",3
"4779",2435319,"swpson","Money priming group",2.25
"4780",2435320,"swpson","Money priming group",4.5
"4781",2435371,"swpson","Money priming group",3
"4782",2435417,"swpson","Control group",2.375
"4783",2435424,"swpson","Control group",2.75
"4784",2435430,"swpson","Money priming group",3.125
"4785",2435433,"swpson","Control group",4
"4786",2435435,"swpson","Money priming group",2.625
"4787",2435464,"swpson","Money priming group",4.25
"4788",2435472,"swpson","Control group",3.875
"4789",2435540,"swpson","Money priming group",4.125
"4790",2435554,"swpson","Control group",3
"4791",2435619,"swpson","Money priming group",3.5
"4792",2435653,"swpson","Control group",3.5
"4793",2435695,"swpson","Money priming group",3.375
"4794",2435842,"swpson","Money priming group",2.125
"4795",2435851,"swpson","Money priming group",4.75
"4796",2435854,"swpson","Control group",4.75
"4797",2435895,"swpson","Money priming group",1.875
"4798",2435947,"swpson","Control group",3.57142857142857
"4799",2435961,"swpson","Money priming group",4.125
"4800",2435964,"swpson","Money priming group",2.75
"4801",2436064,"swpson","Money priming group",4
"4802",2436403,"swpson","Control group",3.75
"4803",2436426,"swpson","Money priming group",3
"4804",2436504,"swpson","Control group",3.75
"4805",2436551,"swpson","Control group",3.375
"4806",2438531,"swpson","Money priming group",2.25
"4807",2438839,"swpson","Control group",2.125
"4808",2438844,"swpson","Money priming group",1
"4809",2438847,"swpson","Money priming group",3.875
"4810",2439394,"swpson","Money priming group",4.125
"4811",2439453,"swpson","Money priming group",1.375
"4812",2439491,"swpson","Control group",2.875
"4813",2439602,"swpson","Money priming group",2.875
"4814",2439734,"swpson","Control group",3.25
"4815",2439750,"swpson","Money priming group",3.75
"4816",2439756,"swpson","Money priming group",2.5
"4817",2439810,"swpson","Money priming group",2.75
"4818",2439812,"swpson","Money priming group",2.75
"4819",2440011,"swpson","Money priming group",2.5
"4820",2440042,"swpson","Money priming group",4.25
"4821",2440045,"swpson","Control group",3.25
"4822",2440083,"swpson","Control group",2.5
"4823",2440139,"swpson","Control group",3.25
"4824",2440298,"swpson","Control group",4.625
"4825",2440371,"swpson","Control group",2.375
"4826",2441860,"swpson","Control group",3.125
"4827",2441985,"swpson","Control group",2.25
"4828",2442005,"swpson","Control group",3.625
"4829",2442014,"swpson","Control group",3.75
"4830",2442029,"swpson","Control group",4.375
"4831",2442034,"swpson","Money priming group",2.625
"4832",2442091,"swpson","Money priming group",3.25
"4833",2442112,"swpson","Control group",3.125
"4834",2442170,"swpson","Control group",3
"4835",2442182,"swpson","Money priming group",5.375
"4836",2442192,"swpson","Money priming group",4
"4837",2442193,"swpson","Control group",3.25
"4838",2442197,"swpson","Money priming group",3.625
"4839",2442205,"swpson","Money priming group",3.25
"4840",2442973,"swpson","Money priming group",3.875
"4841",2443181,"swpson","Control group",5
"4842",2443337,"swpson","Control group",2.375
"4843",2443603,"swpson","Money priming group",1.375
"4844",2443849,"swpson","Money priming group",3.125
"4845",2445068,"swpson","Money priming group",3.25
"4846",2445072,"swpson","Money priming group",3.625
"4847",2445074,"swpson","Money priming group",4
"4848",2445081,"swpson","Money priming group",4.375
"4849",2445082,"swpson","Control group",3.625
"4850",2445092,"swpson","Control group",3.125
"4851",2445093,"swpson","Money priming group",4.25
"4852",2445094,"swpson","Money priming group",2.25
"4853",2445097,"swpson","Money priming group",1.875
"4854",2445099,"swpson","Money priming group",4.25
"4855",2445104,"swpson","Money priming group",3.875
"4856",2445107,"swpson","Control group",3.375
"4857",2445108,"swpson","Control group",3.5
"4858",2445110,"swpson","Control group",3.75
"4859",2445117,"swpson","Control group",3.125
"4860",2445118,"swpson","Control group",2.125
"4861",2445125,"swpson","Control group",4.25
"4862",2445131,"swpson","Money priming group",2.75
"4863",2445133,"swpson","Control group",4.875
"4864",2445166,"swpson","Money priming group",3.75
"4865",2445167,"swpson","Money priming group",4.25
"4866",2445174,"swpson","Money priming group",3.5
"4867",2445175,"swpson","Money priming group",2.875
"4868",2445227,"swpson","Money priming group",2.5
"4869",2445305,"swpson","Control group",5.125
"4870",2445310,"swpson","Money priming group",2.85714285714286
"4871",2445430,"swpson","Money priming group",3.875
"4872",2445453,"swpson","Money priming group",4.375
"4873",2445493,"swpson","Control group",3.375
"4874",2445556,"swpson","Money priming group",3.5
"4875",2445776,"swpson","Money priming group",3.75
"4876",2445887,"swpson","Money priming group",2
"4877",2445978,"swpson","Control group",3.625
"4878",2446055,"swpson","Control group",2.5
"4879",2446120,"swpson","Control group",3.625
"4880",2446193,"swpson","Control group",3.125
"4881",2446227,"swpson","Control group",1.875
"4882",2446238,"swpson","Money priming group",3.375
"4883",2446242,"swpson","Control group",2.375
"4884",2446282,"swpson","Control group",2.5
"4885",2446391,"swpson","Money priming group",2.875
"4886",2447225,"swpson","Money priming group",2.625
"4887",2447283,"swpson","Money priming group",2.375
"4888",2447284,"swpson","Control group",3.625
"4889",2447291,"swpson","Control group",3.5
"4890",2447294,"swpson","Money priming group",2.375
"4891",2447315,"swpson","Control group",3.75
"4892",2447348,"swpson","Money priming group",1.75
"4893",2447552,"swpson","Money priming group",3.625
"4894",2447645,"swpson","Control group",2.375
"4895",2447933,"swpson","Money priming group",3
"4896",2447963,"swpson","Money priming group",3.125
"4897",2448839,"swpson","Control group",3.25
"4898",2448845,"swpson","Money priming group",4
"4899",2448846,"swpson","Control group",3.125
"4900",2448871,"swpson","Control group",2.625
"4901",2448877,"swpson","Money priming group",2.625
"4902",2448999,"swpson","Money priming group",3.75
"4903",2449129,"swpson","Money priming group",1.75
"4904",2449884,"swpson","Money priming group",2.75
"4905",2451369,"swpson","Control group",4
"4906",2451643,"swpson","Money priming group",3
"4907",2453735,"swpson","Money priming group",2.75
"4908",2453921,"swpson","Money priming group",1.625
"4909",2454315,"swpson","Money priming group",4.28571428571429
"4910",2454351,"swpson","Control group",3
"4911",2454508,"swpson","Control group",4
"4912",2454638,"swpson","Money priming group",1.875
"4913",2454696,"swpson","Control group",3.625
"4914",2454700,"swpson","Control group",1.125
"4915",2454769,"swpson","Control group",6.125
"4916",2454790,"swpson","Money priming group",3.875
"4917",2454819,"swpson","Control group",3.625
"4918",2455781,"swpson","Money priming group",4
"4919",2455855,"swpson","Control group",2.25
"4920",2455874,"swpson","Money priming group",3.125
"4921",2455921,"swpson","Money priming group",3.875
"4922",2455929,"swpson","Money priming group",4.125
"4923",2456015,"swpson","Control group",3
"4924",2456500,"swpson","Control group",1.875
"4925",2457057,"swpson","Control group",4.5
"4926",2461353,"swpson","Control group",2.75
"4927",2473645,"swpson","Money priming group",2.5
"4928",2475122,"swpson","Control group",1.25
"4929",2479038,"swpson","Control group",4.5
