"","session_id","referrer","flagGroup","flagdv","flagfilter"
"6258",2454344,"wpi","no prime",1.125,"include"
"6259",2454353,"wpi","no prime",2.875,"include"
"6260",2454385,"wpi","flag prime",3.25,"include"
"6261",2456569,"wpi","no prime",3.375,"include"
"6262",2456576,"wpi","no prime",2.75,"include"
"6263",2458809,"wpi","flag prime",4.5,"include"
"6264",2458813,"wpi","no prime",2.625,"include"
"6265",2458816,"wpi","flag prime",1.5,"include"
"6266",2458872,"wpi","flag prime",3.14285714285714,"include"
"6267",2458893,"wpi","no prime",3.125,"include"
"6268",2458967,"wpi","flag prime",3.75,"include"
"6269",2458970,"wpi","no prime",4.125,"include"
"6270",2458987,"wpi","no prime",5.125,"include"
"6271",2459014,"wpi","flag prime",2.75,"include"
"6272",2461595,"wpi","flag prime",3.75,"include"
"6273",2467812,"wpi","no prime",3.25,"include"
"6274",2472292,"wpi","flag prime",2.75,"include"
"6275",2472304,"wpi","no prime",3.375,"include"
"6276",2472376,"wpi","no prime",2.875,"include"
"6277",2472395,"wpi","no prime",3.71428571428571,"include"
"6278",2474017,"wpi","flag prime",4,"include"
"6279",2474025,"wpi","no prime",3.875,"include"
"6280",2474095,"wpi","no prime",2.125,"include"
"6281",2474102,"wpi","flag prime",2.375,"include"
"6282",2477627,"wpi","no prime",2.85714285714286,"include"
"6283",2477634,"wpi","no prime",2.75,"include"
"6284",2477719,"wpi","flag prime",1.85714285714286,"include"
"6285",2477729,"wpi","flag prime",2.75,"include"
"6286",2477731,"wpi","no prime",4.5,"include"
"6288",2477756,"wpi","no prime",2.875,"include"
"6289",2477766,"wpi","flag prime",3.25,"include"
"6290",2477773,"wpi","no prime",2.625,"include"
"6291",2477776,"wpi","flag prime",3.25,"include"
"6292",2481938,"wpi","no prime",3.375,"include"
"6293",2481944,"wpi","flag prime",3.25,"include"
"6294",2482004,"wpi","flag prime",2.25,"include"
"6295",2482043,"wpi","no prime",4.25,"include"
"6296",2482055,"wpi","no prime",3.5,"include"
"6297",2482067,"wpi","flag prime",3.5,"include"
"6298",2482078,"wpi","no prime",2.75,"include"
"6299",2484324,"wpi","no prime",3.5,"include"
"6300",2484327,"wpi","no prime",3,"include"
"6301",2484328,"wpi","no prime",3.875,"include"
"6302",2484570,"wpi","no prime",3.25,"include"
"6303",2484574,"wpi","no prime",2.625,"include"
"6304",2484654,"wpi","flag prime",4.75,"include"
"6305",2484679,"wpi","flag prime",3.25,"include"
"6306",2484690,"wpi","no prime",2.625,"include"
"6307",2484696,"wpi","flag prime",2,"include"
"6308",2484748,"wpi","flag prime",2.25,"include"
"6309",2484783,"wpi","flag prime",2.875,"include"
"6310",2484805,"wpi","flag prime",1.28571428571429,"include"
"6311",2484862,"wpi","no prime",2.125,"include"
"6312",2484863,"wpi","no prime",1.875,"include"
"6313",2484876,"wpi","no prime",2.5,"include"
"6314",2484887,"wpi","no prime",2.625,"include"
"6315",2484890,"wpi","flag prime",4.375,"include"
"6316",2484896,"wpi","no prime",2.5,"include"
"6317",2484969,"wpi","flag prime",2.5,"include"
"6318",2484972,"wpi","no prime",2.75,"include"
"6319",2484973,"wpi","no prime",2.75,"include"
"6320",2486492,"wpi","no prime",3,"include"
"6321",2490381,"wpi","flag prime",2.75,"include"
"6322",2490384,"wpi","flag prime",2.75,"include"
"6323",2492391,"wpi","flag prime",5.25,"include"
"6324",2492394,"wpi","flag prime",4.875,"include"
"6325",2493944,"wpi","no prime",2.625,"include"
"6326",2493955,"wpi","no prime",1.375,"include"
"6327",2493959,"wpi","no prime",5.375,"include"
"6328",2493964,"wpi","no prime",2,"include"
"6329",2493970,"wpi","no prime",3.25,"include"
"6330",2493974,"wpi","flag prime",3.25,"include"
"6331",2494028,"wpi","no prime",2.5,"include"
"6332",2494032,"wpi","flag prime",2.5,"include"
"6333",2494074,"wpi","no prime",3.5,"include"
"6334",2494078,"wpi","flag prime",2.875,"include"
"6335",2494402,"wpi","no prime",2.125,"include"
"6336",2494404,"wpi","flag prime",2.5,"include"
"6337",2494405,"wpi","flag prime",2.125,"include"
"6338",2494407,"wpi","flag prime",2.625,"include"
"6339",2495930,"wpi","no prime",2.75,"include"
"6340",2495934,"wpi","flag prime",3.375,"include"
"6341",2496017,"wpi","flag prime",2.25,"include"
"6342",2496023,"wpi","flag prime",4.375,"include"
"6343",2496026,"wpi","no prime",2.75,"include"
"6344",2496226,"wpi","no prime",2.75,"include"
