"","lab","Control group_m","Control group_s","Control group_n","Contact group_m","Contact group_s","Contact group_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",4.77941176470588,2.11664105139805,34,5.015,2.00281052523697,50,0.235588235294117,-0.670649554046811,1.14182602463505,0.916666666666667,0.212820084437829,TRUE,0.97,500,"USA","Lab","USA"
"2","brasilia",4.76953125,2.2170446721645,64,4.94196428571429,1.95517441179028,56,0.172433035714286,-0.588165401063039,0.933031472491611,0.888888888888889,0.213699173708667,TRUE,0.958,500,"Brazil","Lab","NotUSA"
"3","charles",4.69285714285714,1.35999258524919,35,4.67857142857143,1.6337903272248,49,-0.0142857142857142,-0.68623090957583,0.657659481004401,0.916666666666667,0.219665550579142,TRUE,0.832,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",4.98469387755102,1.76733097027789,49,5.35869565217391,1.81402879885954,46,0.374001774622893,-0.35577981558878,1.10378336483457,0.833333333333333,0.209083463798671,TRUE,0.924,500,"USA","Lab","USA"
"5","csun",3.96428571428571,2.16145205822382,49,4.02127659574468,1.75374582589144,47,0.0569908814589661,-0.742621066208214,0.856602829126146,0.916666666666667,0.216286399452176,TRUE,0.938,500,"USA","Online","USA"
"6","help",4.89705882352941,1.86559405457634,51,4.50490196078431,1.68336730697613,51,-0.392156862745098,-1.090241958398,0.305928232907808,0.583333333333333,0.232370384704838,TRUE,0.548,500,"Malaysia","Lab","NotUSA"
"7","ithaca",4.23062015503876,1.67949794964582,43,5.44148936170213,1.85859692138686,47,1.21086920666337,0.466327652119425,1.95541076120731,0.194444444444444,0.198958829317169,FALSE,0.308,500,"USA","Lab","USA"
"8","jmu",4.31168831168831,1.75570304001844,77,4.63917525773196,1.83816919226208,97,0.327486946043647,-0.21546331676695,0.870437208854244,0.777777777777778,0.207769838022349,TRUE,0.932,500,"USA","Online","USA"
"9","ku",5.55454545454545,1.29429920718141,55,5.31465517241379,1.62596823032475,58,-0.239890282131662,-0.78960896949142,0.309828405228096,0.555555555555556,0.234826904857965,TRUE,0.584,500,"Turkey","Online","NotUSA"
"10","laurier",4.94642857142857,2.11257828564695,56,4.99107142857143,1.92646891164443,56,0.0446428571428577,-0.712508452466545,0.801794166752261,0.916666666666667,0.216790616913989,TRUE,0.928,500,"Canada","Lab","NotUSA"
"11","lse",4.91605839416058,2.060053667799,137,5.26607142857143,1.84498413805686,140,0.350013034410845,-0.112337990550301,0.81236405937199,0.722222222222222,0.205552921004914,TRUE,0.942,500,"UK","Lab","NotUSA"
"12","luc",5.19481981981982,1.85701173530239,74,5.47222222222222,1.78341121325272,72,0.277402402402402,-0.318451909750731,0.873256714555536,0.833333333333333,0.210066856117271,TRUE,0.94,500,"USA","Lab","USA"
"13","mcdaniel",4.76442307692308,2.0360798680948,52,5.10869565217391,1.52720894109433,46,0.344272575250836,-0.385118798068983,1.07366394857066,0.861111111111111,0.209576399253215,TRUE,0.958,500,"USA","Online","USA"
"14","msvu",4.83536585365854,1.85119028946375,41,5.44507575757576,1.85678648920083,44,0.609709903917222,-0.190766236747681,1.41018604458212,0.777777777777778,0.205889165846673,TRUE,0.856,500,"Canada","Lab","NotUSA"
"15","mturk",3.90781853281853,1.96070480111175,518,4.41804979253112,1.93132507957726,482,0.510231259712588,0.268482936441136,0.75197958298404,0.388888888888889,0.194236533294108,FALSE,0.43,500,"USA","Online","USA"
"16","osu",3.91826923076923,2.05900768137855,52,3.71363636363636,1.73566762012261,55,-0.204632867132867,-0.933174601273975,0.523908867008241,0.805555555555556,0.224269980277857,TRUE,0.772,500,"USA","Lab","USA"
"17","oxy",5.69262295081967,1.58468808880417,61,6.15573770491803,1.56801621910871,61,0.463114754098361,-0.102029507393111,1.02825901558983,0.722222222222222,0.20434550136581,TRUE,0.826,500,"USA","Lab","USA"
"18","pi",5.01864364364364,1.98723386265079,666,5.31734642497482,1.87179051235298,662,0.298702781331181,0.0908487096912166,0.506556852971145,0.388888888888889,0.201862159928991,TRUE,0.96,500,"USA","Online","USA"
"19","psu",3.82386363636364,1.67711992319764,44,4.31862745098039,1.68306151950289,51,0.494763814616756,-0.191794586074939,1.18132221530845,0.75,0.205995986504103,TRUE,0.858,500,"USA","Lab","USA"
"20","qccuny",4.75868055555556,2.1865724702492,48,4.16037735849057,1.97769675892103,53,-0.59830319706499,-1.42044270943066,0.223836315300685,0.472222222222222,0.232620173723855,FALSE,0.528,500,"U","Lab","NotUSA"
"21","qccuny2",3.92105263157895,1.83537431114743,38,4.57446808510638,2.13212672813528,47,0.653415453527435,-0.216682138994018,1.52351304604889,0.805555555555556,0.20611587082386,TRUE,0.864,500,"U","Lab","NotUSA"
