"","session_id","referrer","ContactGroup","Imagineddv"
"384",2456784,"csun","Control group",2
"385",2456788,"csun","Contact group",6.75
"386",2456823,"csun","Contact group",7.75
"387",2456844,"csun","Contact group",4
"388",2456892,"csun","Contact group",5
"389",2456916,"csun","Control group",1.5
"390",2456928,"csun","Contact group",3
"391",2457020,"csun","Contact group",1
"392",2457046,"csun","Contact group",1
"393",2457073,"csun","Contact group",3.5
"394",2457074,"csun","Control group",7.75
"395",2457085,"csun","Contact group",8.5
"396",2457121,"csun","Contact group",3.5
"397",2457137,"csun","Control group",6.75
"398",2457163,"csun","Control group",3
"399",2457186,"csun","Contact group",3.75
"400",2457202,"csun","Contact group",5
"401",2457261,"csun","Control group",4.5
"402",2457268,"csun","Control group",4
"403",2457292,"csun","Contact group",6
"404",2457303,"csun","Contact group",4.75
"405",2457311,"csun","Contact group",4
"406",2457318,"csun","Contact group",5.5
"407",2457331,"csun","Control group",7
"408",2457380,"csun","Control group",2
"409",2457385,"csun","Control group",2.75
"410",2457394,"csun","Contact group",8
"411",2457404,"csun","Contact group",3.5
"412",2457450,"csun","Contact group",4.75
"413",2457471,"csun","Control group",2.5
"414",2457473,"csun","Control group",4.5
"415",2457480,"csun","Contact group",5.25
"416",2457504,"csun","Contact group",3.5
"417",2457572,"csun","Control group",4.25
"418",2457577,"csun","Control group",4
"419",2457600,"csun","Contact group",4
"420",2457611,"csun","Control group",4
"421",2457620,"csun","Contact group",1.25
"422",2457623,"csun","Control group",8
"423",2457637,"csun","Contact group",2.25
"424",2457650,"csun","Contact group",5.25
"425",2457661,"csun","Control group",3.75
"426",2457672,"csun","Control group",8.25
"427",2457686,"csun","Contact group",5.25
"428",2457695,"csun","Control group",1.5
"429",2457718,"csun","Contact group",4
"430",2457739,"csun","Contact group",4
"431",2457741,"csun","Contact group",4.5
"432",2457742,"csun","Contact group",4.25
"433",2457780,"csun","Control group",2.75
"434",2457800,"csun","Control group",3.75
"435",2457808,"csun","Control group",1.5
"436",2457821,"csun","Control group",2.5
"437",2457822,"csun","Control group",1.5
"438",2457828,"csun","Contact group",5.5
"439",2457868,"csun","Control group",4
"440",2457886,"csun","Control group",1.75
"441",2457897,"csun","Control group",2.25
"442",2457898,"csun","Control group",1.75
"443",2457899,"csun","Contact group",1.25
"444",2457900,"csun","Control group",2.5
"445",2457901,"csun","Contact group",4.25
"446",2457904,"csun","Control group",4.75
"447",2457917,"csun","Control group",5.5
"448",2457928,"csun","Control group",3.75
"449",2457932,"csun","Control group",1.75
"450",2457937,"csun","Contact group",4
"451",2457943,"csun","Contact group",5.25
"452",2457949,"csun","Control group",3
"453",2457954,"csun","Contact group",4
"454",2457958,"csun","Contact group",3.5
"455",2457975,"csun","Control group",2.5
"456",2457988,"csun","Control group",2.75
"457",2457992,"csun","Control group",1
"458",2457994,"csun","Contact group",2.5
"459",2458037,"csun","Contact group",3.75
"460",2458042,"csun","Control group",3.5
"461",2458045,"csun","Control group",9
"462",2458056,"csun","Control group",3.75
"463",2458063,"csun","Control group",4.5
"464",2458069,"csun","Contact group",1
"465",2458097,"csun","Control group",9
"466",2458116,"csun","Contact group",3
"467",2458145,"csun","Contact group",3.75
"468",2458488,"csun","Control group",6.5
"469",2459401,"csun","Control group",3.5
"470",2459660,"csun","Contact group",2.75
"471",2459700,"csun","Control group",4.25
"472",2459706,"csun","Contact group",4.25
"473",2459739,"csun","Contact group",1.75
"474",2459840,"csun","Control group",1
"475",2459976,"csun","Contact group",4.5
"476",2459977,"csun","Control group",7
"477",2460053,"csun","Control group",6
"478",2461684,"csun","Contact group",1.25
"479",2462263,"csun","Control group",5
