"","session_id","referrer","ContactGroup","Imagineddv"
"4761",2435230,"swpson","Control group",7
"4762",2435236,"swpson","Contact group",7
"4763",2435237,"swpson","Contact group",7.25
"4764",2435239,"swpson","Contact group",4
"4765",2435240,"swpson","Control group",7.5
"4766",2435243,"swpson","Control group",7
"4767",2435245,"swpson","Contact group",3.25
"4768",2435247,"swpson","Control group",8
"4769",2435249,"swpson","Control group",2.75
"4770",2435256,"swpson","Control group",3.5
"4771",2435258,"swpson","Control group",6
"4772",2435262,"swpson","Control group",6.5
"4773",2435274,"swpson","Contact group",2.75
"4774",2435279,"swpson","Control group",1.25
"4775",2435283,"swpson","Control group",6
"4776",2435301,"swpson","Contact group",5
"4777",2435303,"swpson","Contact group",4.25
"4778",2435307,"swpson","Control group",3
"4779",2435319,"swpson","Control group",1.25
"4780",2435320,"swpson","Contact group",6.75
"4781",2435371,"swpson","Control group",5
"4782",2435417,"swpson","Contact group",1
"4783",2435424,"swpson","Control group",3.5
"4784",2435430,"swpson","Control group",1
"4785",2435433,"swpson","Control group",3.5
"4786",2435435,"swpson","Contact group",4.75
"4787",2435464,"swpson","Control group",6.25
"4788",2435472,"swpson","Control group",2.25
"4789",2435540,"swpson","Control group",4.25
"4790",2435554,"swpson","Contact group",2
"4791",2435619,"swpson","Contact group",5.25
"4792",2435653,"swpson","Contact group",6.25
"4793",2435695,"swpson","Control group",5
"4794",2435842,"swpson","Contact group",9
"4795",2435851,"swpson","Control group",5.5
"4796",2435854,"swpson","Contact group",5.25
"4797",2435895,"swpson","Contact group",1.75
"4798",2435947,"swpson","Control group",5.33333333333333
"4799",2435961,"swpson","Contact group",8.75
"4800",2435964,"swpson","Control group",5
"4801",2436064,"swpson","Control group",4.25
"4802",2436403,"swpson","Contact group",7.25
"4803",2436426,"swpson","Contact group",6.5
"4804",2436504,"swpson","Control group",6.75
"4805",2436551,"swpson","Contact group",3
"4806",2438531,"swpson","Contact group",6
"4807",2438839,"swpson","Contact group",3.5
"4808",2438844,"swpson","Control group",1
"4809",2438847,"swpson","Contact group",6.25
"4811",2439453,"swpson","Control group",5.25
"4812",2439491,"swpson","Control group",6.25
"4813",2439602,"swpson","Control group",1
"4814",2439734,"swpson","Contact group",4.5
"4815",2439750,"swpson","Contact group",5.75
"4816",2439756,"swpson","Control group",2.75
"4817",2439810,"swpson","Control group",3.5
"4818",2439812,"swpson","Control group",5.5
"4819",2440011,"swpson","Contact group",5.25
"4820",2440042,"swpson","Contact group",5.5
"4821",2440045,"swpson","Contact group",3.25
"4822",2440083,"swpson","Control group",4.25
"4823",2440139,"swpson","Contact group",3.75
"4824",2440298,"swpson","Control group",7.75
"4825",2440371,"swpson","Contact group",1.5
"4826",2441860,"swpson","Control group",4.25
"4827",2441985,"swpson","Control group",1
"4828",2442005,"swpson","Contact group",2.25
"4829",2442014,"swpson","Contact group",3.5
"4830",2442029,"swpson","Control group",1.75
"4831",2442034,"swpson","Contact group",6.5
"4832",2442091,"swpson","Contact group",5.5
"4833",2442112,"swpson","Contact group",5.75
"4834",2442170,"swpson","Contact group",4.5
"4835",2442182,"swpson","Control group",7.25
"4836",2442192,"swpson","Control group",3.5
"4837",2442193,"swpson","Control group",8.5
"4838",2442197,"swpson","Contact group",7
"4839",2442205,"swpson","Control group",1.5
"4840",2442973,"swpson","Control group",4
"4841",2443181,"swpson","Contact group",4.75
"4842",2443337,"swpson","Contact group",8.25
"4843",2443603,"swpson","Contact group",5.25
"4844",2443849,"swpson","Contact group",5
"4845",2445068,"swpson","Contact group",2.25
"4846",2445072,"swpson","Control group",5
"4847",2445074,"swpson","Control group",6
"4848",2445081,"swpson","Control group",4
"4849",2445082,"swpson","Control group",1
"4850",2445092,"swpson","Contact group",6.25
"4851",2445093,"swpson","Control group",9
"4852",2445094,"swpson","Control group",3.75
"4853",2445097,"swpson","Control group",4
"4854",2445099,"swpson","Contact group",4.75
"4855",2445104,"swpson","Control group",3.75
"4856",2445107,"swpson","Control group",5.75
"4857",2445108,"swpson","Contact group",2.25
"4858",2445110,"swpson","Control group",5.75
"4859",2445117,"swpson","Contact group",5.33333333333333
"4860",2445118,"swpson","Control group",5
"4861",2445125,"swpson","Control group",4.75
"4862",2445131,"swpson","Control group",2.75
"4863",2445133,"swpson","Control group",6.25
"4864",2445166,"swpson","Contact group",3.25
"4865",2445167,"swpson","Control group",4.5
"4866",2445174,"swpson","Control group",1.5
"4867",2445175,"swpson","Contact group",4.5
"4868",2445227,"swpson","Control group",3.5
"4869",2445305,"swpson","Control group",4.75
"4870",2445310,"swpson","Contact group",5.75
"4871",2445430,"swpson","Control group",4.25
"4872",2445453,"swpson","Contact group",2
"4873",2445493,"swpson","Contact group",4
"4874",2445556,"swpson","Contact group",7.5
"4875",2445776,"swpson","Control group",3
"4876",2445887,"swpson","Control group",3.75
"4877",2445978,"swpson","Control group",8.25
"4878",2446055,"swpson","Control group",3.75
"4879",2446120,"swpson","Control group",5.25
"4880",2446193,"swpson","Contact group",3.75
"4881",2446227,"swpson","Contact group",6
"4882",2446238,"swpson","Contact group",6
"4883",2446242,"swpson","Control group",4.5
"4884",2446282,"swpson","Contact group",4.25
"4885",2446391,"swpson","Control group",6.5
"4886",2447225,"swpson","Contact group",3
"4887",2447283,"swpson","Control group",8
"4888",2447284,"swpson","Control group",4.5
"4889",2447291,"swpson","Control group",1.5
"4890",2447294,"swpson","Control group",4
"4891",2447315,"swpson","Contact group",1.75
"4892",2447348,"swpson","Control group",7.25
"4893",2447552,"swpson","Control group",5
"4894",2447645,"swpson","Control group",2.25
"4895",2447933,"swpson","Contact group",2.5
"4896",2447963,"swpson","Control group",2.25
"4897",2448839,"swpson","Contact group",5.5
"4898",2448845,"swpson","Contact group",4.5
"4899",2448846,"swpson","Control group",4.5
"4900",2448871,"swpson","Control group",6.5
"4901",2448877,"swpson","Control group",5.5
"4902",2448999,"swpson","Control group",2.5
"4903",2449129,"swpson","Contact group",5
"4904",2449884,"swpson","Contact group",3.75
"4905",2451369,"swpson","Contact group",7
"4906",2451643,"swpson","Control group",4.5
"4907",2453735,"swpson","Contact group",3.75
"4908",2453921,"swpson","Contact group",1
"4909",2454315,"swpson","Control group",4.75
"4910",2454351,"swpson","Control group",4.5
"4911",2454508,"swpson","Control group",6
"4912",2454638,"swpson","Contact group",5.5
"4913",2454696,"swpson","Control group",2.75
"4914",2454700,"swpson","Contact group",7.25
"4915",2454769,"swpson","Control group",7.25
"4916",2454790,"swpson","Contact group",5.25
"4917",2454819,"swpson","Control group",5
"4918",2455781,"swpson","Contact group",3
"4919",2455855,"swpson","Control group",3.75
"4920",2455874,"swpson","Contact group",3.75
"4921",2455921,"swpson","Control group",7.5
"4922",2455929,"swpson","Control group",4.25
"4923",2456015,"swpson","Control group",2
"4924",2456500,"swpson","Control group",8
"4925",2457057,"swpson","Control group",2.5
"4926",2461353,"swpson","Contact group",5.75
"4927",2473645,"swpson","Contact group",3.75
"4928",2475122,"swpson","Control group",3.5
"4929",2479038,"swpson","Control group",4.5
