"","lab","lowanchor_m","lowanchor_s","lowanchor_n","highanchor_m","highanchor_s","highanchor_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",2906.06451612903,1090.06268735591,31,4021.32432432432,1069.68967602899,37,1115.25980819529,590.722185999892,1639.79743039069,0.861111111111111,1222.51453673856,TRUE,0.982,500,"USA","Lab","USA"
"2","brasilia",2509.10651046512,868.977283399165,43,3774.82275,1205.45421049501,30,1265.71623953488,781.94296227895,1749.48951679082,0.916666666666667,1219.35394095712,TRUE,0.94,500,"Brazil","Lab","NotUSA"
"3","charles",2649.85899514286,952.375497099051,35,3678.1026259375,1168.51228976674,32,1028.24363079464,509.996987195599,1546.49027439369,0.777777777777778,1224.22629982992,TRUE,0.958,500,"Czech Republic","Lab","NotUSA"
"4","conncoll",2650.45454545455,612.773362004108,33,4330.40816326531,1018.81049755682,49,1679.95361781076,1285.94715248471,2073.96008313681,0.416666666666667,1201.36375596041,FALSE,0.222,500,"USA","Lab","USA"
"5","csun",2825.64864864865,749.318735630951,37,4134.86,1092.20331534052,50,1309.21135135135,894.417819844326,1724.00488285838,0.888888888888889,1217.82150380164,TRUE,0.878,500,"USA","Online","USA"
"6","help",2302.65913777778,796.403596904925,45,4227.97901428571,1184.14820534468,28,1925.31987650794,1463.40311563267,2387.23663738321,0.194444444444444,1201.17585469695,FALSE,0.07,500,"Malaysia","Lab","NotUSA"
"7","ithaca",2798.72972972973,756.841927156987,37,3803.82352941176,994.932660142117,34,1005.09379968204,588.600315653434,1421.58728371064,0.75,1226.07414791253,TRUE,0.888,500,"USA","Lab","USA"
"8","jmu",3030,875.45416784661,51,3984.27835051546,1042.31166106748,97,954.278350515464,616.422395846846,1292.13430518408,0.555555555555556,1229.24215618023,TRUE,0.806,500,"USA","Online","USA"
"9","ku",2633.91211242424,807.03387166887,33,3935.75758,1287.64089783702,33,1301.84546757576,773.373368407048,1830.31756674447,0.944444444444444,1218.5742875066,TRUE,0.932,500,"Turkey","Online","NotUSA"
"10","laurier",2375.435373,801.282065999387,30,4176.63082081081,1100.51395643396,37,1801.19544781081,1321.13805060679,2281.25284501483,0.277777777777778,1202.88306528412,FALSE,0.246,500,"Canada","Lab","NotUSA"
"11","lse",2674.48039215686,821.819759700087,102,4054.45038167939,1154.23601248578,131,1379.96998952253,1113.99454921273,1645.94542983232,0.444444444444444,1213.26859140558,TRUE,0.594,500,"UK","Lab","NotUSA"
"12","luc",2744.70967741935,1032.3488002989,62,4127.1746031746,1177.62463951917,63,1382.46492575525,990.131494796961,1774.79835671354,0.75,1215.3670448465,TRUE,0.802,500,"USA","Lab","USA"
"13","mcdaniel",2933.18421052632,797.028903652476,38,4067.06666666667,973.107052879403,45,1133.88245614035,740.689352258587,1527.07556002211,0.777777777777778,1223.19569707578,TRUE,0.932,500,"USA","Online","USA"
"14","msvu",2691.08177346154,1148.90608389024,26,4258.01968421053,987.778195350221,19,1566.93791074899,906.910871853452,2226.96494964452,0.916666666666667,1214.199539788,TRUE,0.808,500,"Canada","Lab","NotUSA"
"15","mturk",2915.56167400881,780.401964933615,454,3928.63256355932,1051.87813083608,472,1013.07088955051,893.252298089611,1132.88948101141,0.388888888888889,1231.73362917065,FALSE,0.456,500,"USA","Online","USA"
"16","osu",2711.12244897959,905.567999302396,49,4402.79069767442,1210.91955531126,43,1691.66824869483,1252.00866798796,2131.3278294017,0.472222222222222,1206.04275194824,FALSE,0.338,500,"USA","Lab","USA"
"17","oxy",2919.37096774194,799.52051684008,62,3820.17647058824,1075.1467193994,51,900.8055028463,551.004306451531,1250.60669924107,0.472222222222222,1229.65251322438,TRUE,0.712,500,"USA","Lab","USA"
"18","pi",2957.20415224913,798.673672968258,578,3889.4645631068,1026.04116945492,618,932.260410857661,827.454818619289,1037.06600309603,0.25,1235.20311261768,FALSE,0.014,500,"USA","Online","USA"
"19","psu",2592.24390243902,645.148036519054,41,4181.71794871795,1167.39642724893,39,1589.47404627892,1172.3623576613,2006.58573489654,0.5,1208.66200451863,TRUE,0.446,500,"USA","Lab","USA"
"20","qccuny",3001.62790697674,1082.45516839434,43,4095.87234042553,1147.95087035119,47,1094.24443344879,625.734471498468,1562.75439539911,0.777777777777778,1223.42521675583,TRUE,0.972,500,"U","Lab","NotUSA"
