"","session_id","referrer","anch1group","anchoring1"
"86",2401244,"brasilia","lowanchor",3106.85
"87",2401246,"brasilia","highanchor",1864.11
"88",2401249,"brasilia","lowanchor",1864.11
"90",2401251,"brasilia","lowanchor",3106.85
"91",2401252,"brasilia","lowanchor",1864.11
"92",2401255,"brasilia","lowanchor",3355.398
"93",2401257,"brasilia","lowanchor",2236.932
"94",2401258,"brasilia","lowanchor",3106.85
"95",2401259,"brasilia","lowanchor",2485.48
"100",2401308,"brasilia","lowanchor",4970.96
"103",2401316,"brasilia","highanchor",4970.96
"104",2401319,"brasilia","lowanchor",1553.425
"105",2401320,"brasilia","highanchor",3106.85
"108",2401328,"brasilia","highanchor",4349.59
"109",2401329,"brasilia","highanchor",5436.9875
"110",2401335,"brasilia","lowanchor",3106.85
"111",2401336,"brasilia","lowanchor",3106.85
"112",2401341,"brasilia","lowanchor",1988.384
"114",2401352,"brasilia","highanchor",2485.48
"115",2401368,"brasilia","lowanchor",1864.11
"116",2401371,"brasilia","lowanchor",3106.85
"118",2401382,"brasilia","lowanchor",1677.699
"119",2401385,"brasilia","highanchor",3728.22
"121",2401389,"brasilia","highanchor",5592.33
"123",2401391,"brasilia","highanchor",3106.85
"124",2401393,"brasilia","lowanchor",3106.85
"126",2401398,"brasilia","highanchor",1864.11
"127",2401399,"brasilia","lowanchor",1553.425
"129",2401402,"brasilia","highanchor",2796.165
"131",2401417,"brasilia","lowanchor",1522.3565
"135",2401464,"brasilia","highanchor",3106.85
"137",2401472,"brasilia","lowanchor",1864.11
"138",2401476,"brasilia","highanchor",3106.85
"139",2401485,"brasilia","lowanchor",1615.562
"140",2401488,"brasilia","lowanchor",1864.11
"141",2401489,"brasilia","lowanchor",1553.425
"149",2406260,"brasilia","highanchor",5592.33
"153",2422422,"brasilia","lowanchor",3106.85
"154",2422639,"brasilia","lowanchor",3106.85
"155",2426482,"brasilia","highanchor",4660.275
"157",2428937,"brasilia","lowanchor",3479.672
"158",2429105,"brasilia","lowanchor",2982.576
"159",2429257,"brasilia","highanchor",3728.22
"161",2442313,"brasilia","highanchor",1864.11
"162",2442618,"brasilia","highanchor",3106.85
"163",2442751,"brasilia","highanchor",4349.59
"164",2445814,"brasilia","highanchor",4970.96
"165",2446096,"brasilia","highanchor",4038.905
"166",2451802,"brasilia","lowanchor",3106.85
"168",2452326,"brasilia","highanchor",4349.59
"169",2453867,"brasilia","lowanchor",1988.384
"170",2457082,"brasilia","lowanchor",1513.03595
"171",2457236,"brasilia","lowanchor",1864.11
"173",2458796,"brasilia","lowanchor",3728.22
"175",2462035,"brasilia","lowanchor",2174.795
"177",2465673,"brasilia","lowanchor",4970.96
"178",2465905,"brasilia","highanchor",3106.85
"179",2466041,"brasilia","lowanchor",1926.247
"180",2466133,"brasilia","highanchor",1864.11
"181",2467447,"brasilia","highanchor",5592.33
"183",2467777,"brasilia","lowanchor",1770.9045
"184",2467949,"brasilia","highanchor",3106.85
"185",2468111,"brasilia","lowanchor",1864.11
"186",2469707,"brasilia","lowanchor",2485.48
"188",2469887,"brasilia","lowanchor",2236.932
"189",2470010,"brasilia","highanchor",4349.59
"190",2470140,"brasilia","highanchor",5592.33
"191",2471873,"brasilia","lowanchor",3479.672
"198",2477847,"brasilia","highanchor",4349.59
"199",2479434,"brasilia","lowanchor",1864.11
"200",2479598,"brasilia","highanchor",3106.85
"202",2479774,"brasilia","lowanchor",2796.165
"204",2482575,"brasilia","lowanchor",1864.11
