"","session_id","referrer","anch1group","anchoring1"
"1677",2402411,"mturk","highanchor",5000
"1678",2402412,"mturk","highanchor",5300
"1679",2402414,"mturk","lowanchor",2000
"1680",2402415,"mturk","highanchor",3500
"1681",2402416,"mturk","lowanchor",3500
"1682",2402417,"mturk","highanchor",2500
"1683",2402421,"mturk","lowanchor",2700
"1685",2402426,"mturk","highanchor",5000
"1686",2402447,"mturk","lowanchor",2500
"1687",2402449,"mturk","lowanchor",2000
"1688",2402450,"mturk","highanchor",5000
"1689",2402451,"mturk","highanchor",5000
"1690",2402452,"mturk","lowanchor",2900
"1691",2402453,"mturk","lowanchor",4500
"1692",2402454,"mturk","lowanchor",3000
"1693",2402456,"mturk","highanchor",5000
"1694",2402457,"mturk","highanchor",3000
"1695",2402459,"mturk","highanchor",3614
"1696",2402460,"mturk","lowanchor",3000
"1697",2402466,"mturk","lowanchor",2000
"1698",2402467,"mturk","lowanchor",2000
"1700",2402470,"mturk","lowanchor",3400
"1701",2402471,"mturk","lowanchor",2600
"1702",2402472,"mturk","highanchor",4500
"1703",2402474,"mturk","lowanchor",3400
"1704",2402476,"mturk","lowanchor",1650
"1705",2402478,"mturk","highanchor",3200
"1706",2402479,"mturk","highanchor",2200
"1707",2402484,"mturk","highanchor",2500
"1708",2402485,"mturk","lowanchor",5000
"1709",2402488,"mturk","lowanchor",3750
"1710",2402489,"mturk","lowanchor",2000
"1711",2402490,"mturk","highanchor",5000
"1713",2402494,"mturk","highanchor",3000
"1714",2402495,"mturk","lowanchor",2000
"1715",2402496,"mturk","highanchor",5000
"1717",2402499,"mturk","lowanchor",2750
"1719",2402504,"mturk","lowanchor",3500
"1720",2402507,"mturk","highanchor",3200
"1721",2402508,"mturk","highanchor",5999
"1722",2402509,"mturk","lowanchor",3000
"1723",2402511,"mturk","lowanchor",2000
"1724",2402512,"mturk","highanchor",3500
"1725",2402513,"mturk","lowanchor",4000
"1726",2402514,"mturk","lowanchor",2582
"1727",2402515,"mturk","lowanchor",1800
"1728",2402518,"mturk","highanchor",4699
"1729",2402521,"mturk","highanchor",3000
"1730",2402522,"mturk","highanchor",5000
"1731",2402525,"mturk","highanchor",4000
"1732",2402529,"mturk","lowanchor",2919
"1733",2402531,"mturk","lowanchor",2900
"1734",2402532,"mturk","highanchor",4000
"1737",2402535,"mturk","highanchor",4700
"1738",2402537,"mturk","highanchor",2563.79
"1739",2402539,"mturk","highanchor",2000
"1740",2402540,"mturk","highanchor",2919.89
"1741",2402542,"mturk","highanchor",2000
"1742",2402543,"mturk","highanchor",3000
"1743",2402544,"mturk","highanchor",5400
"1744",2402545,"mturk","highanchor",2919.89
"1745",2402547,"mturk","lowanchor",2400
"1746",2402548,"mturk","lowanchor",2010
"1747",2402549,"mturk","highanchor",4700
"1748",2402551,"mturk","lowanchor",3000
"1749",2402552,"mturk","lowanchor",2500
"1750",2402553,"mturk","highanchor",2500
"1751",2402554,"mturk","highanchor",2400
"1752",2402555,"mturk","lowanchor",2600
"1753",2402557,"mturk","lowanchor",1501
"1754",2402559,"mturk","lowanchor",3000
"1755",2402563,"mturk","lowanchor",1900
"1756",2402565,"mturk","lowanchor",2200
"1757",2402566,"mturk","highanchor",4000
"1758",2402567,"mturk","lowanchor",3100
"1759",2402571,"mturk","lowanchor",1700
"1760",2402573,"mturk","lowanchor",2000
"1761",2402576,"mturk","highanchor",3000
"1762",2402577,"mturk","highanchor",4100
"1763",2402579,"mturk","highanchor",3000
"1764",2402583,"mturk","lowanchor",2000
