"","session_id","referrer","anch1group","anchoring1"
"4236",2484525,"psu","highanchor",2265
"4237",2484526,"psu","highanchor",5889
"4239",2484537,"psu","lowanchor",2000
"4240",2484538,"psu","lowanchor",2900
"4241",2484548,"psu","lowanchor",2600
"4242",2484626,"psu","lowanchor",3700
"4243",2484631,"psu","lowanchor",3000
"4244",2484633,"psu","lowanchor",3000
"4245",2484635,"psu","lowanchor",2000
"4249",2484730,"psu","highanchor",5500
"4250",2484746,"psu","highanchor",4000
"4251",2484761,"psu","highanchor",5000
"4252",2484762,"psu","highanchor",3000
"4253",2484765,"psu","lowanchor",1690
"4254",2484829,"psu","lowanchor",2500
"4255",2484831,"psu","lowanchor",3000
"4256",2484832,"psu","lowanchor",4000
"4257",2484833,"psu","lowanchor",3000
"4259",2484850,"psu","lowanchor",2000
"4260",2484921,"psu","highanchor",3000
"4264",2484944,"psu","highanchor",5990
"4265",2490490,"psu","highanchor",4800
"4266",2490493,"psu","lowanchor",3000
"4267",2490496,"psu","highanchor",2500
"4268",2490499,"psu","highanchor",4000
"4270",2490558,"psu","highanchor",5500
"4271",2490564,"psu","lowanchor",2500
"4272",2490571,"psu","lowanchor",3000
"4274",2490582,"psu","highanchor",3000
"4275",2490586,"psu","lowanchor",2300
"4276",2490596,"psu","highanchor",4000
"4277",2490616,"psu","lowanchor",3000
"4278",2490617,"psu","highanchor",3500
"4279",2490624,"psu","highanchor",5168
"4280",2490644,"psu","highanchor",5500
"4281",2490651,"psu","lowanchor",1600
"4282",2490658,"psu","highanchor",4350
"4283",2490661,"psu","highanchor",3500
"4284",2490664,"psu","lowanchor",2500
"4285",2490682,"psu","highanchor",4375
"4287",2490714,"psu","highanchor",3000
"4288",2490730,"psu","highanchor",2500
"4289",2490736,"psu","highanchor",5000
"4290",2490738,"psu","lowanchor",2000
"4291",2490741,"psu","lowanchor",3000
"4292",2490743,"psu","lowanchor",1700
"4293",2490756,"psu","lowanchor",2450
"4294",2490791,"psu","lowanchor",1750
"4295",2490804,"psu","highanchor",4500
"4296",2492277,"psu","lowanchor",3000
"4297",2492280,"psu","highanchor",4000
"4298",2492283,"psu","highanchor",4000
"4299",2492337,"psu","lowanchor",2800
"4300",2492339,"psu","highanchor",2000
"4301",2492340,"psu","lowanchor",4500
"4302",2492360,"psu","lowanchor",2750
"4303",2492363,"psu","lowanchor",3000
"4304",2492365,"psu","lowanchor",2000
"4305",2492377,"psu","lowanchor",2557
"4306",2492422,"psu","highanchor",5732
"4307",2492424,"psu","highanchor",4000
"4308",2492428,"psu","highanchor",5000
"4309",2492477,"psu","lowanchor",3000
"4310",2492480,"psu","lowanchor",3000
"4312",2492499,"psu","highanchor",4500
"4313",2493991,"psu","highanchor",4000
"4314",2493995,"psu","highanchor",3000
"4315",2493998,"psu","lowanchor",2400
"4316",2493999,"psu","lowanchor",2200
"4317",2494001,"psu","highanchor",5500
"4319",2494055,"psu","highanchor",2000
"4320",2494062,"psu","lowanchor",3000
"4321",2494064,"psu","lowanchor",1784
"4322",2494069,"psu","highanchor",5558
"4323",2494070,"psu","highanchor",4500
"4324",2494092,"psu","highanchor",3500
"4325",2494117,"psu","lowanchor",2100
"4326",2494131,"psu","highanchor",5960
"4327",2494134,"psu","lowanchor",2500
"4328",2494135,"psu","lowanchor",1501
